皇包车市场与用户渠道中心<!sp>公关总监<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'媒体,总监,策划,公关,财经'<!sp>11:08<!sp>拉勾网<!sp>'五险一金,年底双薪,定期体检,员工旅行'<!sp>'公关能力,执行能力,文案能力,领悟能力'<!sp>北京 - 朝阳区 - 双井 - 百子湾路31-8号
端点科技产品运营<!sp>公关总监<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'媒体,总监,云计算,公关,公共关系,电商'<!sp>09:34<!sp>拉勾网<!sp>'公关'<!sp>'公关能力,形象气质佳,沟通表达能力,团队协作能力,主动性,服务意识,领导能力,执行能力'<!sp>杭州 - 西湖区 - 河山路中大银座4号楼3楼
海拍客总经办<!sp>公关总监<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'媒体,广告营销,总监,策划,公共关系'<!sp>09:37<!sp>拉勾网<!sp>'公司前景好,团队氛围赞,弹性工作,期权激励'<!sp>'公关能力,沟通表达能力,领导能力,人脉资源,文案能力'<!sp>杭州 - 西湖区 - 西溪 - 杭州市西湖区文二西路808号西溪壹号27号楼3楼
三代人科技品牌部<!sp>公关总监<!sp>13k-25k<!sp>深圳<!sp>经验5-10年<!sp>'媒体,总监,策划,媒介,公关,公共关系'<!sp>13:48<!sp>拉勾网<!sp>'直接带团队,股权期权,高挑战,周末双休'<!sp>'沟通表达能力,公关能力,文案能力,逻辑思维能力,人脉资源,团队协作能力,领导能力,专业素质良好,主动性,抗压能力,责任心'<!sp>深圳 - 南山区 - 科技园 - 高新产业园粤兴三道9号华中科技大学产学研基地B座5层
食云集商管运营中心<!sp>公关总监/PR总监<!sp>20K-35K<!sp>上海<!sp>经验5-10年<!sp>'媒体,总监,新媒体,媒介,公关,投放'<!sp>09:42<!sp>拉勾网<!sp>'优秀团队,五险一金,周末双休'<!sp>'公关能力,形象气质佳,专业素质良好,文案能力,沟通表达能力,性格好'<!sp>上海 - 徐汇区 - 徐家汇 - 裕德路126号
小铜人商务部<!sp>公关总监<!sp>15k-25k<!sp>深圳<!sp>经验3-5年<!sp>'媒体,广告营销,总监,金融,运营,教育'<!sp>1天前<!sp>拉勾网<!sp>'公关,商务,招商,媒介'<!sp>'团队协作能力,逻辑思维能力,主动性,文案能力,沟通表达能力,专业素质良好,学习能力,常用办公软件的使用,工作激情,上进心'<!sp>深圳市福田区鲁班大厦25楼
足球魔方<!sp>公关总监<!sp>12k-23k<!sp>上海<!sp>经验5-10年<!sp>'媒体,广告营销,公共关系'<!sp>14:04<!sp>拉勾网<!sp>'最cool的产品+最cool的团队+最给力的¥'<!sp>'公关能力,领导能力,形象气质佳,文案能力,逻辑思维能力,执行能力,沟通表达能力,责任心,应变能力'<!sp>上海 - 徐汇区 - 龙华 - 云锦路500号绿地汇中心A栋17楼1709—1717室
e签宝市场部<!sp>高级公关经理/公关总监<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'媒体,总监,金融,政府关系,公关,公共关系'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,圈内大牛,福利众多,空间大'<!sp>'公关能力,人脉资源,沟通表达能力,领导能力'<!sp>杭州 - 西湖区 - 翠苑 - 西斗门路3号天堂软件园E幢9楼
Hellobike哈罗单车运营中心<!sp>公关总监<!sp>20k-40k<!sp>上海<!sp>经验5-10年<!sp>'媒体,总监,策划,媒介,公关,公共关系'<!sp>13:53<!sp>拉勾网<!sp>'公司发展好,职位前景好'<!sp>'公关能力,专业素质良好,执行能力,逻辑思维能力,沟通表达能力,团队协作能力,责任心,人际交往能力,形象气质佳,思想品质,抗压能力,创新能力,开拓精神'<!sp>上海 - 闵行区 - 秀文路898号西子国际中心
摩天轮市场部<!sp>高级公关经理／公关总监<!sp>30k-40k<!sp>上海<!sp>经验5-10年<!sp>'总监,策划,经理,媒介,公关,视频'<!sp>19:08<!sp>拉勾网<!sp>'年轻人文化,期权,部门氛围好'<!sp>'逻辑思维能力,公关能力,执行能力,团队协作能力,文案能力,主动性,抗压能力,责任心,沟通表达能力'<!sp>上海市 - 徐汇区 - 徐家汇 - 华山路2018号1001室
