一手服装批发APP买手部<!sp>采购主管<!sp>5k-10k<!sp>广州<!sp>经验3-5年<!sp>'采购,供应链'<!sp>11:31<!sp>拉勾网<!sp>'扁平化管理,行业发展好,晋升空间大'<!sp>'领导能力,逻辑思维能力,沟通表达能力,责任心,职业操守,专业素质良好'<!sp>广州 - 荔湾区 - 陈家祠 - 荔湾区
校妆网商品部<!sp>采购主管<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'采购,网店,商品,主管,买手,电商'<!sp>16:28<!sp>拉勾网<!sp>'公司平台好,团队氛围好'<!sp>'主动性,思想品质,文案能力,专业素质良好'<!sp>上海 - 嘉定区 - 南翔镇银翔路655号蓝天创业广场
番茄便利采购部<!sp>采购总监<!sp>40k-60k<!sp>上海<!sp>经验5-10年<!sp>'采购,总监,零售'<!sp>13:40<!sp>拉勾网<!sp>'五险一金,弹性工作,做5休2,年底双薪'<!sp>'团队协作能力,沟通表达能力,领导能力,能出差,工作激情,专业素质良好,全局观,创新能力,逻辑思维能力,应变能力'<!sp>上海 - 徐汇区 - 徐家汇 - 天钥桥路580号
听果音乐TZ-HOUSE<!sp>采购主管<!sp>7k-10k<!sp>上海<!sp>经验3-5年<!sp>'供应链,采购,餐饮'<!sp>09:55<!sp>拉勾网<!sp>'行业前景,发展空间'<!sp>'执行能力,沟通表达能力,团队协作能力,服务意识,常用办公软件的使用,责任心,思想品质,职业操守'<!sp>上海 - 长宁区 - 镇宁路 - 镇宁路9号九尊大厦
达飞云贷<!sp>采购主管<!sp>10k-15k<!sp>北京<!sp>经验1-3年<!sp>'采购,B2C,主管'<!sp>10:19<!sp>拉勾网<!sp>'福利待遇,晋升空间,办公环境'<!sp>'沟通表达能力,执行能力,熟悉法律法规,开拓精神,团队协作能力,能出差,抗压能力'<!sp>北京 - 朝阳区 - 慈云寺北里118号苏宁中心11层
拿火音乐供应链<!sp>采购主管<!sp>8k-12k<!sp>广州<!sp>经验3-5年<!sp>'采购,供应链,信息安全'<!sp>10:07<!sp>拉勾网<!sp>'采购,供应链,库存、材料,供应商'<!sp>'逻辑思维能力,设计能力,沟通表达能力,常用办公软件的使用'<!sp>广州市 - 越秀区 - 解放北 - 广州市越秀区东风西路226号LAVA MUSIC
饭美美采购部<!sp>采购总监<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'本地生活,采购,供应链,品控,结算,电商'<!sp>1天前<!sp>拉勾网<!sp>'创业团队,五险一金,环境好,福利多'<!sp>'钻研能力,沟通表达能力,团队协作能力,逻辑思维能力,吃苦耐劳,思想品质,责任心,专业素质良好,领导能力'<!sp>北京 - 朝阳区 - 望京绿地中心中国锦（11号）31层
zstimeIT事业部<!sp>采购主管<!sp>4k-7k<!sp>厦门<!sp>经验3-5年<!sp>'采购,供应链,运营,主管'<!sp>08:29<!sp>拉勾网<!sp>'双休,五险一金,节日福利,带薪年假'<!sp>'沟通表达能力,关注行业,思想品质'<!sp>厦门 - 思明区 - 前埔医院 - 软件园二期望海路16号之二5楼
Voyageone商品<!sp>高级采购总监<!sp>20k-35k<!sp>上海<!sp>经验5-10年<!sp>'采购,总监,商品,品控,电商,物流'<!sp>10:22<!sp>拉勾网<!sp>'跨境电商,弹性工作,扁平化管理,产品'<!sp>'团队协作能力,钻研能力,逻辑思维能力,执行能力,领导能力,英语基础,沟通表达能力,责任心'<!sp>上海 - 浦东新区 - 张江 - 郭守敬路498号20号楼101
看妆采购组<!sp>采购主管<!sp>5k-8k<!sp>广州<!sp>经验1-3年<!sp>'采购,运营,主管,电商'<!sp>1天前<!sp>拉勾网<!sp>'年轻团队,扁平办公,五险一金,发展空间大'<!sp>'学习能力,逻辑思维能力,思想品质'<!sp>广州 - 越秀区 - 289艺术园
酷哥机器人采购部<!sp>采购主管<!sp>5k-8k<!sp>杭州<!sp>经验3-5年<!sp>'采购,供应链,模具设计,仓储'<!sp>15:22<!sp>拉勾网<!sp>'双休,五险一金'<!sp>'常用办公软件的使用,沟通表达能力,吃苦耐劳,团队协作能力'<!sp>杭州 - 滨江区 - 中赢国际1幢4楼408
粉星时尚供应链<!sp>采购主管<!sp>5k-8k<!sp>广州<!sp>经验1-3年<!sp>'采购,运营,主管,产品,电商'<!sp>1天前<!sp>拉勾网<!sp>'年轻团队,扁平办公,五险一金,发展空间大'<!sp>'时尚,逻辑思维能力,思想品质'<!sp>广州 - 越秀区 - 289艺术创意园
忠桥集团采购部<!sp>采购部主管<!sp>6K-9K<!sp>成都<!sp>经验3-5年<!sp>'电力工程,元器件设备,成套设备,变配电,机电工程'<!sp>10:36<!sp>拉勾网<!sp>'周末双休,五险一金,带薪年假,年底分红等'<!sp>'职业操守,责任心,团队协作能力'<!sp>成都 - 龙泉驿区 - - 龙泉驿经开区南二路309号鼎峰动力港3栋
千寻位置财务<!sp>采购主管<!sp>10k-20k<!sp>上海<!sp>经验5-10年<!sp>'采购,经理'<!sp>2天前<!sp>拉勾网<!sp>'阿里系信息福利体系'<!sp>'逻辑思维能力,专业素质良好,沟通表达能力,执行能力,团队协作能力,钻研能力,领悟能力,抗压能力,思想品质'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
小电供应链<!sp>采购主管<!sp>10k-15k<!sp>杭州<!sp>经验5-10年<!sp>'采购,供应链,主管,电子元器件采购'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,灵活工时,晋升空间'<!sp>'执行能力,团队协作能力,沟通表达能力,思想品质,责任心,领导能力,熟悉法律法规'<!sp>杭州 - 余杭区 - 仓前 - 梦想小镇互联网村12栋
PPmoney互联网金融平台采购部<!sp>采购总监/副总监<!sp>15k-22k<!sp>广州<!sp>经验5-10年<!sp>'总监,流程管理'<!sp>09:29<!sp>拉勾网<!sp>'朝阳行业,机遇多,福利好'<!sp>''<!sp>广州市市市 - 天河区 - 天河北 - 体育西路153号新天河大厦
大丰收农资商城（五谷网络）运营部<!sp>供应链运营主管/采购主管<!sp>6k-10k<!sp>深圳<!sp>经验3-5年<!sp>'采购,供应链,仓储,物流'<!sp>09:03<!sp>拉勾网<!sp>'薪资福利高,发展空间大,氛围好'<!sp>'专业素质良好,领导能力,思想品质,抗压能力,沟通表达能力,性格好,创新能力,逻辑思维能力,学习能力'<!sp>深圳 - 南山区 - 高新技术产业园百度国际大厦东塔楼35层
云宝宝综合部<!sp>采购主管<!sp>6k-8k<!sp>南宁<!sp>经验3-5年<!sp>'采购,供应链,云计算,项目管理,主管,WMS'<!sp>2018-01-15<!sp>拉勾网<!sp>'采购主管,互联网,软件'<!sp>'沟通表达能力,团队协作能力'<!sp>南宁 - 青秀区 - 桂春路南一里1号南宁信息化大楼3楼
透云科技合肥运营部<!sp>采购主管<!sp>5k-10k<!sp>合肥<!sp>经验3-5年<!sp>'采购,运营,零售,电商'<!sp>2018-01-10<!sp>拉勾网<!sp>'双休,五险一金,通讯补贴,提成'<!sp>'逻辑思维能力,钻研能力,领导能力,团队协作能力,沟通表达能力,职业操守,学习能力,创新能力'<!sp>合肥 - 瑶海区 - 长江东路 - 安徽圣大国际商贸中心1704
珍爱网采购部<!sp>采购主管<!sp>10k-15k<!sp>深圳<!sp>经验3-5年<!sp>'生产,项目管理,审核,企业'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,弹性工作,周末双休'<!sp>'逻辑思维能力,沟通表达能力,抗压能力,责任心,创新能力,团队协作能力,常用办公软件的使用'<!sp>深圳 - 南山区 - 深圳市南山区海德三道168号航天科技广场A座19-21层
猩便利采购部<!sp>采购主管<!sp>8k-15k<!sp>厦门<!sp>经验1-3年<!sp>'供应链,跟单'<!sp>2018-01-03<!sp>拉勾网<!sp>'五险一金无责底薪高提成交通补贴员工旅游'<!sp>'逻辑思维能力,沟通表达能力,执行能力,领导能力,团队协作能力,熟悉法律法规'<!sp>厦门 - 思明区 - 莲前 - 厦门市思明区前埔工业园区61号万物社A305室
巴图鲁公司采销中心<!sp>采购专员/主管<!sp>5k-10k<!sp>广州<!sp>经验1-3年<!sp>'跨境电商,采购,汽车,商品,主管,买手'<!sp>2018-01-17<!sp>拉勾网<!sp>'发展空间大,团队氛围好,福利任性,行业前景广'<!sp>'沟通表达能力,团队协作能力'<!sp>广州 - 海珠区 - 广州之窗商务港17楼（地铁3号线沥滘地铁F出口）
云柜采购部<!sp>采购专员/主管<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'采购,审核'<!sp>1天前<!sp>拉勾网<!sp>'饭贴,话费补贴,稳定,晋升'<!sp>'专业素质良好,逻辑思维能力,思想品质,常用办公软件的使用,文案能力,沟通表达能力,团队协作能力,能出差'<!sp>上海 - 普陀区 - 长风公园 - 中江路388弄6号（国盛中心二期4号楼）7楼
象宿网络综合部<!sp>采购主管（民宿）<!sp>4k-5k<!sp>重庆<!sp>经验1-3年<!sp>'品控,主管,商务拓展,采购,电商'<!sp>2天前<!sp>拉勾网<!sp>'项目好,氛围好,老板好,有餐补'<!sp>'沟通表达能力,团队协作能力,逻辑思维能力,执行能力,良好的职业背景,主动性,专业素质良好,责任心'<!sp>重庆 - 渝北区 - 人和 - 重庆市渝北区人和街道金开大道西段1号附14号
OYO运营部<!sp>采购经理/主管<!sp>8k-16k<!sp>深圳<!sp>经验3-5年<!sp>'采购,支付,供应链,买手'<!sp>1天前<!sp>拉勾网<!sp>'和牛人工作'<!sp>'专业素质良好,执行能力,沟通表达能力,逻辑思维能力,钻研能力,责任心,性格好,英语基础'<!sp>深圳 - 南山区 - 大冲 - 华富洋大厦4楼SimplyWork思微
OUTMAN淘汰郎采购部<!sp>采购总监<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'本地生活,采购,总监,供应链,品控,物流'<!sp>2018-01-18<!sp>拉勾网<!sp>'行业冠军,市场空间大,期权'<!sp>'沟通表达能力,执行能力,思想品质,领导能力,逻辑思维能力,钻研能力,吃苦耐劳,责任心'<!sp>北京 - 朝阳区 - 大望路 - 广渠路3号竞园B区20F
友缘在线行政部<!sp>采购主管<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'社交,副总裁,运营,渠道,主管,企业'<!sp>11:22<!sp>拉勾网<!sp>'你会遇见更好的自己'<!sp>'领导能力,沟通表达能力,团队协作能力,责任心,思想品质,人际交往能力'<!sp>北京 - 朝阳区 - 北苑 - 北美国际商务中心C1座
启萌教育采购部<!sp>采购主管<!sp>8k-15k<!sp>北京<!sp>经验3-5年<!sp>'采购'<!sp>1天前<!sp>拉勾网<!sp>'氛围好'<!sp>'沟通表达能力,服务意识,专业素质良好'<!sp>北京市 - 朝阳区 - 望京 - 望京商业中心F座B区B302
臻鑫商务采购<!sp>采购主管<!sp>3k-6k<!sp>广州<!sp>经验1-3年<!sp>'市场,主管,经理,营销,市场拓展,海外'<!sp>2天前<!sp>拉勾网<!sp>'股票期权,绩效奖金,带薪年假,创业公司'<!sp>'沟通表达能力,开拓精神,执行能力,职业操守,英语基础,抗压能力,思想品质,主动性,服务意识'<!sp>广州 - 越秀区 - 人民北路604号大新银行大厦1205
礼叮当采购部<!sp>礼品采购主管/经理<!sp>5k-10k<!sp>北京<!sp>经验3-5年<!sp>'供应链,主管,经理,采购,礼品'<!sp>10:06<!sp>拉勾网<!sp>'6险,带薪年假,年底奖金,领导好'<!sp>'沟通表达能力,美术功底,领悟能力,领导能力,专业素质良好,职业操守,责任心,思想品质'<!sp>北京 - 海淀区 - 西北旺 - 标厂科技园 7层
饭美美采购部<!sp>采购主管<!sp>7k-10k<!sp>北京<!sp>经验1-3年<!sp>'采购,供应链,订单,主管,结算'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,创业公司'<!sp>'沟通表达能力,常用办公软件的使用,熟悉法律法规,团队协作能力,执行能力'<!sp>北京 - 朝阳区 - 望京绿地中心中国锦（11号）31层
派沃特企业管理中心<!sp>采购主管<!sp>7k-8k<!sp>成都<!sp>经验3-5年<!sp>'供应链,主管'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,入职培训'<!sp>'逻辑思维能力,沟通表达能力,钻研能力,全局观,思想品质,团队协作能力'<!sp>成都 - 高新区 - 天华2路299号天府软件园C12-14
德游网络市场部<!sp>采购主管<!sp>8k-10k<!sp>上海<!sp>经验3-5年<!sp>'采购,零售,买手,电商'<!sp>2018-01-12<!sp>拉勾网<!sp>'五险一金,做五休二,带薪年假,商业医疗'<!sp>'团队协作能力,沟通表达能力,能出差,钻研能力,时尚,思想品质,责任心,性格好'<!sp>上海 - 浦东新区 - 花木 - 北张家浜路88号B座608
