武汉佰钧成技术有限公司无限极外包<!sp>BI工程师<!sp>13k-15k<!sp>广州<!sp>经验3-5年<!sp>'ETL,BI,大数据,数据仓库'<!sp>10:42<!sp>拉勾网<!sp>'双休,六险一金'<!sp>'专业素质良好,文案能力'<!sp>广州 - 天河区 - 冼村 - 冼村路11号保利威座北塔25楼无限极
江苏亿科达海万信息科技<!sp>BI工程师<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'分布式,数据分析,BI,数据开发,docker,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年终奖,体检旅游,过节费'<!sp>''<!sp>上海 - 徐汇区 - 斜土路 - 凯滨路206号
青团社技术研发部<!sp>BI工程师<!sp>15k-30k<!sp>杭州<!sp>经验不限<!sp>'资深,高级,数据分析,算法,数据挖掘,机器学习'<!sp>14:44<!sp>拉勾网<!sp>'成长空间大,开放自由,双休,期权激励'<!sp>'设计能力,专业素质良好,逻辑思维能力,文案能力'<!sp>杭州 - 余杭区 - 文一西路1380号金之源大厦
海云天科技<!sp>BI工程师<!sp>8k-15k<!sp>南昌<!sp>经验1-3年<!sp>'中级,数据分析,BI,金融,ETL,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,平台大,福利好'<!sp>'设计能力,逻辑思维能力,领导能力'<!sp>南昌 - 青山湖区 - 江大南路 - 南昌市青山湖区江大南路19号
九州通医药集团股份有限公司集团技术服务部<!sp>BI工程师<!sp>10k-20k<!sp>武汉<!sp>经验3-5年<!sp>'数据分析,架构'<!sp>14:27<!sp>拉勾网<!sp>'职位晋升,绩效年终奖,包吃住,股票'<!sp>'领悟能力,文案能力,逻辑思维能力,设计能力'<!sp>武汉 - 汉阳区 - 55健康产业园
易乎社区技术<!sp>BI工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'数据分析,BI,数据开发,SQL,大数据'<!sp>11:00<!sp>拉勾网<!sp>'领导好,项目好,前景好'<!sp>'逻辑思维能力,沟通表达能力,团队协作能力'<!sp>上海 - 浦东新区 - 张江 - 上海市浦东新区张江高科祖冲之路1559号8楼
人人车大数据部<!sp>bi工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,BI,ETL,数据仓库'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,技术牛'<!sp>'沟通表达能力,逻辑思维能力,设计能力'<!sp>北京 - 朝阳区 - 北苑 - 北苑东路中国铁建广场B座19层
大搜车布雷克索<!sp>BI工程师<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'高级'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,晋升空间大'<!sp>'设计能力,文案能力,领导能力,逻辑思维能力,学习能力,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 长宁区 - 中山公园 - 定西路1100号5层I座
广州棒谷科技股份有限公司大数据人工智能研发部门<!sp>BI工程师<!sp>10k-18k<!sp>广州<!sp>经验1-3年<!sp>'中级,BI,数据开发,数据管理,数据仓库,电商'<!sp>1天前<!sp>拉勾网<!sp>'海量数据,平台成长大'<!sp>'文案能力,逻辑思维能力,专业素质良好,设计能力,团队协作能力'<!sp>广州 - 白云区 - 白云大道 - 广州市白云区景泰街机场东门路01号豪泉大厦2楼前台
群星金融数据产品部<!sp>BI工程师<!sp>15k-20k<!sp>上海<!sp>经验1-3年<!sp>'大数据,数据库,金融,BI,数据分析'<!sp>09:59<!sp>拉勾网<!sp>'技术大牛,弹性工作制,免费班车,无限零食'<!sp>'逻辑思维能力,良好的职业背景,沟通表达能力'<!sp>上海 - 浦东新区 - 鲁班路 - 世博大道2095号意大利馆2层ABC单元
和创金服<!sp>BI工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,BI,数据开发,大数据'<!sp>14:20<!sp>拉勾网<!sp>'六险一金,晋升空间,快速发展'<!sp>'逻辑思维能力,设计能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 亚运村 - 盘古大观写字楼A座6层
齐家网研发部门<!sp>BI工程师<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'BI'<!sp>1天前<!sp>拉勾网<!sp>'互联网,O2O电商,大公司,福利好'<!sp>'设计能力,逻辑思维能力,沟通表达能力,领导能力'<!sp>上海 - 嘉定区 - 丰庄 - 金沙江路3131号
蜜芽技术部<!sp>BI工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,大数据,数据开发,BI,电商'<!sp>11:50<!sp>拉勾网<!sp>'五险一金,补充医疗,带薪年假'<!sp>'逻辑思维能力,设计能力,主动性,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路8号冠捷大厦
享换机研发部<!sp>BI工程师<!sp>15k-20k<!sp>上海<!sp>经验3-5年<!sp>'高级,SPSS,BI,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'丰厚奖金,优秀团队,快速发展'<!sp>''<!sp>上海 - 杨浦区 - 复旦大学 - 政学路51号
