江苏亿科达IT部门<!sp>IT支持<!sp>5k-8k<!sp>上海<!sp>经验1-3年<!sp>'运维,技术支持,helpdesk'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,最多5个字,最多5个字,最多5个字'<!sp>'服务意识'<!sp>上海市 - 徐汇区 - 龙华 - 凯滨路206号
微创赴商汤科技<!sp>IT支持<!sp>7k-10k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,linux,windows,运维,技术支持,helpdesk'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,节日福利,领导nice'<!sp>'专业素质良好,领悟能力'<!sp>深圳 - 南山区 - 蛇口 - 南海大道1052号海翔广场7层
帆软软件<!sp>IT支持<!sp>3k-5k<!sp>无锡<!sp>经验应届毕业生<!sp>''<!sp>1天前<!sp>拉勾网<!sp>'五险一金'<!sp>'沟通表达能力,服务意识,良好的职业背景,自我管理能力,责任心,上进心,团队协作能力,钻研能力'<!sp>无锡 - 南长区 - 清扬路 - 清扬路118号世金中心11楼
51信用卡管家管理中心<!sp>IT支持<!sp>6k-12k<!sp>杭州<!sp>经验3-5年<!sp>'ERP,系统工程师,OA'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作,十六薪起,全员MAC'<!sp>'设计能力,逻辑思维能力,服务意识,专业素质良好,主动性,思想品质,上进心,团队协作能力,领悟能力'<!sp>杭州 - 西湖区 - 紫霞街80号 西溪谷商务中心G座F12-15
火理财人力资源部<!sp>IT支持<!sp>6k-9k<!sp>上海<!sp>经验1-3年<!sp>'技术支持,行政,网络管理'<!sp>2018-01-20<!sp>拉勾网<!sp>'互联网金融,五险一金,周末双休,节日福利'<!sp>'抗压能力,服务意识,沟通表达能力,团队协作能力,逻辑思维能力,专业素质良好'<!sp>上海 - 浦东新区 - 北蔡 - 康桥路1157号复邦创智良仓10栋2层208室
哔哩哔哩信息部<!sp>IT支持<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'IT支持'<!sp>1天前<!sp>拉勾网<!sp>'年终多薪,带薪休假'<!sp>'服务意识,常用办公软件的使用,责任心,性格好,抗压能力,团队协作能力,逻辑思维能力,专业素质良好,学习能力'<!sp>上海 - 浦东新区 - 东外滩 - 浦东大道720号国际航运金融大厦
杭州溥弛售后<!sp>IT支持<!sp>3k-6k<!sp>杭州<!sp>经验不限<!sp>'硬件制造,数据仓库,嵌入式,安全,DBA,教育'<!sp>1天前<!sp>拉勾网<!sp>'补充医疗保,节日福利,高温补贴,带薪年假'<!sp>'英语基础,服务意识,主动性,沟通表达能力,团队协作能力,性格好,专业素质良好'<!sp>杭州 - 滨江区 - 滨和路998号中赢国际904室
小蚁测试组<!sp>IT支持<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>''<!sp>1天前<!sp>拉勾网<!sp>'小米生态产业链企业,年底双薪'<!sp>'专业素质良好,思想品质,沟通表达能力,团队协作能力,服务意识,学习能力'<!sp>上海 - 浦东新区 - 张江 - 金科路地铁站4号口出 长泰广场E座
全程网络技术部<!sp>IT支持<!sp>5k-8k<!sp>上海<!sp>经验1-3年<!sp>'硬件制造'<!sp>1天前<!sp>拉勾网<!sp>'行业标杆,前景好,扁平化管理'<!sp>'文案能力,常用办公软件的使用,专业素质良好,服务意识,沟通表达能力'<!sp>上海 - 杨浦区 - 周家嘴路 - 隆昌路619号城市概念8号楼北区B12-13
晟邦物流运维部<!sp>IT支持<!sp>5k-7k<!sp>南京<!sp>经验1-3年<!sp>'硬件制造,运维,技术支持,helpdesk,机房,信息安全'<!sp>2018-01-16<!sp>拉勾网<!sp>'团队优异,平台广阔'<!sp>'常用办公软件的使用,服务意识,领导能力,专业素质良好,逻辑思维能力,执行能力,团队协作能力'<!sp>南京 - 玄武区 - 新街口 - 长江路99号长江贸易大楼17楼
缔安工程部<!sp>IT支持<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'硬件制造,IT,运维,技术支持'<!sp>2018-01-16<!sp>拉勾网<!sp>'氛围好,有前景,paas'<!sp>''<!sp>上海市 - 静安区 - 南京西路 - 北京西路1399号
CTAccel联捷科技IT<!sp>IT支持/系统管理员<!sp>6k-12k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,IT支持,linux,运维,信息安全,系统工程师'<!sp>1天前<!sp>拉勾网<!sp>'15天年假,13薪,年终奖,扁平化管理'<!sp>''<!sp>深圳 - 福田区 - 皇岗 - 金田路3037号金中环商务大厦A2706
富途证券运维<!sp>IT支持<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,金融,技术支持,helpdesk,运维'<!sp>3天前<!sp>拉勾网<!sp>'腾讯系券商,重塑传统证券业的机会'<!sp>'常用办公软件的使用,学习能力,设计能力,服务意识,专业素质良好'<!sp>- 科技园中区科技中三路科兴科学园C3座9层
BigoIT安全部<!sp>IT支持工程师<!sp>6k-12k<!sp>广州<!sp>经验不限<!sp>'云计算,helpdesk,运维,安全,网络安全,Cisco'<!sp>2天前<!sp>拉勾网<!sp>'年底双薪,年终奖,餐补,房补'<!sp>'服务意识,责任心,沟通表达能力,团队协作能力'<!sp>广州 - 番禺区 - 万博商务区万达广场北区B-1栋24层
哒哒英语IT部门<!sp>IT支持<!sp>4k-7k<!sp>上海<!sp>经验1-3年<!sp>'IT支持'<!sp>2018-01-09<!sp>拉勾网<!sp>'地铁口,饭好吃,美女多,五险一金'<!sp>'服务意识,沟通表达能力,执行能力,团队协作能力,学习能力'<!sp>上海 - 长宁区 - 北新泾 - 天山西路789号中山国际广场A幢307室
江苏亿科达平安金科<!sp>IT支持<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'技术支持,helpdesk,运维,行政'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,旅游、体检,生日礼金,过节福利'<!sp>''<!sp>上海 - 徐汇区 - 斜土路 - 龙华中路凯滨路206号
51信用卡管家技术研发中心<!sp>IT支持<!sp>10k-20k<!sp>杭州<!sp>经验1年以下<!sp>'运维,ERP,OA,系统工程师'<!sp>2018-01-20<!sp>拉勾网<!sp>'16薪起,六险一金,弹性工作,全员mac'<!sp>'逻辑思维能力,服务意识,专业素质良好,主动性,思想品质,上进心,团队协作能力,设计能力,领悟能力'<!sp>杭州 - 西湖区 - 西湖区紫霞街80号 西溪谷国际商务中心G座12-15楼
杭州溥弛售后<!sp>中高级IT支持<!sp>4k-6k<!sp>杭州<!sp>经验不限<!sp>'硬件制造,运维,linux,嵌入式,教育'<!sp>1天前<!sp>拉勾网<!sp>'补充医疗保,节日福利,高温补贴,带薪年假'<!sp>'英语基础,服务意识,主动性,沟通表达能力,团队协作能力,性格好,专业素质良好'<!sp>杭州 - 滨江区 - 滨和路998号中赢国际904室
全程网络技术部<!sp>高级IT支持<!sp>6k-10k<!sp>上海<!sp>经验3-5年<!sp>'企业服务'<!sp>1天前<!sp>拉勾网<!sp>'行业标杆,发展前景,领导好,美女多'<!sp>'服务意识,专业素质良好,团队协作能力,逻辑思维能力,常用办公软件的使用,学习能力,文案能力,主动性,责任心,沟通表达能力'<!sp>上海 - 杨浦区 - 周家嘴路 - 隆昌路619号城市概念8号楼北区B12-13
上海威资德<!sp>IT支持<!sp>3k-5k<!sp>上海<!sp>经验不限<!sp>'IT支持'<!sp>2天前<!sp>拉勾网<!sp>'内部晋升机制,鼓励员工挑战高级岗位'<!sp>'服务意识'<!sp>上海 - 闵行区 - 七宝 - 七莘路1839号财富108广场北楼1619室
