今日头条<!sp>Python 研发工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'后端开发'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,高薪期权,弹性工作,免费三餐,租房补贴,带薪休假,扁平管理,职业大牛,晋升空间'<!sp>'设计能力,创新能力,专业素质良好,领悟能力,逻辑思维能力,服务意识,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 北京市海淀区知春路63号中国卫星通信大厦
海能达应用软件部<!sp>Python开发工程师<!sp>8k-13k<!sp>哈尔滨<!sp>经验3-5年<!sp>'高级,Python,多进程,服务器开发'<!sp>17:22<!sp>拉勾网<!sp>'服务器开发'<!sp>'服务意识,设计能力'<!sp>哈尔滨 - 松北区 - 世茂大道 - 天翔街188号【哈尔滨市政府西侧】
四川长虹电器股份有限公司长虹软件与服务中心<!sp>python工程师<!sp>8k-15k<!sp>成都<!sp>经验3-5年<!sp>'Python,linux,运维'<!sp>16:56<!sp>拉勾网<!sp>'五险一金,年终奖,项目奖'<!sp>'服务意识,设计能力,团队协作能力,专业素质良好,自我管理能力'<!sp>成都 - 高新区 - 天府四街长虹科技大厦
一亩田技术部<!sp>python开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'Python,大数据,Java'<!sp>16:48<!sp>拉勾网<!sp>'临近地铁,大牛团队,六险一金,年终奖'<!sp>'逻辑思维能力,钻研能力,创新能力,沟通表达能力,上进心,学习能力,团队协作能力,领悟能力,设计能力,专业素质良好'<!sp>北京 - 海淀区 - 学院路 - 西小口东升科技园B-6号楼A6
摩尔妈妈技术部<!sp>Python工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'高级,运营,Python,php,信息安全,教育'<!sp>13:22<!sp>拉勾网<!sp>'氛围轻松,成长空间大,待遇好'<!sp>'服务意识,设计能力,执行能力,逻辑思维能力,专业素质良好,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 燕莎 - 亮马桥路27号院1903号
游族网络战略发展中心<!sp>Python开发工程师-base北京<!sp>12k-18k<!sp>北京<!sp>经验3-5年<!sp>'Python'<!sp>16:37<!sp>拉勾网<!sp>'福利好,待遇好,上市公司'<!sp>'服务意识,创新能力,逻辑思维能力,钻研能力,主动性,团队协作能力'<!sp>北京 - 东城区 - 北京市东城区和平里西街51号雍和宫壹中心A4楼3层
蚂蜂窝技术研发部<!sp>高级Python开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'Python'<!sp>09:51<!sp>拉勾网<!sp>'核心部门和岗位,股票期权'<!sp>'设计能力,逻辑思维能力,钻研能力,主动性,团队协作能力'<!sp>北京 - 朝阳区 - 朝阳区酒仙桥
问卷网@爱调研技术开发部<!sp>Python开发师<!sp>12k-24k<!sp>上海<!sp>经验3-5年<!sp>'Python,redis,Java,架构'<!sp>13:24<!sp>拉勾网<!sp>'五险一金,季度旅游,节日福利,带薪年假'<!sp>'服务意识,设计能力,主动性,钻研能力,责任心,团队协作能力,逻辑思维能力'<!sp>上海 - 徐汇区 - 番禺路1028号数娱大厦1206室
博悦科创<!sp>急聘Python开发<!sp>8k-16k<!sp>深圳<!sp>经验1-3年<!sp>'Python,算法'<!sp>09:53<!sp>拉勾网<!sp>'福利待遇好,发展空间大'<!sp>'服务意识,设计能力,逻辑思维能力,学习能力'<!sp>深圳 - 福田区 - 购物公园 - 购物公园平安大厦
榆钱金融数据采集部<!sp>Python<!sp>10k-20k<!sp>武汉<!sp>经验1-3年<!sp>'python,爬虫,大数据,搜索'<!sp>16:22<!sp>拉勾网<!sp>'弹性工作,氛围好,福利好,前景好'<!sp>'逻辑思维能力,设计能力,沟通表达能力'<!sp>武汉市 - 武昌区 - 武珞路 - 中商广场写字楼
上海华瑞银行信息科技部<!sp>Python开发工程师<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'银行,Python,node.js,Java'<!sp>15:03<!sp>拉勾网<!sp>'六险两金,年度体检,绩效奖金,渠道晋升'<!sp>'服务意识,设计能力,逻辑思维能力,团队协作能力,文案能力,专业素质良好,抗压能力'<!sp>上海 - 浦东新区 - 东方路 - 陆家嘴软件园
紫川软件<!sp>python开发工程师<!sp>12k-19k<!sp>上海<!sp>经验3-5年<!sp>'Python'<!sp>08:24<!sp>拉勾网<!sp>'员工旅游,员工体检,五险一金'<!sp>''<!sp>上海 - 浦东新区 - 陆家嘴 - 东昌路
众禄基金信息技术系统研发部<!sp>Python开发工程师<!sp>18k-25k<!sp>深圳<!sp>经验1-3年<!sp>'中级,金融,Python,web,php,信息安全'<!sp>16:47<!sp>拉勾网<!sp>'新三板挂牌,团队氛围,金融中心'<!sp>'钻研能力,学习能力,责任心,团队协作能力'<!sp>深圳市市市 - 罗湖区 - 笋岗 - 梨园路HALO广场4楼10-13室
健培研发部<!sp>python开发工程师<!sp>6k-10k<!sp>杭州<!sp>经验1-3年<!sp>'Python,Java'<!sp>14:07<!sp>拉勾网<!sp>'双休,五险,工作8小时,法定节假日'<!sp>'团队协作能力,服务意识,设计能力'<!sp>杭州 - 江干区 - 下沙 - 下沙经济开发区3号大街3号（杭州银行对面）
航仕科技<!sp>Python开发<!sp>20k-35k<!sp>深圳<!sp>经验3-5年<!sp>''<!sp>13:48<!sp>拉勾网<!sp>'BAT的薪资福利待遇,更有技术大牛传授技术'<!sp>'逻辑思维能力,开拓精神,文案能力,团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 科技园
问卷网@爱调研技术部<!sp>Python开发<!sp>15k-25k<!sp>苏州<!sp>经验3-5年<!sp>'后端开发,Python,web,全栈,php,Java'<!sp>09:52<!sp>拉勾网<!sp>'带薪年假,五险一金,期权奖励,定期体检'<!sp>'服务意识,设计能力,主动性,钻研能力,责任心,团队协作能力'<!sp>苏州 - 工业园区 - 独墅湖 - 星湖街328号创意产业园9-503
博悦科创<!sp>急聘python开发工程师<!sp>8k-16k<!sp>深圳<!sp>经验1-3年<!sp>'数据库,Python,linux'<!sp>09:13<!sp>拉勾网<!sp>'发展空间大,福利待遇好'<!sp>'服务意识,设计能力,逻辑思维能力,学习能力'<!sp>深圳 - 福田区 - 购物公园 - 购物公园
