金证股份金证股份工程二部<!sp>UI设计师<!sp>7k-13k<!sp>合肥<!sp>经验3-5年<!sp>'UI,UED'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,年终奖,调薪幅度大'<!sp>'设计能力'<!sp>合肥 - 庐阳区 - 杏林 - 祥源广场
faceui体验创新部<!sp>UI设计师<!sp>10k-16k<!sp>上海<!sp>经验3-5年<!sp>'UI'<!sp>3天前<!sp>拉勾网<!sp>'发展空间大,晋升机制全,福利多,牛人多'<!sp>'专业素质良好,美术功底,设计能力,文案能力,逻辑思维能力,沟通表达能力,团队协作能力,领悟能力,责任心'<!sp>上海 - 浦东新区 - 张江 - 郭守敬路498号浦东软件园21楼207-209
成都大数据研究院技术部<!sp>UI设计师<!sp>7k-12k<!sp>成都<!sp>经验1-3年<!sp>'高级,UI'<!sp>13:44<!sp>拉勾网<!sp>'发展空间大,午餐补助,带薪年假,绩效奖金'<!sp>'美术功底,设计能力,主动性,沟通表达能力,创新能力,常用办公软件的使用,思想品质,上进心,逻辑思维能力,领导能力,抗压能力,执行能力'<!sp>成都 - 高新区 - （天府新区）菁蓉中心D区A6号楼第4、5层（兴隆湖畔）
美康生物云健康<!sp>UI设计师<!sp>5k-7k<!sp>宁波<!sp>经验1-3年<!sp>'UI,交互,UED'<!sp>10:34<!sp>拉勾网<!sp>'UI,交互,原型设计'<!sp>'美术功底,设计能力,审美能力,创新能力,常用办公软件的使用'<!sp>宁波 - 鄞州区 - 学士路655号（科技信息孵化园）D栋9楼
动景集团新镜科技<!sp>视觉设计师<!sp>10k-18k<!sp>上海<!sp>经验1-3年<!sp>'广告营销,视觉,数字营销,创意,AE'<!sp>10:11<!sp>拉勾网<!sp>'带薪年假,交通补贴,午餐补贴,节日福利'<!sp>'创新能力,美术功底,设计能力,逻辑思维能力,团队协作能力,沟通表达能力,专业素质良好,领导能力,执行能力,常用办公软件的使用,服务意识,良好的职业背景'<!sp>上海 - 浦东新区 - 八佰伴 - 浦东南路1118号10层
兑吧设计部<!sp>资深UI设计师<!sp>15k-20k<!sp>杭州<!sp>经验3-5年<!sp>'广告营销,资深,UI,UED,交互'<!sp>1天前<!sp>拉勾网<!sp>'全员出国游,靠谱团队,节日福利,周末双休'<!sp>'美术功底,设计能力,钻研能力,团队协作能力,沟通表达能力,逻辑思维能力,常用办公软件的使用,领悟能力,美术创作能力,自我管理能力,抗压能力,时尚'<!sp>杭州 - 西湖区 - 杭州市文一西路98号数娱大厦702室
湖南创发增值运营部<!sp>UI设计师<!sp>6k-10k<!sp>南京<!sp>经验3-5年<!sp>'UI,UED,交互'<!sp>1天前<!sp>拉勾网<!sp>'机会多'<!sp>'设计能力,文案能力,主动性,责任心,服务意识,美术功底,创新能力,思想品质,逻辑思维能力,沟通表达能力,团队协作能力,常用办公软件的使用'<!sp>南京 - 建邺区 - 莫愁湖公园 - 汉中门大街161号西城广场6202号
润铭网络研发<!sp>UI设计师<!sp>4k-7k<!sp>厦门<!sp>经验1-3年<!sp>'UI,app设计,平面设计'<!sp>3天前<!sp>拉勾网<!sp>'领导好,帅哥美女多,薪资分红高,发展空间大'<!sp>'创新能力,设计能力,逻辑思维能力,美术功底,沟通表达能力,团队协作能力,常用办公软件的使用,审美能力'<!sp>厦门 - 思明区 - 软件园二期望海路37号1楼
衣川文化产品部<!sp>UI设计师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'高级,UI,交互,设计,UED,app'<!sp>15:10<!sp>拉勾网<!sp>'晋升空间大,弹性工作,高额奖金,定期体检'<!sp>'设计能力,时尚,主动性,责任心,思想品质,学习能力,沟通表达能力,创新能力,审美能力'<!sp>北京 - 朝阳区 - 望京 - 阜通东大街59号宜家办公楼
东莞市洲宏服饰有限公司技术部<!sp>UI设计师<!sp>4k-7k<!sp>东莞<!sp>经验1年以下<!sp>'资深,UI,UED,交互,实习生'<!sp>11:51<!sp>拉勾网<!sp>'福利多多'<!sp>'设计能力,专业素质良好,团队协作能力,美术功底,领悟能力,常用办公软件的使用,美术创作能力,思想品质,沟通表达能力,审美能力'<!sp>东莞 - 东莞市市辖区 - 大朗镇毛织贸易中心2-b001
独立日技术部<!sp>UI设计师<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'游戏,UI,设计,app,交互'<!sp>11:40<!sp>拉勾网<!sp>'扁平化管理,团队氛围好,俊男美女多,有餐补'<!sp>'美术功底,创新能力,设计能力,逻辑思维能力,专业素质良好,常用办公软件的使用,审美能力'<!sp>上海 - 杨浦区 - 江浦路 - 长阳路1687号长阳创谷
他趣设计部<!sp>UI设计师<!sp>5k-8k<!sp>厦门<!sp>经验1-3年<!sp>'UI,UED,交互,视觉,艺术'<!sp>09:31<!sp>拉勾网<!sp>'年底双薪,五险一金,带薪病假'<!sp>'领悟能力,逻辑思维能力,创新能力,设计能力,美术功底,执行能力,主动性,钻研能力,专业素质良好,抗压能力,沟通表达能力,团队协作能力,学习能力'<!sp>厦门 - 思明区 - 软件园 - 软件园2期观日路58号401
象聚集团保险岛<!sp>UI设计师<!sp>7k-9k<!sp>郑州<!sp>经验3-5年<!sp>'UI,交互,UED,app,专员'<!sp>1天前<!sp>拉勾网<!sp>'双休,六险一金,结婚礼金,新生儿礼金'<!sp>'美术功底,设计能力,领悟能力,逻辑思维能力,创新能力,团队协作能力,常用办公软件的使用,抗压能力,责任心,工作激情'<!sp>郑州 - 高新区 - 瑞达路翠竹街企业总部基地3号楼
帮析产品部<!sp>UI设计师<!sp>6K-10K<!sp>宁波<!sp>经验1-3年<!sp>'高级,web,UI,交互,app'<!sp>13:39<!sp>拉勾网<!sp>'由独立思考,不干预,能发挥你的价值'<!sp>''<!sp>宁波 - 鄞州区 - - 汉德城C
比酷网络产品设计<!sp>Ui设计师<!sp>8K-11K<!sp>珠海<!sp>经验1-3年<!sp>'文化娱乐,高级,UI,UED,交互,视觉'<!sp>13:14<!sp>拉勾网<!sp>'五险一金,上班弹性,可参与美术为重点项目'<!sp>'设计能力,领悟能力,专业素质良好,团队协作能力,美术创作能力,美术功底,逻辑思维能力'<!sp>珠海 - 香洲区 - - 青竹商业中心
东方国信<!sp>UI设计师<!sp>5k-10k<!sp>合肥<!sp>经验1-3年<!sp>'游戏,UI,手绘,设计,AI,教育'<!sp>2018-01-05<!sp>拉勾网<!sp>'晋升空间'<!sp>'美术功底,设计能力,专业素质良好,常用办公软件的使用'<!sp>工作地址
奥飞游戏深圳分公司3DMMO手游<!sp>UI设计师<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'游戏,UI,角色原画,画师'<!sp>10:48<!sp>拉勾网<!sp>'福利多多,年终奖,项目分红,弹性工作'<!sp>'美术功底,设计能力,美术创作能力,逻辑思维能力,常用办公软件的使用,沟通表达能力,性格好,学习能力'<!sp>- 高新中四道研祥科技大厦18楼
TOPFUN设计部<!sp>初级UI设计师<!sp>6k-10k<!sp>深圳<!sp>经验1-3年<!sp>'游戏,UI,2D,3D'<!sp>10:08<!sp>拉勾网<!sp>'福利好,氛围好'<!sp>'沟通表达能力,常用办公软件的使用,设计能力,美术功底,思想品质'<!sp>深圳 - 南山区 - 科技园 - 百度国际大厦27楼南半层
百融金服风险业务管理部<!sp>UI设计师<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'UI,UED,交互'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,弹性工作,福利补贴'<!sp>'设计能力,领悟能力,团队协作能力,逻辑思维能力,创新能力,专业素质良好,美术功底,审美能力,抗压能力,沟通表达能力'<!sp>上海 - 浦东新区 - 梅园 - 商城路506号新梅联合广场写字楼二期8F C单元
