奇思客研发<!sp>iOS开发工程师<!sp>8k-15k<!sp>成都<!sp>经验1-3年<!sp>'移动端,iOS,Android'<!sp>17:28<!sp>拉勾网<!sp>'五险一金,带薪年假,扁平管理,双休'<!sp>'设计能力,钻研能力,自我管理能力,学习能力,逻辑思维能力,思想品质,沟通表达能力,团队协作能力'<!sp>成都 - 高新区 - 天府大道中段500号东方希望天祥广场1栋2102
华盈技术部<!sp>IOS程序员<!sp>5k-10k<!sp>肇庆<!sp>经验1-3年<!sp>'iOS,Android,C'<!sp>15:16<!sp>拉勾网<!sp>'五险一金,浮动绩效奖,年终奖,各类补贴'<!sp>''<!sp>肇庆 - 端州区 - 星湖大道北侧海逸半岛豪庭办公楼8楼
DataStory研发中心<!sp>IOS开发工程师<!sp>10k-20k<!sp>广州<!sp>经验1-3年<!sp>'iOS,C++,Android'<!sp>14:04<!sp>拉勾网<!sp>'人工智能,技术氛围,高速发展,黑科技'<!sp>'设计能力,钻研能力,学习能力,领悟能力,专业素质良好,思想品质,沟通表达能力,团队协作能力'<!sp>广州 - 海珠区 - 琶洲中洲中心南塔C座2809
名片全能王CS<!sp>iOS软件开发工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'移动互联网,iOS,软件开发,C++,Android'<!sp>14:34<!sp>拉勾网<!sp>'4亿用户,专业团队,团队氛围好,发展空间大'<!sp>'设计能力,专业素质良好,钻研能力,逻辑思维能力,英语基础,学习能力,责任心,团队协作能力'<!sp>上海 - 静安区 - 万荣路1256、1258号云立方A座11、12层
俊云科技研发部<!sp>ios开发工程师<!sp>8k-12k<!sp>成都<!sp>经验1-3年<!sp>'游戏,文化娱乐,iOS,C++,Java,旅游'<!sp>11:35<!sp>拉勾网<!sp>'百万级产品,丰厚年终奖,周末双休,氛围轻松'<!sp>''<!sp>成都 - 高新区 - 益州大道1999号15栋阿里中心701室706-708号
宜信创新产品部<!sp>iOS开发<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'移动端,iOS,Android'<!sp>14:52<!sp>拉勾网<!sp>'1-6奖金,六险一金,弹性工作制,14天带薪'<!sp>'创新能力,设计能力,钻研能力,专业素质良好,主动性,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 大望路 - 朗园vintage
新核云研发部<!sp>IOS 开发工程师<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'Swift,iOS,C++,Android'<!sp>11:21<!sp>拉勾网<!sp>'五险一金,发展空间大,弹性工作,股票期权'<!sp>'逻辑思维能力,设计能力,专业素质良好,学习能力,沟通表达能力,团队协作能力'<!sp>上海 - 徐汇区 - 斜土路 - 中山南二路107号美奂大厦8层
高思教育集团爱学习业务单元<!sp>IOS开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'iOS,php,Java'<!sp>14:13<!sp>拉勾网<!sp>'平台广阔,优秀团队,领导好,氛围佳'<!sp>'设计能力,团队协作能力,服务意识,专业素质良好,领悟能力,逻辑思维能力,抗压能力'<!sp>北京 - 海淀区 - 北航 - 海淀区北四环中路283号
榆钱金融项目开发部<!sp>iOS开发工程师<!sp>10k-15k<!sp>武汉<!sp>经验3-5年<!sp>'iOS,金融,软件开发,C++,Android'<!sp>16:22<!sp>拉勾网<!sp>'五险一金,周末双休,年终奖,晋升空间'<!sp>'逻辑思维能力,专业素质良好,学习能力,钻研能力,主动性,沟通表达能力,团队协作能力'<!sp>武汉 - 武昌区 - 武珞路 - 中南路中商广场写字楼4208
北京瑞友二部SZ<!sp>IOS开发<!sp>9k-15k<!sp>深圳<!sp>经验3-5年<!sp>'网络协议,iOS,架构'<!sp>14:52<!sp>拉勾网<!sp>'周末双休,五险一金,带薪年假,年度调薪'<!sp>'设计能力,钻研能力,领悟能力,团队协作能力,常用办公软件的使用,逻辑思维能力,性格好'<!sp>深圳 - 南山区 - 粤海街道高新技术园中区科发路2号朗峰大厦5楼
神州数码通用软件开发部<!sp>ios开发工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'高级,中级,初级,iOS,C'<!sp>09:41<!sp>拉勾网<!sp>'五险一金,多次调薪,绩效福利,内部晋升'<!sp>'逻辑思维能力,沟通表达能力,团队协作能力,学习能力,创新能力'<!sp>上海 - 浦东新区 - 张江 - 松涛路80号
上汽云计算中心海外车联网<!sp>iOS开发工程师<!sp>15K-30K<!sp>上海<!sp>经验不限<!sp>'资深,iOS,软件开发'<!sp>08:29<!sp>拉勾网<!sp>'海外车联网'<!sp>''<!sp>上海 - 嘉定区 - 安亭 - 安研路201号
同步推研发中心<!sp>iOS开发工程师<!sp>6k-12k<!sp>厦门<!sp>经验1-3年<!sp>'iOS,Swift,图像,C++,Objective-C,视频'<!sp>11:42<!sp>拉勾网<!sp>'公司靠谱,同事靠谱,前途靠谱'<!sp>'逻辑思维能力,设计能力,英语基础,领悟能力,学习能力,责任心,沟通表达能力,上进心,团队协作能力'<!sp>厦门 - 思明区 - 软件园 - 软件园二期望海路10号楼之三3F
江山如画网络科技研发部<!sp>ios开发工程师<!sp>8k-16k<!sp>北京<!sp>经验1-3年<!sp>'python,iOS,C++'<!sp>10:20<!sp>拉勾网<!sp>'提供住宿,一日三餐,紫牛基金投,晋升空间'<!sp>'设计能力,专业素质良好,团队协作能力,英语基础,领悟能力,逻辑思维能力'<!sp>北京 - 海淀区 - 永定路 - 复兴路甲38号
苏宁云商苏宁云商<!sp>iOS开发工程师<!sp>10k-20k<!sp>南京<!sp>经验3-5年<!sp>'iOS,电商'<!sp>09:35<!sp>拉勾网<!sp>'五险一金,年底双薪,带薪年假'<!sp>'设计能力,专业素质良好'<!sp>南京 - 玄武区 - 仙林 - 苏宁大道1号
