当当网技术部<!sp>web前端开发工程师<!sp>12k-17k<!sp>西安<!sp>经验3-5年<!sp>'高级,中级,电商'<!sp>19:07<!sp>拉勾网<!sp>'弹性上班,六险一金,绩效奖,年终奖'<!sp>'设计能力,团队协作能力,执行能力,专业素质良好,逻辑思维能力,钻研能力'<!sp>西安 - 高新技术产业开发区 - 西安市高新区软件新城天谷八路5楼当当网
四川长虹电器股份有限公司长虹软件与服务中心<!sp>WEB前端工程师<!sp>8k-15k<!sp>成都<!sp>经验3-5年<!sp>'web,web前端,移动端,Java'<!sp>17:38<!sp>拉勾网<!sp>'五险一金'<!sp>'钻研能力,设计能力,专业素质良好,团队协作能力,文案能力,沟通表达能力,逻辑思维能力,领导能力,责任心,思想品质,学习能力'<!sp>成都 - 高新区 - 天府四街长虹科技大厦
泛微<!sp>web前端<!sp>13k-17k<!sp>上海<!sp>经验1-3年<!sp>'前端,web,web前端'<!sp>09:22<!sp>拉勾网<!sp>'半年加薪,奖金多,双休,包三餐'<!sp>'专业素质良好,文案能力,设计能力,常用办公软件的使用,学习能力,责任心,团队协作能力'<!sp>上海 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
拉勾网商业产品研发中心<!sp>Web前端开发<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'web,web前端,HTML'<!sp>2018-01-10<!sp>拉勾网<!sp>'技术挑战,美味果盘,运动健身'<!sp>''<!sp>北京 - 海淀区 - 苏州街 - 中关村创业大街海置创投大厦4层
中邮消费IT运营部<!sp>WEB前端开发<!sp>13k-25k<!sp>广州<!sp>经验3-5年<!sp>'高级,中级,初级,AngularJS,web前端,HTML'<!sp>17:10<!sp>拉勾网<!sp>'互联网金融,敏捷开发,项目奖,挑战性工作'<!sp>'文案能力,执行能力'<!sp>广州 - 天河区 - 林和 - 林和东路281号天伦控股大厦
航天信息金税产业本部云税智能终端组<!sp>WEB前端工程师<!sp>8k-15k<!sp>北京<!sp>经验不限<!sp>'高级,中级,初级,实习,web,web前端'<!sp>15:10<!sp>拉勾网<!sp>'5险2金'<!sp>'设计能力,团队协作能力,常用办公软件的使用,领悟能力,责任心,沟通表达能力,学习能力'<!sp>北京 - 海淀区 - 四季青 - 杏石口路甲18号
朗播网产品技术<!sp>Web前端开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'高级,前端,web,web前端,HTML,旅游'<!sp>13:47<!sp>拉勾网<!sp>'六险一金,股票期权,带薪年假,集体旅行'<!sp>'设计能力,逻辑思维能力,责任心,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 上地 - 上地信息路甲28号科实大厦D座501
Dreamix研发部<!sp>WEB前端工程师<!sp>5k-9k<!sp>成都<!sp>经验1-3年<!sp>'web前端,HTML,JavaScript'<!sp>10:32<!sp>拉勾网<!sp>'团队靠谱,项目靠谱'<!sp>'领悟能力,设计能力'<!sp>成都 - 武侯区 - 高新区府城大道西段399号天府新谷10号楼18层
思迪股份基础研发部<!sp>web前端开发工程师<!sp>15k-25k<!sp>深圳<!sp>经验3-5年<!sp>'高级,web前端,vuejs,jquery,html5,JavaScript'<!sp>14:32<!sp>拉勾网<!sp>'六险一金,弹性上班'<!sp>''<!sp>深圳 - 南山区 - 深圳湾科技生态园9栋B4座14楼
企鹅创新研发<!sp>Web前端工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'媒体,前端,web,web前端,HTML,视频'<!sp>17:28<!sp>拉勾网<!sp>'大牛共事,期权,弹性工作'<!sp>'设计能力,领悟能力,专业素质良好,逻辑思维能力,沟通表达能力,团队协作能力,学习能力'<!sp>北京 - 朝阳区 - 望京 - 望京SOHOT2
环球资源CM<!sp>Web前端开发工程师<!sp>7k-10k<!sp>深圳<!sp>经验1-3年<!sp>'web,web前端,地图,JavaScript'<!sp>09:08<!sp>拉勾网<!sp>'知名外企,专业培训,六险一金,专业培训'<!sp>'设计能力,创新能力,服务意识,团队协作能力,领导能力,英语基础,沟通表达能力'<!sp>深圳 - 福田区 - 福华三路168号荣超国际商会中心35楼
北蚁研发部<!sp>WEB前端工程师<!sp>8k-12k<!sp>武汉<!sp>经验3-5年<!sp>'前端,web,web前端,js,HTML,JavaScript'<!sp>10:26<!sp>拉勾网<!sp>'五险一金,扁平管理,年终奖,员工旅游'<!sp>'设计能力'<!sp>武汉 - 东湖新技术开发区 - 武汉力源信息技术股份有限公司（金融港对面）
