摩天轮市场部<!sp>市场总监<!sp>40k-50k<!sp>上海<!sp>经验5-10年<!sp>'移动互联网,总监,市场推广,市场营销'<!sp>19:09<!sp>拉勾网<!sp>'股票期权,年底多薪,蓝海行业'<!sp>'执行能力,公关能力,主动性,团队协作能力,逻辑思维能力,钻研能力,抗压能力'<!sp>上海 - 徐汇区 - 华山路2018号1001室
考拉理财考拉市场部<!sp>市场总监<!sp>20k-40k<!sp>广州<!sp>经验3-5年<!sp>'广告营销,总监,市场,营销,数据分析'<!sp>09:31<!sp>拉勾网<!sp>'发展空间大,福利待遇好,周末双休,股票期权'<!sp>'逻辑思维能力'<!sp>广州 - 海珠区 - 客村 - 新港中路艺苑南路13号大院5栋201-1室
创新工场AI工程院创新工场AI工程院<!sp>市场总监<!sp>25k-40k<!sp>北京<!sp>经验5-10年<!sp>'总监,市场推广,市场营销'<!sp>10:12<!sp>拉勾网<!sp>'顶尖大牛,成长机会,商业资源多,工作环境棒'<!sp>'开拓精神,逻辑思维能力,专业素质良好,沟通表达能力,领导能力,团队协作能力'<!sp>北京 - 海淀区 - 鼎好大厦A座10层
江苏新景祥市场部<!sp>市场总监<!sp>10k-20k<!sp>南京<!sp>经验5-10年<!sp>'总监,数据分析,市场,调研,市场拓展,电商'<!sp>09:22<!sp>拉勾网<!sp>'五险一金,弹性工作,绩效奖金,定期体检'<!sp>'逻辑思维能力,开拓精神,团队协作能力,设计能力,领悟能力,沟通表达能力'<!sp>南京 - 鼓楼区 - 江东 - 清江南路70号水资源科技大厦11层
贝多多市场部<!sp>市场总监<!sp>20k-30k<!sp>深圳<!sp>经验5-10年<!sp>'移动互联网,广告营销,总监,运营,市场推广,视频'<!sp>09:42<!sp>拉勾网<!sp>'发展前景广,薪资福利佳,团队牛,牛逼项目'<!sp>'执行能力,人脉资源,团队协作能力,逻辑思维能力,创新能力,沟通表达能力'<!sp>深圳市市市 - 南山区 - 科技园 - 深圳市南山区粤海街道科技路9号桑达科技工业大厦225室
问卷星市场<!sp>市场总监<!sp>15k-23k<!sp>长沙<!sp>经验5-10年<!sp>'总监,运营,推广,数据分析'<!sp>08:45<!sp>拉勾网<!sp>'大平台,发展空间大,股票,期权'<!sp>'专业素质良好,逻辑思维能力,沟通表达能力'<!sp>长沙市市市 - 岳麓区 - 麓谷 - 中电软件园7栋5楼
时趣social-touch市场部<!sp>CMO<!sp>40k-50k<!sp>北京<!sp>经验5-10年<!sp>'市场拓展,代理商,副总裁'<!sp>10:47<!sp>拉勾网<!sp>'福利待遇好,优秀团队,办公环境好'<!sp>'团队协作能力,主动性,钻研能力,创新能力,英语基础,沟通表达能力,学习能力,抗压能力'<!sp>北京 - 朝阳区 - 北京市朝阳区东四环76号大成国际D座3层
端点科技产品运营<!sp>市场总监<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'移动互联网,广告营销,总监,市场,营销,市场营销'<!sp>09:34<!sp>拉勾网<!sp>'市场,公关,媒体'<!sp>'执行能力,公关能力,服务意识,开拓精神,创新能力,逻辑思维能力,领导能力,抗压能力,团队协作能力'<!sp>杭州 - 西湖区 - 河山路中大银座4号楼3楼
食趣市场部<!sp>市场总监<!sp>10k-15k<!sp>杭州<!sp>经验5-10年<!sp>'媒体,总监,地推,流量,营销,市场营销'<!sp>1天前<!sp>拉勾网<!sp>'高薪,上升空间,未来合伙人,打造团队'<!sp>'执行能力,开拓精神,创新能力,设计能力,团队协作能力,领悟能力,人脉资源,良好的职业背景,逻辑思维能力,专业素质良好,公关能力'<!sp>杭州 - 余杭区 - 海创科技中心2号楼206
楼盘网市场部<!sp>市场总监<!sp>8K-10K<!sp>长沙<!sp>经验1-3年<!sp>'总监,市场,市场拓展'<!sp>17:56<!sp>拉勾网<!sp>'总监,房地产,包销'<!sp>'执行能力,团队协作能力,常用办公软件的使用,抗压能力,专业素质良好,沟通表达能力,开拓精神,领悟能力'<!sp>长沙 - 天心区 - 涂家冲 - 芙蓉中路三段398号新时空大厦5楼
妙健康商务中心<!sp>市场总监<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'总监,市场,市场拓展,市场推广,市场营销'<!sp>15:51<!sp>拉勾网<!sp>'六险一金,带薪年假,平台广,发展快'<!sp>'设计能力,逻辑思维能力,钻研能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 大望路 - 西大望路甲12号（国家广告园）主楼AB栋二层
