千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
百度地图基础业务部<!sp>机器学习/数据挖掘工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,数据挖掘,C++,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'薪资福利好'<!sp>''<!sp>北京 - 海淀区 - 西二旗 - 百度大厦
挖财<!sp>机器学习/文本挖掘工程师-...<!sp>12k-24k<!sp>杭州<!sp>经验不限<!sp>'NLP,算法,大数据,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作,六险一金,晋升空间,带薪年假'<!sp>'逻辑思维能力,学习能力,专业素质良好,领悟能力'<!sp>杭州 - 西湖区 - 高新文教区 - 华星路96号互联网金融大厦19楼（原瑞利大厦）
Udesk－企业级智能客服平台研发部<!sp>机器学习<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'企业服务,搜索,算法,机器学习,推荐,NLP'<!sp>1天前<!sp>拉勾网<!sp>'团队强悍,待遇丰厚,数据规模,场景明确'<!sp>''<!sp>北京 - 西城区 - 西直门 - 西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）
链家新房研发部<!sp>资深机器学习/数据挖掘工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'本地生活,房产服务,算法,大数据,数据分析,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'使用数据和算法改善新房交易体验'<!sp>'逻辑思维能力,学习能力,专业素质良好,设计能力,钻研能力,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 上地 - 开拓路11号福道大厦
七牛云pandora大数据中心<!sp>机器学习工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,数据挖掘,专员,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年终奖,绩效奖,出国旅游,专业培训'<!sp>'学习能力,领悟能力,逻辑思维能力,专业素质良好,自我管理能力,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 亮秀路112号Y1座310室
极验技术部<!sp>机器学习工程师<!sp>10k-20k<!sp>武汉<!sp>经验1-3年<!sp>'数据挖掘,机器学习,深度学习,大数据'<!sp>1天前<!sp>拉勾网<!sp>'优秀队友,成长空间'<!sp>''<!sp>武汉 - 东湖新技术开发区 - 武大园东路武大航域二区
慕课网开发<!sp>机器学习 / 讲师<!sp>15K-25K<!sp>北京<!sp>经验1-3年<!sp>'机器学习,深度学习,人工智能,视频'<!sp>1天前<!sp>拉勾网<!sp>'时间自由,收益分成'<!sp>''<!sp>北京 - 海淀区 - 魏公村 - 北京理工大学国防科技园2号楼十层
数美研发部<!sp>机器学习<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,金融,算法,NLP,音视频处理,语音处理'<!sp>1天前<!sp>拉勾网<!sp>'飞速发展,大佬领投,顶级团队,海量数据'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好,自我管理能力,工作激情,思想品质'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
美菜网产品研发<!sp>机器学习-推荐算法专家<!sp>20k-40k<!sp>北京<!sp>经验5-10年<!sp>'专家,高级,数据分析,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'移动互联网生鲜巨头公司'<!sp>'逻辑思维能力,设计能力,学习能力,常用办公软件的使用,责任心,沟通表达能力,团队协作能力'<!sp>北京市 - 朝阳区 - 安贞 - 北京市朝阳区安贞路安贞西里五区一号楼新华金融大厦4层
猎户星空人工智能<!sp>机器学习/深度学习平台优...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'高级,python,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'行业大牛,人工智能,前沿技术及产品'<!sp>'学习能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 三里屯 - 盈科中心
