冰果数码次世代角色部<!sp>次世代游戏角色<!sp>4k-8k<!sp>成都<!sp>经验不限<!sp>'3D,角色,动漫,游戏开发'<!sp>3天前<!sp>拉勾网<!sp>'年底双薪,多次调薪,周末双休,五险'<!sp>'美术功底'<!sp>工作地址
正易龙美术设计部<!sp>原画师/游戏角色设计师<!sp>7k-12k<!sp>深圳<!sp>经验不限<!sp>'游戏,原画,美术,手绘,角色原画,画师'<!sp>2天前<!sp>拉勾网<!sp>'晋升空间大,发展稳定,技术挑战大'<!sp>'责任心,设计能力,美术创作能力,美术功底,专业素质良好,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 高新中四道31号研祥科技大厦7B1-B8
3Dunion-瀚易特影视部<!sp>游戏角色（模型师）<!sp>4k-6k<!sp>苏州<!sp>经验1-3年<!sp>'游戏,角色'<!sp>3天前<!sp>拉勾网<!sp>'带薪年假,节日生日福利,发展空间大'<!sp>'美术功底,专业素质良好,常用办公软件的使用,设计能力,思想品质,团队协作能力'<!sp>- 竹园路209号1号楼A5005-5005室
上海育界科技设计部<!sp>底薪5K+3D游戏角色模型设计师<!sp>6k-9k<!sp>上海<!sp>经验不限<!sp>'特效,2D,场景,U3D,游戏开发'<!sp>08:58<!sp>拉勾网<!sp>'节日福利,提供住宿,五险一金,周末双休'<!sp>'设计能力,专业素质良好,思想品质,学习能力'<!sp>上海 - 徐汇区 - 田林 - 田林路140号越界创意园16号楼G08近苍梧路
深圳云中核子<!sp>游戏角色原画师<!sp>15k-20k<!sp>深圳<!sp>经验3-5年<!sp>'游戏,原画,设计,角色'<!sp>10:44<!sp>拉勾网<!sp>'周末双休,分红多,项目靠谱,福利氛围好'<!sp>''<!sp>深圳 - 南山区 - 科技园 - 高新园德赛科技大厦1603
文景科技美术<!sp>3D游戏角色设计师/建筑<!sp>9k-13k<!sp>珠海<!sp>经验3-5年<!sp>'游戏,3D,建模'<!sp>2018-01-10<!sp>拉勾网<!sp>'购买保险,弹性工作,福利好,带薪假期'<!sp>'专业素质良好'<!sp>珠海 - 香洲区 - 翠微金嘉创意谷4栋6楼
二次元动漫游戏部<!sp>游戏角色原画<!sp>8k-13k<!sp>成都<!sp>经验3-5年<!sp>'原画,角色,角色原画,游戏开发'<!sp>10:16<!sp>拉勾网<!sp>'六险一金,包食,福利丰厚,环境氛围佳'<!sp>'设计能力,领悟能力,美术创作能力,美术功底,专业素质良好,主动性,抗压能力,创新能力,责任心,思想品质,团队协作能力'<!sp>成都 - 高新区 - 益州大道北段777号AIP中航国际交流中心A座1608
2144游戏美术部门<!sp>游戏角色原画师<!sp>12k-24k<!sp>上海<!sp>经验1-3年<!sp>'原画,美术,2D,角色,动漫,游戏开发'<!sp>2天前<!sp>拉勾网<!sp>'领导友好,上升空间广,大牛多,各种福利'<!sp>'设计能力,形象气质佳,美术功底,审美能力,专业素质良好'<!sp>上海 - 浦东新区 - 张江 - 浦东软件园
网易雷火游戏<!sp>资深游戏角色制作设计师<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'资深,高级,3D,角色,2D,游戏开发'<!sp>3天前<!sp>拉勾网<!sp>'成功项目,丰厚分红'<!sp>'美术功底,领悟能力,钻研能力,学习能力'<!sp>杭州 - 滨江区 - 网易(杭州)网络有限公司
星蓉腾原画<!sp>游戏角色原画师<!sp>5k-10k<!sp>成都<!sp>经验1-3年<!sp>'游戏,原画,场景原画,角色原画'<!sp>14:39<!sp>拉勾网<!sp>'绩效'<!sp>'设计能力,美术功底,沟通表达能力,专业素质良好,良好的职业背景,美术创作能力'<!sp>成都高新区天府大道中段1388号美年广场
巨人网络<!sp>游戏角色原画设计师<!sp>12k-18k<!sp>上海<!sp>经验3-5年<!sp>'游戏,原画,手绘,2D,角色,设计'<!sp>12:04<!sp>拉勾网<!sp>'上市公司,项目奖金,补充医保,知名IP,大平台'<!sp>'设计能力,美术创作能力,责任心,沟通表达能力,学习能力,团队协作能力,美术功底,专业素质良好'<!sp>上海 - 松江区 - 中辰路655号
上海君润网络设计部<!sp>游戏角色原画<!sp>3k-6k<!sp>上海<!sp>经验不限<!sp>'游戏,原画,角色原画,画师'<!sp>2018-01-20<!sp>拉勾网<!sp>'原画,角色,角色原画'<!sp>'美术创作能力,美术功底,设计能力,专业素质良好,创新能力,常用办公软件的使用,沟通表达能力,团队协作能力'<!sp>上海 - 黄浦区 - 半淞园路 - 中山南一路500弄1号
破晓互动游戏研发部<!sp>剧情策划（偏游戏角色为主）<!sp>8k-15k<!sp>北京<!sp>经验不限<!sp>'原画,文案,游戏策划,二次元'<!sp>2018-01-18<!sp>拉勾网<!sp>'大牛云集,饭补,无限零食,逗比氛围'<!sp>'文案能力,形象气质佳,创新能力,逻辑思维能力,主动性,抗压能力,沟通表达能力,思想品质,性格好,时尚'<!sp>北京 - 海淀区 - 中关村 - 中关村南大街6号中电信息大厦703
成都种子互动美术组<!sp>3D资深游戏角色<!sp>10k-15k<!sp>成都<!sp>经验3-5年<!sp>'原画,美术,手绘,3D,游戏开发'<!sp>2018-01-15<!sp>拉勾网<!sp>'高薪,老板nic,个人提升,福利健全'<!sp>'美术创作能力,美术功底,审美能力,设计能力,领悟能力,专业素质良好'<!sp>成都 - 高新区 - 中和 - 天府软件园C区10-4
幻界游戏美术部<!sp>游戏角色原画设计师<!sp>13k-18k<!sp>深圳<!sp>经验3-5年<!sp>'游戏,原画,角色,设计,场景原画,角色原画'<!sp>2018-01-19<!sp>拉勾网<!sp>'知名日漫IP,福利多多,弹性工作,双休'<!sp>'设计能力,美术创作能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 科技园中区高新中三道9号环球数码大厦A201
上海育界科技设计部<!sp>3D游戏角色设计（可转行）<!sp>4k-8k<!sp>上海<!sp>经验不限<!sp>'手绘,原画,2D,3D,角色,实习生'<!sp>08:58<!sp>拉勾网<!sp>'摄受零基础,提供住宿,不限专业,双休'<!sp>'美术创作能力,美术功底,专业素质良好,审美能力,责任心,团队协作能力'<!sp>上海 - 徐汇区 - 田林 - 田林路140号越界创意园16号楼G08近苍梧路
上海君润网络设计部<!sp>资深游戏角色原画<!sp>8k-16k<!sp>上海<!sp>经验3-5年<!sp>'游戏,原画,角色原画,画师'<!sp>2018-01-20<!sp>拉勾网<!sp>'资深原画,角色,原画'<!sp>'专业素质良好,领导能力,设计能力,美术功底,美术创作能力,创新能力,钻研能力,常用办公软件的使用,沟通表达能力,团队协作能力'<!sp>上海 - 黄浦区 - 半淞园路 - 中山南一路500弄1号
渲奇手绘角色组<!sp>3D游戏角色模型师<!sp>6k-12k<!sp>武汉<!sp>经验1-3年<!sp>'资深,美术,手绘,3D,角色,游戏开发'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,年底分红,绩效奖金,周末双休'<!sp>'设计能力,美术功底,沟通表达能力,学习能力,团队协作能力,思想品质,美术创作能力'<!sp>武汉 - 洪山区 - 光谷 - 光谷大道
三叠色原画<!sp>游戏角色原画师<!sp>6k-10k<!sp>南京<!sp>经验不限<!sp>'游戏,原画,角色,2D,3D'<!sp>3天前<!sp>拉勾网<!sp>'游戏,原画,角色'<!sp>'设计能力,美术功底,思想品质,团队协作能力'<!sp>南京市 - 建邺区 - 小行 - 云龙山路88号烽火科技大厦B17
西山居游戏美术平台<!sp>游戏角色原画设计师<!sp>8k-16k<!sp>成都<!sp>经验1-3年<!sp>'游戏,原画,角色,设计'<!sp>2018-01-19<!sp>拉勾网<!sp>'美术大牛,一流项目,花园式办公'<!sp>'美术创作能力,美术功底,专业素质良好,创新能力,设计能力,责任心,沟通表达能力,团队协作能力'<!sp>成都 - 高新区 - 孵化园5号楼三层（环球中心隔壁）
网易雷火游戏部<!sp>资深游戏角色原画设计师-<!sp>18k-28k<!sp>杭州<!sp>经验3-5年<!sp>'游戏,原画,角色,角色原画'<!sp>3天前<!sp>拉勾网<!sp>'成功项目'<!sp>'美术功底,设计能力,领导能力,团队协作能力,文案能力,领悟能力,逻辑思维能力,创新能力,责任心,主动性,学习能力'<!sp>杭州 - 滨江区 - 网易(杭州)网络有限公司
HART美术部<!sp>游戏角色原画<!sp>6k-12k<!sp>上海<!sp>经验1-3年<!sp>'游戏,原画,美术,角色,场景原画,角色原画'<!sp>2018-01-05<!sp>拉勾网<!sp>'丰厚奖励,绩效制,双休,出境游'<!sp>'专业素质良好'<!sp>上海 - 闵行区 - 莘庄工业区 - 申北路8号春申文化产业园
完美世界美术中心<!sp>游戏角色原画设计师<!sp>3k-4k<!sp>成都<!sp>经验不限<!sp>'游戏,原画,场景原画,角色原画,助理,实习生'<!sp>09:36<!sp>拉勾网<!sp>'健身房,大神带,游戏玩到海'<!sp>'美术功底,美术创作能力,专业素质良好'<!sp>成都 - 双流区 - 中和 - 天府软件园C8
