蓝联科技研发部<!sp>电路设计（2人）<!sp>4k-6k<!sp>杭州<!sp>经验1-3年<!sp>'硬件制造,绘制,硬件开发,电路设计,CAD'<!sp>09:49<!sp>拉勾网<!sp>'薪资优厚,能力提高,双休'<!sp>'设计能力,抗压能力,思想品质,沟通表达能力,开拓精神,团队协作能力'<!sp>杭州 - 滨江区 - 西兴 - 西兴街道物联网街451号芯图大厦19楼
正峰电子研发部<!sp>电路设计<!sp>8k-15k<!sp>广州<!sp>经验3-5年<!sp>'电路设计'<!sp>2018-01-14<!sp>拉勾网<!sp>'你有能力,我有资金,我有项目,合伙吧。'<!sp>''<!sp>广州 - 番禺区 - 市桥 - 市桥地铁口附近
超节点研发部<!sp>电路设计<!sp>10k-20k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造,电路设计'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,定期调薪,期权分红'<!sp>'设计能力,逻辑思维能力,主动性,团队协作能力'<!sp>深圳 - 南山区 - 西丽 - 西丽平山一路南山云谷二期11栋607
轻客智能硬件研发<!sp>电路设计工程师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,单片机,电路设计,FPGA'<!sp>2018-01-16<!sp>拉勾网<!sp>'自由工作制,股份分配'<!sp>'专业素质良好,设计能力,逻辑思维能力,文案能力'<!sp>北京 - 昌平区 - 回龙观 - 金域国际中心B座
便利蜂单车技术部<!sp>电路设计工程师<!sp>18k-36k<!sp>北京<!sp>经验3-5年<!sp>'电路设计'<!sp>2018-01-18<!sp>拉勾网<!sp>'设计原理图,PCB图'<!sp>'专业素质良好,设计能力,文案能力,思想品质,团队协作能力,钻研能力'<!sp>北京 - 海淀区 - 中关村 - 海龙大厦
小吉科技大面发行事业群-云心智能研发部<!sp>电路设计工程师<!sp>8k-16k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,单片机,系统集成,电路设计'<!sp>2017-12-28<!sp>拉勾网<!sp>'五险一金,无限零食,绩效奖金'<!sp>'专业素质良好,设计能力,文案能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 西坝河 - 西坝河东里20号河北旅游推广中心院内
梦芯科技芯片研发部<!sp>模拟电路设计工程师<!sp>9k-15k<!sp>武汉<!sp>经验3-5年<!sp>'硬件制造,电路设计,FPGA,射频'<!sp>2018-01-15<!sp>拉勾网<!sp>'多项福利,年轻化团队,现代化办公'<!sp>'设计能力,专业素质良好,逻辑思维能力,沟通表达能力,学习能力,团队协作能力,英语基础'<!sp>武汉 - 东湖新技术开发区 - 光谷 - 民族大道39号
北京航天盛凯科技有限公司研发<!sp>电子电路设计师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'嵌入式,单片机,电路设计,FPGA'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年终奖金,定期体检'<!sp>'设计能力,常用办公软件的使用'<!sp>北京 - 丰台区 - 丰台体育馆 - 海鹰路1号院4号楼
华昇半导体研发部<!sp>集成电路设计师<!sp>6k-10k<!sp>哈尔滨<!sp>经验不限<!sp>'CMOS,版图设计,EDA,电路设计'<!sp>3天前<!sp>拉勾网<!sp>'硅谷前沿,美资企业,发展空间,五险一金'<!sp>'设计能力,专业素质良好,领导能力,学习能力,团队协作能力,文案能力,英语基础,创新能力'<!sp>哈尔滨 - 松北区 - 创新路1616号16号楼
晶格科技制造部<!sp>模拟/数字电路设计工程师<!sp>10k-20k<!sp>珠海<!sp>经验3-5年<!sp>'中级,单片机,数字音频,C++,嵌入式,ucos'<!sp>2018-01-08<!sp>拉勾网<!sp>'软件架构,硬件设计,Linux,软件设计'<!sp>'设计能力,逻辑思维能力,学习能力,创新能力,责任心,沟通表达能力,团队协作能力'<!sp>珠海 - 香洲区 - 高新区民营科技园主楼208
芯旺<!sp>模拟集成电路设计工程师<!sp>15k-30k<!sp>上海<!sp>经验5-10年<!sp>'工业设计,电路设计,旅游,射频'<!sp>2017-12-26<!sp>拉勾网<!sp>'五险一金,定期体检,员工旅游,领导好'<!sp>'文案能力,设计能力,领导能力,专业素质良好,沟通表达能力,创新能力,团队协作能力,英语基础'<!sp>上海 - 浦东新区 - 张江 - 科苑路201号5楼A区
华昇半导体研发部<!sp>高级存储器电路设计工程师<!sp>10k-16k<!sp>哈尔滨<!sp>经验3-5年<!sp>'硬件开发,电路设计'<!sp>3天前<!sp>拉勾网<!sp>'美企氛围,硅谷技术,期权激励'<!sp>'设计能力,专业素质良好,逻辑思维能力,团队协作能力,沟通表达能力,自我管理能力'<!sp>哈尔滨 - 松北区 - 创新路1616号16号楼
芯旺研发部<!sp>IC模拟电路设计工程师<!sp>10k-16k<!sp>上海<!sp>经验不限<!sp>'硬件制造,电路设计'<!sp>2017-12-26<!sp>拉勾网<!sp>'福利好,定期体检,员工旅游,带薪年假'<!sp>'文案能力,设计能力,领导能力,专业素质良好,沟通表达能力,创新能力,团队协作能力,英语基础'<!sp>上海 - 浦东新区 - 张江 - 龙东大道3000号1号楼B区906B
