赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
上海米哈游研发部<!sp>白盒测试<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'游戏,资深,测试'<!sp>1天前<!sp>拉勾网<!sp>'技术牛人多,扁平化,带薪假期,弹性工作'<!sp>'文案能力,创新能力,专业素质良好,设计能力,执行能力,沟通表达能力,团队协作能力'<!sp>上海 - 徐汇区 - 漕宝路 - 宜山路1388号
泰为QA<!sp>QA工程师-白盒测试<!sp>10k-18k<!sp>上海<!sp>经验1-3年<!sp>'白盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'补充公积金,补充医疗保险,出国机会'<!sp>''<!sp>上海 - 长宁区 - 古北 - 仙霞路333号东方维京大厦
新航动力运营部<!sp>白盒测试<!sp>7k-10k<!sp>长沙<!sp>经验3-5年<!sp>'中级,白盒,功能测试,性能测试,测试,电商'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,带薪年假,外派奖金'<!sp>''<!sp>长沙 - 岳麓区 - 麓谷 - 中电软件园总部大楼
贝米钱包IT<!sp>测试工程师<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'初级,金融,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'商业保险,年度体检,年度旅游,期权等'<!sp>'逻辑思维能力,文案能力,执行能力,专业素质良好,设计能力,沟通表达能力,领悟能力,学习能力,团队协作能力'<!sp>上海 - 徐汇区 - 衡山路 - 永嘉路698号
北京瑞友欧美事业部<!sp>白盒测试工程师<!sp>12k-16k<!sp>北京<!sp>经验1-3年<!sp>'白盒,测试,脚本,自动化'<!sp>2天前<!sp>拉勾网<!sp>'平台好,环境佳·'<!sp>'领悟能力,逻辑思维能力,设计能力,文案能力,执行能力,思想品质,责任心'<!sp>北京 - 海淀区 - 西北旺 - 四维图新大厦
京东金融<!sp>白盒测试工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'金融,白盒,测试'<!sp>2天前<!sp>拉勾网<!sp>'带薪年假-年终奖-年底双薪'<!sp>'设计能力,文案能力,执行能力,逻辑思维能力,学习能力,主动性,沟通表达能力'<!sp>北京 - 通州区 - 亦庄 - 亦庄经海路京东总部
奇虎360金融数据智能部<!sp>白盒测试工程师<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'白盒'<!sp>1天前<!sp>拉勾网<!sp>'专供科技金融领域'<!sp>'设计能力,文案能力,执行能力,逻辑思维能力,学习能力,主动性,沟通表达能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥6号院360大厦
泛微<!sp>测试<!sp>6k-9k<!sp>上海<!sp>经验1-3年<!sp>'测试,黑盒'<!sp>1天前<!sp>拉勾网<!sp>'员工旅游,工作日美味三餐,舒心的工作氛围'<!sp>'执行能力,设计能力,专业素质良好,逻辑思维能力,文案能力,领悟能力,沟通表达能力,学习能力'<!sp>- 耀华支路39弄9号泛微软件大厦（济明路和通耀路交叉口）
吉联新综合物流事业部<!sp>白盒测试工程师<!sp>10k-18k<!sp>上海<!sp>经验3-5年<!sp>'iOS,测试,白盒,Java'<!sp>2018-01-17<!sp>拉勾网<!sp>'年终奖,晋升空间大,有加班费,绩效奖金'<!sp>'文案能力,逻辑思维能力'<!sp>上海 - 青浦区 - 赵巷 - 奥特莱斯附近
速感科技研发部<!sp>白盒/开发测试工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'白盒,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛,团队氛围好,免费午晚饭,团建多多'<!sp>'设计能力,文案能力,沟通表达能力,主动性,责任心,团队协作能力,专业素质良好,执行能力'<!sp>北京 - 海淀区 - 知春路 - 知春路23号量子银座
驭势科技研发部<!sp>白盒测试开发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'白盒'<!sp>2018-01-17<!sp>拉勾网<!sp>'无人驾驶,合伙人制度,班车,工作餐'<!sp>''<!sp>北京市 - 房山区 - 良乡 - 中关村产业前沿技术研究院
北京天天顺测试部门<!sp>白盒测试<!sp>12k-20k<!sp>北京<!sp>经验3-5年<!sp>'白盒,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'提供三餐,提供住宿,提供五险,薪资面议'<!sp>'专业素质良好,设计能力,逻辑思维能力,文案能力,主动性,沟通表达能力,执行能力'<!sp>北京 - 朝阳区 - 高碑店东店甲一号院，天天顺公司
