武汉物易云通网络科技清结算部<!sp>清结算专员<!sp>3k-4k<!sp>武汉<!sp>经验1-3年<!sp>'结算'<!sp>09:29<!sp>拉勾网<!sp>'五险一金'<!sp>'学习能力,执行能力,责任心,沟通表达能力,团队协作能力'<!sp>武汉 - 武昌区 - 中北路 - 汉街总部国际C座8楼
筑家易财务管理中心结算部<!sp>结算专员<!sp>3k-6k<!sp>杭州<!sp>经验不限<!sp>'结算'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,节日礼包,购房优惠'<!sp>''<!sp>杭州 - 余杭区 - 仓前 - 未来科技城·海创科技中心1号楼
咪咕次元事业部<!sp>结算岗<!sp>10k-20k<!sp>厦门<!sp>经验1-3年<!sp>'数据,审核,结算,财务,报账'<!sp>2018-01-22<!sp>拉勾网<!sp>'五险一金,带薪年休,节假补贴,高端培训'<!sp>'团队协作能力,吃苦耐劳,常用办公软件的使用'<!sp>厦门 - 思明区 - 软件园二期望海路8号
百联全渠道电商财务管理部<!sp>结算<!sp>6k-8k<!sp>上海<!sp>经验3-5年<!sp>'审核,统计,结算,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'扁平管理'<!sp>'逻辑思维能力,执行能力,文案能力,思想品质,常用办公软件的使用,沟通表达能力,团队协作能力'<!sp>上海 - 黄浦区 - 外滩 - 四川南路26号
玩途旅行财务部<!sp>结算主管<!sp>8k-10k<!sp>上海<!sp>经验3-5年<!sp>'AR,主管,结算,旅游,财务,电商'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间大'<!sp>'专业素质良好,常用办公软件的使用,沟通表达能力'<!sp>上海 - 长宁区 - 虹桥 - 中山西路930号云都虹桥大厦11楼B座
妙计旅行财务部<!sp>结算<!sp>6k-8k<!sp>北京<!sp>经验3-5年<!sp>'运营,结算,数据分析,助理,旅游,电商'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,两次调薪,包三餐,良好平台'<!sp>''<!sp>北京 - 东城区 - 安定门 - 雍和宫国学胡同11号（国学书院）
八维通科技清结算部<!sp>清结算主管<!sp>8k-16k<!sp>杭州<!sp>经验3-5年<!sp>'支付,银行,主管,经理,结算,助理'<!sp>09:36<!sp>拉勾网<!sp>'背景牛,领导牛,团队年轻'<!sp>'沟通表达能力,团队协作能力,设计能力,常用办公软件的使用,主动性,抗压能力,工作激情,思想品质,应变能力,执行能力'<!sp>杭州市市市 - 滨江区 - 长河 - 东冠大厦20层
上海钢银钢厂事业部<!sp>结算专员<!sp>4k-5k<!sp>上海<!sp>经验1-3年<!sp>'后勤,助理,实习生'<!sp>09:04<!sp>拉勾网<!sp>'年底多薪,带薪年假,做五休二,提供住宿'<!sp>'常用办公软件的使用,沟通表达能力,性格好,逻辑思维能力'<!sp>上海 - 宝山区 - 桃浦 - 园丰路68号
智慧树<!sp>结算经理-北京-00024<!sp>8k-10k<!sp>北京<!sp>经验3-5年<!sp>'金融,运营,商务,结算经理,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,各种补助,带薪病假'<!sp>'专业素质良好,逻辑思维能力,沟通表达能力,执行能力,团队协作能力,抗压能力'<!sp>北京 - 朝阳区 - 十里堡 - 青年路113号东院启城空间8号
江南布衣生产采购中心<!sp>结算专员<!sp>4k-6k<!sp>杭州<!sp>经验1-3年<!sp>'结算,助理'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大,福利优越'<!sp>'常用办公软件的使用,工作激情'<!sp>杭州 - 西湖区 - 古墩路 - 益乐路39号蓝海时代国际大厦1号楼3楼
上海善林金融信息服务有限公司<!sp>结算专员<!sp>4k-5k<!sp>上海<!sp>经验不限<!sp>'银行,运营,审核,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'福利好,平台大'<!sp>'主动性,执行能力,责任心,思想品质,团队协作能力,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路500弄
小猪短租<!sp>结算员<!sp>6k-8k<!sp>北京<!sp>经验1-3年<!sp>'运营,审核,结算,财务,助理'<!sp>1天前<!sp>拉勾网<!sp>'发展前景,nice团队'<!sp>'逻辑思维能力,沟通表达能力,常用办公软件的使用,责任心,团队协作能力'<!sp>北京 - 海淀区 - 知春路 - 知春路56号院星光大道西区8号楼
云账户财务部<!sp>结算专员<!sp>4k-7k<!sp>天津<!sp>经验1-3年<!sp>'银行,结算,税务,出纳,财务'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,弹性工作,年终奖,扁平化管理'<!sp>'专业素质良好,抗压能力,沟通表达能力,常用办公软件的使用'<!sp>天津 - 西青区 - 海泰发展五道 16 号海泰创新基地 B-2 号楼4门6 层
众旦信息财务部<!sp>结算<!sp>5k-6k<!sp>上海<!sp>经验1-3年<!sp>'税务,信息安全,财务,清算'<!sp>2018-01-03<!sp>拉勾网<!sp>'公司发展好'<!sp>'熟悉法律法规,执行能力,思想品质,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 闵行区 - 沪闵路1871号8号楼3楼
上海安能聚创供应链管理有限公司财务部<!sp>结算专员<!sp>4k-5k<!sp>杭州<!sp>经验不限<!sp>'审核,结算,信息安全,助理'<!sp>1天前<!sp>拉勾网<!sp>'会计,结算,五险一金,部门融洽'<!sp>'执行能力'<!sp>杭州市市市 - 萧山区 - 宁围 - 钱江世纪城民和路近皓月路口大象国际中心
快牛金科<!sp>结算专员<!sp>4k-6k<!sp>上海<!sp>经验1年以下<!sp>'金融,支付,统计,结算,数据分析,财务'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,餐补'<!sp>'逻辑思维能力,沟通表达能力,常用办公软件的使用,团队协作能力,学习能力'<!sp>上海 - 长宁区 - 北新泾 - 明基商务广场 B座4楼
