寓川运营部<!sp>网店运营<!sp>5k-8k<!sp>上海<!sp>经验1-3年<!sp>'运营,网店'<!sp>1天前<!sp>拉勾网<!sp>'有晋升。。。'<!sp>'逻辑思维能力,执行能力,常用办公软件的使用,专业素质良好,责任心,团队协作能力'<!sp>上海 - 嘉定区 - 马陆 - 马陆镇宝安公路2999弄52号
上海芳星进出口贸易有限公司运营部<!sp>网店运营<!sp>4k-6k<!sp>上海<!sp>经验1-3年<!sp>'运营,网店,电商'<!sp>2天前<!sp>拉勾网<!sp>'运营助理'<!sp>'团队协作能力,执行能力,逻辑思维能力,专业素质良好,常用办公软件的使用,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路570号
致力于医疗电商的一家创业型公司电子商务<!sp>网店运营<!sp>5K-10K<!sp>上海<!sp>经验1-3年<!sp>'淘宝运营,电商,网店运营,电子商务运营,电商,京东运营'<!sp>2018-01-21<!sp>拉勾网<!sp>'学习发展机会大,待遇优厚'<!sp>'执行能力,逻辑思维能力,服务意识,主动性,团队协作能力,吃苦耐劳,责任心,沟通表达能力,学习能力'<!sp>上海 - 闵行区 - 颛桥 - 都园路4288号都园创意园3幢D621-D622室
焱坤运营部<!sp>网店运营<!sp>4k-8k<!sp>上海<!sp>经验1-3年<!sp>'运营,活动,天猫,京东,电商,电商'<!sp>2天前<!sp>拉勾网<!sp>'专业培训,晋升空间大,福利多,做五休二'<!sp>'沟通表达能力,执行能力,文案能力,设计能力,上进心,团队协作能力,常用办公软件的使用,吃苦耐劳,责任心'<!sp>上海 - 闵行区 - 浦江 - 浦江镇恒南路1328号2号楼403室
上海丝苑商贸有限公司营销部<!sp>网店运营<!sp>12k-20k<!sp>上海<!sp>经验3-5年<!sp>'运营,网店,电商'<!sp>2天前<!sp>拉勾网<!sp>'岗位工资加提成制'<!sp>'逻辑思维能力,服务意识,性格好,执行能力,专业素质良好,抗压能力,责任心,沟通表达能力,思想品质,上进心,吃苦耐劳,创新能力,团队协作能力'<!sp>上海 - 浦东新区 - 金桥 - 金海路1000号金领之都24号楼3楼
首天信息电子商务部<!sp>网店运营<!sp>8k-14k<!sp>上海<!sp>经验1-3年<!sp>'运营,网店,网络,店铺运营,网店推广,电商'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,团队活动,福利多多,快乐工作'<!sp>'执行能力,逻辑思维能力,专业素质良好,责任心,沟通表达能力,团队协作能力,创新能力'<!sp>上海 - 宝山区 - 杨行 - 蕰川路516号2-7单元
上海倍客贸易有限公司运营<!sp>网店运营月入10000以上<!sp>7k-12k<!sp>上海<!sp>经验1-3年<!sp>'运营,活动运营,电商'<!sp>2018-01-15<!sp>拉勾网<!sp>'带薪休假,年休假,加班补贴,年终奖'<!sp>'执行能力,逻辑思维能力,沟通表达能力,学习能力,思想品质,责任心,团队协作能力'<!sp>上海 - 浦东新区 - 金桥 - 浦东新区金桥金湘路225弄禹州国际
智慧树网<!sp>运营岗<!sp>15k-20k<!sp>上海<!sp>经验1-3年<!sp>'运营,用户增长'<!sp>1天前<!sp>拉勾网<!sp>'五险一金'<!sp>'执行能力,逻辑思维能力,团队协作能力,服务意识,沟通表达能力'<!sp>上海 - 徐汇区 - 钦州北路1188号科汇大厦9-10楼
购酒网<!sp>网店运营<!sp>5k-10k<!sp>上海<!sp>经验1-3年<!sp>'运营,网店'<!sp>2018-01-15<!sp>拉勾网<!sp>'发展前景广阔'<!sp>'逻辑思维能力,执行能力,领导能力,团队协作能力,吃苦耐劳,思想品质,性格好'<!sp>上海 - 松江区 - 洞泾 - 茂盛路202弄18号
美团点评榛果业务部<!sp>房东运营<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'运营,活动运营,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,商业保险,定期体检,发展空间大'<!sp>'抗压能力,沟通表达能力,学习能力,团队协作能力,逻辑思维能力,领悟能力,工作激情,钻研能力,执行能力'<!sp>上海 - 长宁区 - 天山路 - 天山路1737号天山广场B1 SOHO 3Q
昌杰贸易市场部<!sp>网店运营<!sp>6K-9K<!sp>上海<!sp>经验1-3年<!sp>'专员'<!sp>2018-01-15<!sp>拉勾网<!sp>'全面负责电商业务,积极努力上进,开拓创新'<!sp>'沟通表达能力,常用办公软件的使用,上进心,思想品质,服务意识,团队协作能力'<!sp>上海 - 宝山区 - 大场 - 沪太支路488号D区127室（7号线行知路站）
天翼视讯内容运营部<!sp>互动运营<!sp>8k-12k<!sp>上海<!sp>经验3-5年<!sp>'高级,策划,用户,活动运营,社区'<!sp>1天前<!sp>拉勾网<!sp>'国企平台大,薪资福利高,同事很靠普'<!sp>'团队协作能力,逻辑思维能力,文案能力,执行能力,责任心,沟通表达能力,工作激情'<!sp>上海 - 浦东新区 - 金桥 - 新金桥路27号5号楼（中国电信）
e-Buy运营部<!sp>运营专员<!sp>5k-6k<!sp>上海<!sp>经验1-3年<!sp>'媒体,运营,市场,专员'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,国外旅游,团队建设,扁平化管理'<!sp>'逻辑思维能力,领导能力,团队协作能力'<!sp>上海 - 浦东新区 - 张扬路500号华润时代广场16楼
享换机运营<!sp>运营<!sp>10k-15k<!sp>上海<!sp>经验1-3年<!sp>'高级,金融,运营,品类,专员,电商'<!sp>1天前<!sp>拉勾网<!sp>'快速晋升,丰厚奖金,优秀团队'<!sp>''<!sp>上海 - 杨浦区 - 复旦大学 - 政学路51号
CareerFrog职业蛙产品运营部<!sp>运营实习生<!sp>2k-4k<!sp>上海<!sp>经验不限<!sp>'策划,编辑,活动运营,实习生,教育'<!sp>1天前<!sp>拉勾网<!sp>'90后团队,扁平化管理,有留用机会,运营大牛'<!sp>'文案能力,创新能力,执行能力,主动性,责任心,沟通表达能力,团队协作能力,常用办公软件的使用'<!sp>上海市 - 长宁区 - 镇宁路 - 延安西路889号太平洋企业中心22楼
上海芳星进出口贸易有限公司<!sp>网店运营<!sp>5k-8k<!sp>上海<!sp>经验1-3年<!sp>'运营,网店,电商'<!sp>2天前<!sp>拉勾网<!sp>'绩效奖金丰厚'<!sp>'执行能力,逻辑思维能力,专业素质良好,责任心,工作激情,开拓精神,思想品质,学习能力,沟通表达能力,上进心,团队协作能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路500号1号楼
e-Buy运营部<!sp>运营助理<!sp>4k-6k<!sp>上海<!sp>经验1-3年<!sp>'媒体,运营,策划,助理'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,五险一金,国外旅游,公司团建'<!sp>'逻辑思维能力,领导能力,团队协作能力'<!sp>上海 - 浦东新区 - 张扬路500号华润时代广场16楼
