国家电网全资子公司北京汇通金财运维中心<!sp>网络工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'中级,运维,网络,安全,网络安全,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'国企平台,五险一金,福利待遇好,绩效奖金'<!sp>'逻辑思维能力,设计能力,抗压能力,责任心,团队协作能力,学习能力,钻研能力'<!sp>北京 - 西城区 - 广安门内311号祥龙商务大厦1号楼5层
泛微研发部<!sp>网络工程师<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'中级,运维,CDN,信息安全,Cisco'<!sp>1天前<!sp>拉勾网<!sp>'半年调薪,免费三餐,福利待遇佳'<!sp>'文案能力,专业素质良好,逻辑思维能力,沟通表达能力,主动性,责任心,上进心,团队协作能力'<!sp>上海 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
阿拉丁信息科技技术部<!sp>网络工程师<!sp>4k-6k<!sp>杭州<!sp>经验不限<!sp>'初级,实习,技术支持,运维,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'福利好,活动多,年终奖,补贴多'<!sp>'文案能力,沟通表达能力,执行能力,学习能力,团队协作能力,主动性,责任心,思想品质'<!sp>杭州 - 滨江区 - 江陵路2028号星耀城1号楼2302
天润融通运维部<!sp>网络工程师<!sp>8k-10k<!sp>北京<!sp>经验1-3年<!sp>'运维,技术支持,网络,Cisco'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,免费班车,发展空间大,高团队氛围'<!sp>'专业素质良好,英语基础,逻辑思维能力,文案能力,沟通表达能力'<!sp>北京 - 大兴区 - 亦庄 - 亦庄经济技术开发区地盛北街1号北工大软件园B区18号楼5层
广州中软<!sp>网络工程师<!sp>6k-8k<!sp>昆明<!sp>经验1-3年<!sp>'系统集成,运维,技术支持,售前,Cisco'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇好'<!sp>'专业素质良好,服务意识,沟通表达能力,文案能力,创新能力'<!sp>昆明市市市 - 官渡区 - 金马 - 拓东路45号世博大厦2605室
深圳中原地产信息技术中心<!sp>网络工程师<!sp>7k-10k<!sp>深圳<!sp>经验1-3年<!sp>'运维,技术支持'<!sp>1天前<!sp>拉勾网<!sp>'公司大,部门和谐,季度奖金,福利多待遇'<!sp>'服务意识,领导能力,常用办公软件的使用,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>深圳市南山区创业路1777号海信南方大厦
达内集团<!sp>网络工程师<!sp>4k-6k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,初级,运维,信息安全,网络工程师,视频'<!sp>00:20<!sp>拉勾网<!sp>'上市公司+五险一金'<!sp>'领导能力,执行能力,专业素质良好,服务意识,常用办公软件的使用,设计能力,吃苦耐劳,责任心,沟通表达能力'<!sp>深圳 - 龙岗区 - 横岗 - 横岗力嘉路2013文化创客园A栋5楼
人人车技术部<!sp>网络工程师<!sp>8k-15k<!sp>北京<!sp>经验1-3年<!sp>'运维,linux,Cisco'<!sp>2天前<!sp>拉勾网<!sp>'团队氛围好'<!sp>'主动性,抗压能力,责任心,沟通表达能力,设计能力'<!sp>北京 - 朝阳区 - 北苑 - 北苑东路中国铁建广场B座19层
玖融网技术部<!sp>网络工程师<!sp>4k-6k<!sp>武汉<!sp>经验不限<!sp>'硬件制造,初级,运维,helpdesk,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作制,技术氛围好,发展潜力大,平台好'<!sp>'专业素质良好,服务意识'<!sp>武汉 - 江汉区 - 王家墩 - 泛海国际soho城
江苏亿科达平安金科<!sp>网络工程师<!sp>5k-6k<!sp>上海<!sp>经验1-3年<!sp>'初级,网络安全,信息安全,Cisco'<!sp>1天前<!sp>拉勾网<!sp>'旅游,体检,过节费,年终奖'<!sp>'设计能力,执行能力,沟通表达能力'<!sp>上海 - 徐汇区 - 龙华 - 凯滨路206号
八维通科技信息工程部<!sp>网络工程师<!sp>8k-12k<!sp>杭州<!sp>经验1-3年<!sp>'中级,云计算,运维,linux,网络,系统工程师'<!sp>1天前<!sp>拉勾网<!sp>'背景牛,团队年轻,项目多'<!sp>'逻辑思维能力,文案能力,沟通表达能力'<!sp>杭州市 - 滨江区 - 长河 - 东冠大厦20层
极光研发部—运维组<!sp>网络工程师<!sp>10k-20k<!sp>深圳<!sp>经验3-5年<!sp>'网络'<!sp>1天前<!sp>拉勾网<!sp>'14薪,工作晚餐,下午茶,弹性考勤'<!sp>'设计能力,服务意识,专业素质良好,逻辑思维能力,文案能力,思想品质,团队协作能力,抗压能力,钻研能力,责任心,学习能力'<!sp>深圳 - 南山区 - 翻身路 - 关口二路智恒战略性新兴产业园
北京中铁信<!sp>网络工程师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'运维,网络安全,信息安全,Cisco'<!sp>2天前<!sp>拉勾网<!sp>'福利优厚,弹性工作'<!sp>'文案能力,专业素质良好,常用办公软件的使用,思想品质,责任心,沟通表达能力,团队协作能力,抗压能力,性格好'<!sp>北京 - 海淀区 - 紫竹桥 - 紫竹院路81号北方地产大厦
俊云科技运维部<!sp>网络工程师<!sp>10k-15k<!sp>成都<!sp>经验3-5年<!sp>'游戏,文化娱乐,linux,CDN,信息安全,旅游'<!sp>1天前<!sp>拉勾网<!sp>'高薪资,百万级产品,周末双休,氛围轻松'<!sp>'逻辑思维能力,专业素质良好,抗压能力,沟通表达能力,领悟能力'<!sp>成都 - 高新区 - 益州大道1999号15栋阿里中心701室706-708号
