库柏特COBOT技术部<!sp>自动化工程师<!sp>7k-12k<!sp>武汉<!sp>经验3-5年<!sp>'自动化,系统集成'<!sp>1天前<!sp>拉勾网<!sp>'自动化,双休,高科技创新,机器人'<!sp>'设计能力,执行能力,能出差'<!sp>武汉 - 东湖新技术开发区 - 光谷 - 光谷创业街73号武汉留学生创业园C栋3116
维拓客科技（深圳）有限公司IT部<!sp>自动化工程师<!sp>8k-12k<!sp>东莞<!sp>经验1-3年<!sp>'硬件制造,plc,机械,自动化,建筑'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,周末双休,绩效奖金,定期体检'<!sp>'设计能力,领导能力'<!sp>东莞 - 东莞市市辖区 - 南城天安数码城
图麟科技技术<!sp>自动化工程师/技术支持工程师<!sp>5k-10k<!sp>深圳<!sp>经验不限<!sp>'自动化,技术支持,售后'<!sp>2天前<!sp>拉勾网<!sp>'自动化,技术支持,售后,电气'<!sp>'服务意识,文案能力,沟通表达能力,设计能力,能出差'<!sp>深圳 - 南山区 - 航空电子工程研发大楼
mobike摩拜单车基础平台<!sp>高级运维工程师-自动化方向<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'资深,python,云计算,linux,docker,OpenStack'<!sp>2018-01-09<!sp>拉勾网<!sp>'朝阳产业,技术牛人多,薪水高'<!sp>'设计能力,常用办公软件的使用,领导能力,专业素质良好'<!sp>北京 - 朝阳区 - 亮马桥 - 麦子店街53号
广东车海洋自动化工程部<!sp>自动化工程师<!sp>3k-5k<!sp>广州<!sp>经验1-3年<!sp>'自动化,plc'<!sp>3天前<!sp>拉勾网<!sp>'五险,地铁周边,专业培训,包食宿'<!sp>'常用办公软件的使用'<!sp>广州 - 番禺区 - 红八方创意园3号楼
飞驰镁物智能硬件部<!sp>自动化软件工程师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'mfc,C#/.NET,c#,C++'<!sp>09:55<!sp>拉勾网<!sp>'五险一金,年底双薪,弹性工作'<!sp>'逻辑思维能力,设计能力,文案能力,主动性,思想品质'<!sp>北京 - 朝阳区 - 百子湾 - 广渠路3号，竞园艺术中心36A
微创微创赴伊莱比特<!sp>自动化开发工程师<!sp>12k-16k<!sp>北京<!sp>经验1-3年<!sp>'Java,C/C++,C#/.NET,Python,汽车,医疗健康'<!sp>10:54<!sp>拉勾网<!sp>'带薪年假,带薪病假,年终奖金,补充医疗'<!sp>'沟通表达能力'<!sp>北京 - 海淀区 - 知春路 - 盈都大厦
Symbio-FreebordersIT<!sp>移动app自动化<!sp>6k-7k<!sp>广州<!sp>经验1-3年<!sp>'金融,自动化,测试'<!sp>2018-01-03<!sp>拉勾网<!sp>'上班弹性,带薪年假,六险一金'<!sp>'逻辑思维能力,设计能力,沟通表达能力,文案能力,良好的职业背景'<!sp>广州 - 海珠区 - 琶洲 - 广州市海珠区琶洲大道东保利国际广场东裙楼4楼
雷柏科技研发部<!sp>自动化软件工程师<!sp>12k-18k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造,算法,图像处理,视觉'<!sp>2018-01-20<!sp>拉勾网<!sp>'上市公司,专业培训,出国旅游'<!sp>'美术功底,逻辑思维能力,良好的职业背景,专业素质良好,团队协作能力,抗压能力,能出差,学习能力'<!sp>深圳 - 南山区 - 科技园 - 科苑南路3099号中国储能大厦56楼
北京旭阳宏业化工有限公司信息管理部<!sp>自动化<!sp>10k-15k<!sp>北京<!sp>经验1-3年<!sp>'自动化'<!sp>2018-01-05<!sp>拉勾网<!sp>'培训机会多,发展好,企业稳定,福利齐全'<!sp>'专业素质良好'<!sp>丰台科技园
镭目公司机器人事业部<!sp>电气工程师/自动化工程师<!sp>7k-10k<!sp>长沙<!sp>经验3-5年<!sp>'高级,嵌入式,自动化,plc,单片机,硬件开发'<!sp>3天前<!sp>拉勾网<!sp>'年终奖提成,五险一金,精英团队,免费食宿'<!sp>'设计能力,沟通表达能力,领导能力,专业素质良好,常用办公软件的使用,文案能力'<!sp>长沙 - 长沙县 - 经开区泉塘街道枫树路349号
DJI大疆创新研发部<!sp>自动化控制工程师<!sp>18k-25k<!sp>深圳<!sp>经验3-5年<!sp>'自动化,plc'<!sp>1天前<!sp>拉勾网<!sp>'薪资待遇好,发展空间大'<!sp>'设计能力,文案能力,常用办公软件的使用,领导能力,美术功底,抗压能力,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 深圳市南山区科技园高新南四道创维半导体设计大厦
同方股份工程部<!sp>自动化工程师<!sp>6k-12k<!sp>北京<!sp>经验不限<!sp>'PLC,自动化'<!sp>1天前<!sp>拉勾网<!sp>'平台稳,空间大,福利完善,待遇好'<!sp>'设计能力,沟通表达能力,学习能力'<!sp>北京 - 海淀区 - 五道口 - 五道口王庄路1号清华同方科技广场A座
精滤电子数控部<!sp>自动化工程师<!sp>5k-10k<!sp>东莞<!sp>经验1-3年<!sp>'高级,视觉,自动化'<!sp>2天前<!sp>拉勾网<!sp>'年终奖,包食宿,全勤奖,五金'<!sp>'设计能力,专业素质良好,抗压能力,沟通表达能力'<!sp>东莞 - 东莞市市辖区 - 道滘镇大岭丫村工业区
熙和力自动化<!sp>自动化工程师<!sp>4k-8k<!sp>深圳<!sp>经验不限<!sp>'自动化,机械,PLC'<!sp>2天前<!sp>拉勾网<!sp>'年假,提成,灵活工作,培训'<!sp>'抗压能力,能出差,沟通表达能力,执行能力,责任心,思想品质,上进心'<!sp>深圳市宝安区107国道旁49区华创达文化科技产业园D栋310号(翻身地铁站或宝体地铁站附近)
维拓客科技（深圳）有限公司IT部<!sp>自动化工程师<!sp>8k-12k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,plc,机械,自动化,建筑'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,定期体检,绩效奖金,周末双休'<!sp>'设计能力,领导能力'<!sp>深圳 - 南山区 - - 办公地址：东莞市南城天安数码城
图麟科技技术<!sp>自动化工程师/技术支持工程师<!sp>5k-10k<!sp>上海<!sp>经验不限<!sp>'自动化,技术支持,售后'<!sp>2天前<!sp>拉勾网<!sp>'自动化,技术支持,售后,电气'<!sp>'服务意识,文案能力,沟通表达能力,设计能力,能出差'<!sp>上海 - 浦东新区 - 张江 - 蔡伦路1690号3号楼3楼
