蘑菇租房<!sp>测试开发or自动化测试<!sp>20k-28k<!sp>上海<!sp>经验5-10年<!sp>'高级,自动化,白盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'福利好,团队优秀'<!sp>''<!sp>上海 - 静安区 - 新闸路 - 江宁路212弄凯迪克大厦16楼
瞬联软件科技（北京）有限公司测试<!sp>自动化测试<!sp>11k-15k<!sp>上海<!sp>经验1-3年<!sp>'python,嵌入式,自动化,linux,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,办公环境好,前景好'<!sp>''<!sp>上海市 - 闵行区 - 漕宝路 - 田林路888号
家园网质量保障部<!sp>自动化测试工程师<!sp>14k-22k<!sp>北京<!sp>经验3-5年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'股票期权,绩效奖金'<!sp>'文案能力,专业素质良好,设计能力,执行能力,沟通表达能力,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座金色家园网
海能达测试部<!sp>自动化测试工程师<!sp>8k-15k<!sp>哈尔滨<!sp>经验3-5年<!sp>'嵌入式,自动化,测试,白盒,系统,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'自动化测试'<!sp>''<!sp>哈尔滨 - 松北区 - 世茂大道 - 天翔街188号【哈尔滨市政府西侧】
辰运软件测试<!sp>自动化测试<!sp>5k-8k<!sp>长沙<!sp>经验不限<!sp>'自动化,白盒,测试'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,交通补助,餐补'<!sp>'设计能力,文案能力,沟通表达能力,执行能力,思想品质,主动性,工作激情'<!sp>工作地址
中邮消费IT运营部<!sp>自动化测试工程师<!sp>13k-25k<!sp>广州<!sp>经验3-5年<!sp>'资深,高级,中级,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'互联网金融,敏捷开发,项目奖,挑战性工作'<!sp>'常用办公软件的使用,执行能力,逻辑思维能力,沟通表达能力'<!sp>广州 - 天河区 - 林和 - 林和东路281号天伦控股大厦
四川长虹电器股份有限公司长虹软件与服务中心<!sp>自动化测试工程师<!sp>8k-15k<!sp>成都<!sp>经验3-5年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金'<!sp>'专业素质良好,设计能力,文案能力,逻辑思维能力,抗压能力,责任心,沟通表达能力,团队协作能力'<!sp>成都 - 高新区 - 天府四街长虹科技大厦
爱可生<!sp>自动化测试<!sp>10k-20k<!sp>上海<!sp>经验不限<!sp>'自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'新三板,年终奖,公司内健身区咖吧,各种团建'<!sp>'钻研能力,良好的职业背景,沟通表达能力'<!sp>上海 - 徐汇区 - 漕宝路 - 虹梅路1905号甲楼4层(远中科研楼）
微创赴新奥集团<!sp>自动化测试工程师<!sp>8k-15k<!sp>廊坊<!sp>经验3-5年<!sp>'自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,节日福利,领导nice'<!sp>'逻辑思维能力,服务意识,专业素质良好,思想品质,责任心'<!sp>廊坊 - 广阳区 - 廊坊经济开发区新奥集团
Video++技术部<!sp>自动化测试工程师（V81006）<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'游戏,文化娱乐,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'奖金,团队氛围,和谐'<!sp>''<!sp>上海 - 黄浦区 - 南外滩 - 中山南路幸福码头-6号楼
海马玩研发部<!sp>自动化测试<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'自动化,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'公司产品好'<!sp>'设计能力,服务意识,文案能力,逻辑思维能力,执行能力,专业素质良好'<!sp>北京 - 朝阳区 - 酒仙桥 - 北京市朝阳区电子城科技研发中心A1
观远数据技术部<!sp>自动化测试工程师<!sp>10k-20k<!sp>杭州<!sp>经验1-3年<!sp>'web,大数据,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'大数据,自动化测试,股票期权'<!sp>'学习能力,执行能力,逻辑思维能力,抗压能力,钻研能力,上进心,创新能力'<!sp>杭州 - 余杭区 - 仓前 - 海创园
思源科技政通集团<!sp>自动化测试J10858<!sp>12k-22k<!sp>北京<!sp>经验1-3年<!sp>'测试'<!sp>2天前<!sp>拉勾网<!sp>'福利好'<!sp>'服务意识,设计能力,文案能力,逻辑思维能力,执行能力,学习能力,钻研能力,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京南湖中园316号思源大厦
销冠科技技术部<!sp>自动化测试<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'年底多薪,全民期权,餐补房补,过节礼金'<!sp>'专业素质良好,文案能力,执行能力,设计能力,服务意识'<!sp>杭州 - 上城区 - 南星 - 钱江路58号
当当网西安当当网<!sp>自动化测试工程师<!sp>10k-20k<!sp>西安<!sp>经验3-5年<!sp>'python,自动化,Java,测试,地图'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年底双薪,绩效奖,氛围好'<!sp>'设计能力,执行能力,沟通表达能力,文案能力,专业素质良好,逻辑思维能力,学习能力,领悟能力,团队协作能力'<!sp>西安 - 高新技术产业开发区 - 西安市高新区软件新城天谷八路5楼当当网
瞬联软件科技（北京）有限公司<!sp>自动化测试<!sp>11k-22k<!sp>上海<!sp>经验不限<!sp>'自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'欧美世界500强,五险一金,带薪假14天'<!sp>'良好的职业背景'<!sp>上海 - 长宁区 - 天山西路1068号
家园网技术中心<!sp>自动化测试工程师<!sp>12k-18k<!sp>北京<!sp>经验1-3年<!sp>'自动化,白盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'14薪,饭补,股票期权,绩效奖金'<!sp>'文案能力,专业素质良好,设计能力,执行能力,沟通表达能力,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座金色家园网
武汉佰钧成技术有限公司研发部<!sp>自动化测试<!sp>5k-9k<!sp>武汉<!sp>经验1-3年<!sp>'python,自动化,脚本'<!sp>2天前<!sp>拉勾网<!sp>'稳定,发展空间大,团队氛围好,前沿技术'<!sp>'专业素质良好,执行能力,文案能力,抗压能力,责任心,思想品质'<!sp>武汉 - 东湖新技术开发区 - 光谷未来科技城F3栋
前隆科技<!sp>自动化测试工程师<!sp>10k-15k<!sp>青岛<!sp>经验1-3年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,年底双薪,国外旅游'<!sp>'逻辑思维能力,文案能力,专业素质良好,执行能力,思想品质,沟通表达能力,团队协作能力'<!sp>青岛 - 崂山区 - 松岭路169号国际创新园14L
XSKY系统测试组<!sp>自动化测试<!sp>8k-16k<!sp>北京<!sp>经验1-3年<!sp>'python,自动化,Java,医疗健康'<!sp>1天前<!sp>拉勾网<!sp>'广阔晋升,大咖云集,完善福利,国际化办公'<!sp>'文案能力,设计能力,执行能力,专业素质良好,领悟能力,沟通表达能力,团队协作能力,学习能力,钻研能力'<!sp>北京 - 海淀区 - 远大路 - 蓝靛厂路金源时代商务中心B区写字楼805-806室
AA租车<!sp>自动化测试<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'自动化,白盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'全额五险一金,无限量咖啡零食供应~'<!sp>'专业素质良好,文案能力,执行能力,服务意识,设计能力,领悟能力,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥中路24号院4号楼先锋金融大厦7层
中和农信开发中心<!sp>自动化测试工程师<!sp>9k-12k<!sp>长沙<!sp>经验3-5年<!sp>'自动化,测试,功能测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'绩效奖金,五险一金,带薪年假,农村金融'<!sp>'团队协作能力,主动性,设计能力'<!sp>长沙 - 岳麓区 - - 岳麓大道西588号芯城科技园4栋
西安卓派信息科技有限公司<!sp>自动化测试工程师<!sp>6k-10k<!sp>西安<!sp>经验3-5年<!sp>'自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'有机会赴美国出差,进修,长期工作'<!sp>'设计能力,文案能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>西安 - 高新技术产业开发区 - 沣惠南路 - 沣惠南路34号摩尔中心A座2102
SenseTime广告产品<!sp>自动化测试工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'python,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'环境好,福利多多,晋升空间大,奋斗团队'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,服务意识,专业素质良好,吃苦耐劳,沟通表达能力,学习能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路1号院清华科技园创业大厦7层
JETTECH测试技术部<!sp>自动化测试<!sp>8k-15k<!sp>北京<!sp>经验3-5年<!sp>'嵌入式,自动化,测试,白盒,灰盒,脚本'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,带薪年假,技术培训,轻松稳定'<!sp>'文案能力,设计能力,团队协作能力,逻辑思维能力,主动性,学习能力,能出差'<!sp>北京 - 朝阳区 - 朝外 - 望京SOHO塔二C座27楼
Dilatoblanco<!sp>自动化测试工程师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'资深,web,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,国际项目,发展空间大'<!sp>''<!sp>北京 - 西城区 - 京版信息港
指掌易质保部<!sp>自动化测试工程师<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'中级,python,app,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'技术氛围浓,领导好,扁平化管理,发展平台广'<!sp>'领导能力,团队协作能力,逻辑思维能力,执行能力,主动性,自我管理能力,责任心'<!sp>北京 - 海淀区 - 东北旺西路8号中关村软件园8号楼华夏科技大厦三层311
车纷享测试部<!sp>自动化测试工程师<!sp>8k-16k<!sp>杭州<!sp>经验1-3年<!sp>'支付,高级,中级,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'优质项目,给力团队,大牛多,福利好'<!sp>'设计能力,文案能力,执行能力,逻辑思维能力,学习能力,思想品质'<!sp>杭州市市市 - 拱墅区 - 三墩 - 石祥路688号汽车互联网产业园503
苏宁云商IT总部<!sp>自动化测试工程师<!sp>9k-15k<!sp>南京<!sp>经验3-5年<!sp>'python,自动化,app,性能测试,压力测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'平台大,挑战多,成长快'<!sp>'逻辑思维能力,设计能力,执行能力,领导能力,钻研能力,主动性,思想品质'<!sp>南京 - 玄武区 - 苏宁大道1号
安心医生技术部<!sp>自动化测试工程师<!sp>18k-22k<!sp>北京<!sp>经验3-5年<!sp>'python,自动化,测试,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'快乐工作,成功型老板,行业前景好'<!sp>'逻辑思维能力,设计能力,执行能力,主动性,沟通表达能力,团队协作能力,专业素质良好,思想品质'<!sp>北京市 - 朝阳区 - 朝外 - 朝阳门外大街昆泰国际大厦
武汉佰钧成技术有限公司技术部<!sp>自动化测试开发<!sp>5k-9k<!sp>武汉<!sp>经验1-3年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,六险一金,发展平台大,技术大牛多'<!sp>'沟通表达能力,性格好,团队协作能力,常用办公软件的使用'<!sp>武汉 - 东湖新技术开发区 - 光谷未来科技城F3栋
瞬联软件科技（北京）有限公司测试部<!sp>自动化测试工程师-P<!sp>10k-17k<!sp>北京<!sp>经验3-5年<!sp>'高级,中级,Java,Python,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'美资外企,七险一金,弹性工作制,福利待遇好'<!sp>''<!sp>北京 - 朝阳区 - 三元桥 - 亮马桥 平安国际金融中心
大象保险研发中心<!sp>自动化测试<!sp>10K-20K<!sp>北京<!sp>经验3-5年<!sp>'自动化,移动端,测试'<!sp>1天前<!sp>拉勾网<!sp>'全额公积金,补充医疗险,高端体检,美女如云'<!sp>'文案能力,设计能力,沟通表达能力,团队协作能力,常用办公软件的使用'<!sp>北京 - 东城区 - 天坛 - 法华寺街91号德必WE国际文化创意中心（天坛）B座东侧1-6号
途牛旅游网<!sp>自动化测试工程师<!sp>8k-16k<!sp>南京<!sp>经验1-3年<!sp>'python,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,全薪病假,体检等'<!sp>'团队协作能力,服务意识,设计能力,文案能力,执行能力,沟通表达能力,逻辑思维能力,自我管理能力,学习能力'<!sp>南京 - 玄武区 - 玄武大道699-32号途牛大厦
奥琦玮微生活产品部<!sp>自动化测试工程师<!sp>12k-20k<!sp>北京<!sp>经验5-10年<!sp>'自动化,脚本'<!sp>1天前<!sp>拉勾网<!sp>'公积金全额'<!sp>'执行能力,文案能力,设计能力,专业素质良好,团队协作能力'<!sp>北京 - 朝阳区 - 大屯 - 湖景东路7号
厦门节点测试部<!sp>自动化测试工程师<!sp>10k-20k<!sp>厦门<!sp>经验3-5年<!sp>'高级,web,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'年终双薪,周末双休,带薪年假'<!sp>'团队协作能力,逻辑思维能力,设计能力,执行能力,领导能力,领悟能力,抗压能力,沟通表达能力,学习能力'<!sp>厦门 - 思明区 - 金山路8号和盛大厦
新东方在线技术中心<!sp>自动化测试<!sp>12k-18k<!sp>北京<!sp>经验3-5年<!sp>'自动化,白盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'新东方,在线教育,腾讯入资'<!sp>'设计能力,执行能力,沟通表达能力,团队协作能力,文案能力,专业素质良好,责任心,思想品质,领悟能力,学习能力,创新能力'<!sp>北京 - 海淀区 - 中关村 - 海淀东三街2号新东方南楼
华院数据NEWA<!sp>自动化测试工程师<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'软件'<!sp>1天前<!sp>拉勾网<!sp>'定期体检,弹性工作,五险一金,发展空间大'<!sp>'学习能力,执行能力,逻辑思维能力,抗压能力,钻研能力,上进心,创新能力'<!sp>杭州 - 上城区 - 杭州市
海风教育技术部<!sp>自动化测试工程师/测试开...<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'游戏,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,前沿技术,学习氛围好,涨薪快'<!sp>'文案能力,设计能力,抗压能力,主动性,责任心,学习能力'<!sp>上海 - 静安区 - 新闸路 - 恒通路360号一天下大厦4楼海风教育
亚创技术部<!sp>自动化测试工程师<!sp>12k-24k<!sp>北京<!sp>经验3-5年<!sp>'自动化,测试,脚本'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,国际化视野,早晚餐,年终奖'<!sp>'设计能力,逻辑思维能力,执行能力,团队协作能力,沟通表达能力,服务意识,专业素质良好,抗压能力,创新能力'<!sp>北京 - 朝阳区 - 团结湖 - 工体北路4号机电院10号楼2层（科技寺loft）
The ONE产品研发部<!sp>自动化测试<!sp>8k-15k<!sp>北京<!sp>经验1-3年<!sp>'支付,自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,交通补贴,提供午晚餐,弹性工时'<!sp>''<!sp>北京市 - 朝阳区 - 来广营 - 朝来科技园创远路36号院1号楼4层
深瞐科技<!sp>自动化测试<!sp>10k-18k<!sp>武汉<!sp>经验1-3年<!sp>'python,C++,视频,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,餐话交补,节假日福利'<!sp>'文案能力,抗压能力,专业素质良好'<!sp>武汉 - 东湖新技术开发区 - 武大科技园武大园东路航域二区B3栋1488
江苏亿科达东方证券<!sp>自动化测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'金融,自动化,QA,测试'<!sp>1天前<!sp>拉勾网<!sp>'年终,过节费,旅游,体检'<!sp>'文案能力,逻辑思维能力,执行能力,沟通表达能力,团队协作能力,设计能力,专业素质良好,思想品质'<!sp>上海市 - 黄浦区 - 外滩 - 中山南路268-1（9号线小南门）
吉联新质控中心<!sp>自动化测试工程师<!sp>6k-12k<!sp>厦门<!sp>经验3-5年<!sp>'自动化,脚本'<!sp>2天前<!sp>拉勾网<!sp>'环境好,国际化平台,流程规范,升职空间大'<!sp>'文案能力,设计能力,执行能力,责任心,沟通表达能力'<!sp>厦门 - 思明区 - 软件园二期望海路29号
新东方教育行业研究院产品研发部<!sp>自动化测试工程师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'软件开发,Java,接口测试,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'大牛多,扁平化,待遇好'<!sp>'服务意识,设计能力,抗压能力,逻辑思维能力,专业素质良好,执行能力,主动性,思想品质,学习能力,钻研能力,团队协作能力'<!sp>北京 - 海淀区 - 中关村 - 丹棱街甲1号互联网金融中心6层
瞬联软件科技（北京）有限公司研发测试<!sp>自动化测试<!sp>8k-11k<!sp>上海<!sp>经验1年以下<!sp>'初级,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'不加班,美资,自动化,通信'<!sp>'设计能力,专业素质良好,文案能力,执行能力,逻辑思维能力,团队协作能力'<!sp>上海 - 长宁区 - 北新泾 - 2号线淞虹路地铁站附近
武汉佰钧成技术有限公司研发部<!sp>自动化测试<!sp>14K-23K<!sp>上海<!sp>经验3-5年<!sp>'Python,测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,节日礼品,弹性工作'<!sp>'设计能力,专业素质良好,团队协作能力,文案能力,沟通表达能力,英语基础,钻研能力,学习能力'<!sp>上海 - 长宁区 - 北新泾 - 天山西路1068号联强国际广场E栋
厦门节点测试部<!sp>自动化测试工程师<!sp>10k-15k<!sp>成都<!sp>经验5-10年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,项目奖金,团队活动,年底双薪'<!sp>'团队协作能力,逻辑思维能力,设计能力,执行能力,领导能力,领悟能力,抗压能力,沟通表达能力,学习能力'<!sp>成都 - 高新区 - 中和 - 天府三街新希望国际B座2707
115科技测试部<!sp>自动化测试工程师<!sp>9k-18k<!sp>北京<!sp>经验3-5年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,早9:30,晚5:30'<!sp>'逻辑思维能力,执行能力,文案能力,钻研能力,学习能力,专业素质良好,工作激情,常用办公软件的使用'<!sp>北京 - 海淀区 - 西二旗 - 上地科技大厦
