奇虎360金融政策模型部<!sp>资信对接<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'风控'<!sp>18:39<!sp>拉勾网<!sp>'福利待遇好,发展空间大'<!sp>'团队协作能力,逻辑思维能力,领悟能力,沟通表达能力,开拓精神,创新能力'<!sp>上海 - 浦东新区 - 洋泾 - 上海市浦东新区世纪大道1701号浦电路555号四层
华安保险精算运营部<!sp>精算评估岗<!sp>8k-15k<!sp>深圳<!sp>经验1-3年<!sp>'金融,审核,财务,风控'<!sp>11:35<!sp>拉勾网<!sp>'平台好'<!sp>'逻辑思维能力,常用办公软件的使用'<!sp>深圳市市市 - 福田区 - 购物公园 - 深圳市福田区福华一路华安保险大厦
西安博达软件项目中心<!sp>项目评估<!sp>4k-6k<!sp>西安<!sp>经验1-3年<!sp>'设计,项目管理'<!sp>20:46<!sp>拉勾网<!sp>'六险一金,免费班车,单身公寓,年度体检'<!sp>'设计能力,领导能力,良好的职业背景,沟通表达能力,性格好,抗压能力,责任心,思想品质,常用办公软件的使用'<!sp>西安 - 高新技术产业开发区 - 锦业路125号西安半导体产业园
盈盈理财投资部<!sp>资产评估/风控专员<!sp>6k-10k<!sp>杭州<!sp>经验1-3年<!sp>'金融,风险控制,资产评估,特殊资产,资信评估,风控'<!sp>11:14<!sp>拉勾网<!sp>'全额公积金,补充商业险,双休,带薪年假'<!sp>'专业素质良好'<!sp>杭州 - 下城区 - 东新路 - 白石路318号中国杭州人力资源服务产业园北楼7楼
通力互联<!sp>评估专员<!sp>4k-8k<!sp>北京<!sp>经验不限<!sp>'数据分析,金融,审核'<!sp>1天前<!sp>拉勾网<!sp>'国内一流平台,超大项目'<!sp>'文案能力,逻辑思维能力,团队协作能力,主动性,抗压能力,责任心,沟通表达能力,思想品质,学习能力,常用办公软件的使用,熟悉法律法规'<!sp>北京 - 海淀区 - 西二旗
优信集团车源管理<!sp>二手车评估师<!sp>8K-14K<!sp>佛山<!sp>经验不限<!sp>'二手车评估师'<!sp>16:02<!sp>拉勾网<!sp>'提供更加专业的培训,让你的技能收入丰收！'<!sp>'熟悉法律法规,思想品质,应变能力,沟通表达能力,执行能力,团队协作能力,逻辑思维能力'<!sp>佛山 - 南海区 - 桂城 - 海八路锋景名车城
京东商城京东商城<!sp>资产评估<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'银行,法务,资产管理,资信评估,合规稽查,风控'<!sp>08:48<!sp>拉勾网<!sp>'六险一金,健身房,全市班车,百万贷款'<!sp>'文案能力,团队协作能力'<!sp>北京 - 大兴区 - 亦庄 - 京市亦庄经济开发区京东集团总部
阳光产险信保事业部风控中心-抵押风险管理项目部<!sp>车抵评估师 评估定价岗 抵...<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'银行,汽车,审核,产品,资信评估,风控'<!sp>10:56<!sp>拉勾网<!sp>'晋升空间大,年终奖金高,福利丰厚,领导好'<!sp>'领导能力,专业素质良好,良好的职业背景,常用办公软件的使用,领悟能力,性格好'<!sp>北京 - 朝阳区 - 朝外 - 联合大厦15层
富德生命人寿总公司电子商务中心精算部<!sp>负债评估岗<!sp>6k-12k<!sp>深圳<!sp>经验1-3年<!sp>'金融,审核,风控,精算,财务'<!sp>2018-01-16<!sp>拉勾网<!sp>'年底多薪,定期体检,五险一金,双休'<!sp>'执行能力,常用办公软件的使用,逻辑思维能力'<!sp>深圳 - 福田区 - 莲花一村 - 生命保险大厦
财猫金融拓展部<!sp>评估经理<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'审核,风控,资信评估'<!sp>17:16<!sp>拉勾网<!sp>'平台好,发展机会多,团队建设,公司前景好'<!sp>'熟悉法律法规,逻辑思维能力,沟通表达能力,主动性,责任心,职业操守'<!sp>杭州 - 江干区 - 笕桥 - 俞章路88号浙宝大厦12楼
拓道金服风控中心<!sp>二手车评估师<!sp>4k-7k<!sp>杭州<!sp>经验1-3年<!sp>'安全,汽车,逆向,审核,二次元,汽车维修'<!sp>08:56<!sp>拉勾网<!sp>'晋升快,专业培训,米多多'<!sp>'领悟能力,主动性,沟通表达能力,性格好'<!sp>杭州 - 西湖区 - 西溪 - 西溪路550号西溪新座7幢B楼11层
