MICO市场运营<!sp>运营总监<!sp>20k-40k<!sp>深圳<!sp>经验5-10年<!sp>'媒体,直播,总监,文案,内容,娱乐'<!sp>11:06<!sp>拉勾网<!sp>'发展空间,项目靠谱,资金充足,绩效奖金'<!sp>'团队协作能力,逻辑思维能力,创新能力,领导能力,英语基础'<!sp>深圳 - 南山区 - - 大冲商务中心C座903
中再融产品运营部<!sp>运营总监<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,运营'<!sp>1天前<!sp>拉勾网<!sp>'福利高,待遇好,下午茶,工作餐,交通便利'<!sp>'领悟能力,逻辑思维能力,熟悉法律法规,执行能力,创新能力,抗压能力,领导能力,沟通表达能力,团队协作能力,责任心,应变能力,上进心'<!sp>北京 - 海淀区 - 中关村 - 丹棱街1号互联网金融中心1506室
旭胜金融信息服务股份有限公司运营部<!sp>运营总监<!sp>30k-40k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,运营'<!sp>11:09<!sp>拉勾网<!sp>'年终奖金,周末双休,团队氛围好,免费停车位'<!sp>'执行能力,关注行业,逻辑思维能力,服务意识,熟悉法律法规,领导能力,团队协作能力,领悟能力,沟通表达能力,人际交往能力,责任心,形象气质佳'<!sp>上海市 - 浦东新区 - 高行 - 浦东新区杨高北路3259号
草料二维码运营部<!sp>运营总监<!sp>15k-25k<!sp>宁波<!sp>经验3-5年<!sp>'总监,数据,运营,产品'<!sp>09:32<!sp>拉勾网<!sp>'团队氛围好,公司福利棒,发展机会多'<!sp>'设计能力,执行能力,逻辑思维能力,领导能力,专业素质良好,沟通表达能力,团队协作能力,创新能力,自我管理能力,抗压能力,责任心'<!sp>宁波 - 海曙区 - 西门 - 翠柏路89号宁波工程学院A座14楼
赢车网运营部<!sp>运营总监<!sp>20k-30k<!sp>常州<!sp>经验5-10年<!sp>'金融,汽车,总监,运营'<!sp>1天前<!sp>拉勾网<!sp>'行业前景好,钱途大'<!sp>'团队协作能力,人脉资源,领导能力,沟通表达能力'<!sp>- 曼哈顿广场3幢11层
安徽机器猫运营总监<!sp>运营总监<!sp>10k-15k<!sp>合肥<!sp>经验3-5年<!sp>'总监,线上,活动运营,电商'<!sp>09:38<!sp>拉勾网<!sp>'待遇高,福利好,上升空间大,双休'<!sp>'团队协作能力,逻辑思维能力,执行能力,领导能力,专业素质良好,服务意识,沟通表达能力,思想品质,抗压能力,责任心'<!sp>合肥 - 瑶海区 - 三里街 - 长江东路915号春晖大厦4楼
星火钱包智投项目组<!sp>运营总监<!sp>8k-16k<!sp>长沙<!sp>经验3-5年<!sp>'移动互联网,运营,总监'<!sp>08:46<!sp>拉勾网<!sp>'带薪年假,年底奖金,双休等'<!sp>'良好的职业背景,执行能力,逻辑思维能力,专业素质良好,创新能力,抗压能力,责任心,上进心,团队协作能力'<!sp>长沙 - 岳麓区 - 银盆岭 - 岳麓大道1号世茂铂翠湾1期新天地商业区3楼
会搜股份技术部<!sp>运营总监<!sp>12k-24k<!sp>杭州<!sp>经验3-5年<!sp>'总监,活动运营,电商'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,带薪年假,五险一金,员工旅游'<!sp>'执行能力,团队协作能力,创新能力,服务意识,沟通表达能力,逻辑思维能力'<!sp>杭州 - 江干区 - 九盛路九号东方电子商务园7幢5楼
健客网第三方平台<!sp>运营总监<!sp>20k-30k<!sp>广州<!sp>经验3-5年<!sp>'总监,运营,活动,天猫,京东,电商'<!sp>11:26<!sp>拉勾网<!sp>'朝阳行业,移动医疗,薪资福利优,大咖领导'<!sp>'设计能力,领导能力,全局观,团队协作能力,创新能力'<!sp>广州 - 萝岗区 - 萝岗区科学大道中99号科汇金谷S栋四街4号一楼前台大厅
一智通运营规划部<!sp>运营总监/物流总监<!sp>15k-20k<!sp>广州<!sp>经验5-10年<!sp>'总监,高级,供应链,运营,物流'<!sp>1天前<!sp>拉勾网<!sp>'公司发展快,业务创新,薪资高,牛人多'<!sp>'逻辑思维能力,团队协作能力,领悟能力,领导能力,沟通表达能力'<!sp>广州 - 天河区 - 兴华 - 天平架5号空间创意园4F009
优粉吧运营部<!sp>运营总监<!sp>15k-20k<!sp>杭州<!sp>经验不限<!sp>'总监,用户运营,新媒体运营,商家运营'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,氛围好'<!sp>'执行能力,团队协作能力,领导能力,服务意识,设计能力,逻辑思维能力,专业素质良好'<!sp>杭州 - 西湖区 - 古墩路 - 杭州数娱大厦
Mobisummer运营<!sp>运营总监<!sp>30k-50k<!sp>广州<!sp>经验3-5年<!sp>'总监,运营,产品'<!sp>10:52<!sp>拉勾网<!sp>'移动互联网,国际化,绩效给力,氛围和谐'<!sp>'团队协作能力,逻辑思维能力,执行能力,创新能力,沟通表达能力,英语基础,文案能力,领导能力,领悟能力,抗压能力'<!sp>广州 - 天河区 - 广园路科华街251号乐天创意园A3栋8楼8019-8023
有鱼金融科技运营<!sp>运营总监<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'总监,资深,运营,产品,新媒体,app'<!sp>09:29<!sp>拉勾网<!sp>'独立负责产品运营'<!sp>'逻辑思维能力,文案能力,常用办公软件的使用,领导能力,责任心,沟通表达能力,团队协作能力,学习能力,创新能力'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
象聚集团蜂鸟<!sp>运营总监<!sp>15k-25k<!sp>郑州<!sp>经验5-10年<!sp>'总监,资深,高级,运营,内容,用户'<!sp>1天前<!sp>拉勾网<!sp>'双休,六险一金,弹性工作制,平台大'<!sp>'公关能力,领导能力,钻研能力,逻辑思维能力,领悟能力,良好的职业背景,专业素质良好,团队协作能力,执行能力,工作激情,责任心'<!sp>郑州 - 高新区 - 瑞达路翠竹街企业总部基地3号楼
我享运营中心<!sp>运营总监<!sp>15k-30k<!sp>上海<!sp>经验5-10年<!sp>'总监,运营,旅游,电商'<!sp>11:41<!sp>拉勾网<!sp>'发展,平台'<!sp>'专业素质良好,执行能力,逻辑思维能力,团队协作能力,领导能力,创新能力'<!sp>上海 - 徐汇区 - 交通大学 - 番禺路878号
象聚集团保险岛<!sp>运营总监<!sp>8k-10k<!sp>郑州<!sp>经验3-5年<!sp>'高级,运营,用户,用户增长,活动运营,社区'<!sp>1天前<!sp>拉勾网<!sp>'双休,六险一金,结婚礼金,新生儿礼金'<!sp>'执行能力,逻辑思维能力,创新能力,团队协作能力,抗压能力,沟通表达能力,学习能力'<!sp>郑州 - 高新区 - 瑞达路翠竹街企业总部基地3号楼
楼盘网产品运营部<!sp>运营总监<!sp>10k-20k<!sp>长沙<!sp>经验5-10年<!sp>'总监,运营,网站,新媒体,活动运营,产品'<!sp>1天前<!sp>拉勾网<!sp>'总监岗,互联网运营'<!sp>'逻辑思维能力,创新能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>长沙 - 天心区 - 涂家冲 - 芙蓉中路三段398号新时空大厦5楼
