聚励云机械产品<!sp>风控顾问<!sp>10k-20k<!sp>杭州<!sp>经验1-3年<!sp>'金融,银行,风控'<!sp>19:23<!sp>拉勾网<!sp>'五险一金,周末双休,员工旅游,带薪年假'<!sp>'良好的职业背景,熟悉法律法规,逻辑思维能力,专业素质良好,领导能力,抗压能力,思想品质,沟通表达能力,设计能力,创新能力,执行能力'<!sp>杭州 - 余杭区 - 文一西路998号海创园18
数美风控部<!sp>风控专家<!sp>20k-40k<!sp>杭州<!sp>经验1-3年<!sp>'总监,银行,主管,经理,助理,风控'<!sp>12:20<!sp>拉勾网<!sp>'一流团队,海量数据,快速发展,股票期权'<!sp>'熟悉法律法规,设计能力,逻辑思维能力,常用办公软件的使用'<!sp>杭州 - 余杭区 - 仓前 - 文一西路
浙江小融网络科技股份有限公司风控中心<!sp>风控专员<!sp>3k-6k<!sp>杭州<!sp>经验1-3年<!sp>'金融,银行,风控'<!sp>10:09<!sp>拉勾网<!sp>'五险一金,周末双休,年底双薪,绩效奖金'<!sp>'熟悉法律法规,主动性,责任心'<!sp>杭州 - 西湖区 - 古墩路 - 古墩路97号浙商财富中心3号楼12楼
牛仔网风控客服中心<!sp>风控专员<!sp>6k-10k<!sp>北京<!sp>经验1-3年<!sp>'金融,信贷,资产管理,合规稽查,助理,风控'<!sp>11:39<!sp>拉勾网<!sp>'晋升快,平台大,年底出国游'<!sp>'服务意识,逻辑思维能力,熟悉法律法规,职业操守,思想品质,专业素质良好,应变能力'<!sp>北京 - 朝阳区 - 北三环东路28号易亨大厦1702
拼多多<!sp>风控<!sp>5k-10k<!sp>上海<!sp>经验不限<!sp>'风险控制,电商,风控'<!sp>19:15<!sp>拉勾网<!sp>'带薪年假,包午餐晚餐,水果零食,加班补贴'<!sp>'逻辑思维能力,常用办公软件的使用,思想品质,责任心,学习能力,吃苦耐劳,工作激情'<!sp>上海 - 长宁区 - 中山公园 - 愚园路1258号绿地商务大厦1106
考拉理财金融部<!sp>风控经理<!sp>8k-15k<!sp>广州<!sp>经验3-5年<!sp>'金融,主管,经理,合规稽查,风控'<!sp>09:27<!sp>拉勾网<!sp>'双休,团队氛围好,扁平化管理,发展空间大'<!sp>'逻辑思维能力,专业素质良好,团队协作能力,领导能力,熟悉法律法规'<!sp>广州 - 海珠区 - 客村 - 新港中路艺苑南路13号大院5栋201-1室
资邦成立多年，涉猎投资信贷等风控部<!sp>风控经理<!sp>15k-20k<!sp>上海<!sp>经验3-5年<!sp>'金融,银行,经理,风控'<!sp>12:01<!sp>拉勾网<!sp>'五险一金,年终奖'<!sp>'专业素质良好,逻辑思维能力,熟悉法律法规,学习能力,领导能力,抗压能力,沟通表达能力,职业操守,思想品质,责任心,团队协作能力,良好的职业背景'<!sp>上海 - 浦东新区 - 塘桥 - 陆家嘴世纪金融广场
玖融网风控中心<!sp>风控主管<!sp>1k-2k<!sp>武汉<!sp>经验3-5年<!sp>'借贷,金融,银行,主管,法务,合规稽查'<!sp>10:50<!sp>拉勾网<!sp>'互联网+,P2P,岗位价值,薪酬福利'<!sp>'主动性,团队协作能力,学习能力,专业素质良好,领导能力,逻辑思维能力,熟悉法律法规,创新能力,思想品质,责任心,沟通表达能力,性格好'<!sp>武汉 - 江汉区 - 王家墩 - 泛海国际soho城
家园网商户审核部<!sp>风控专员<!sp>8k-13k<!sp>北京<!sp>经验1-3年<!sp>'金融,顾问,量化,风控'<!sp>09:38<!sp>拉勾网<!sp>'大平台,扁平化,聚合支付,消费金融'<!sp>'逻辑思维能力,设计能力,团队协作能力,主动性,熟悉法律法规,沟通表达能力,思想品质'<!sp>北京 - 东城区 - 广渠门 - 广渠家园8号楼【名敦道商圈8号楼】
阿拉丁信息科技风控部<!sp>风控总监<!sp>25k-50k<!sp>杭州<!sp>经验10年以上<!sp>'总监,金融,风控,信贷,资产管理'<!sp>13:01<!sp>拉勾网<!sp>'福利好,补贴多,年终奖,扁平化'<!sp>'领悟能力,熟悉法律法规,团队协作能力,逻辑思维能力,专业素质良好,执行能力'<!sp>杭州市 - 滨江区 - 西兴 - 江陵路2028号星耀城1号楼2302
斑马快跑全国运营中心<!sp>风控专员<!sp>4k-6k<!sp>武汉<!sp>经验1-3年<!sp>'数据分析,运营,审核'<!sp>18:10<!sp>拉勾网<!sp>'牛人多,福利优'<!sp>'逻辑思维能力,责任心,抗压能力,思想品质,团队协作能力,常用办公软件的使用'<!sp>武汉 - 洪山区 - 关山 - 现代光谷世贸中心23-27楼
启发分期风控部<!sp>风控经理<!sp>10k-20k<!sp>成都<!sp>经验5-10年<!sp>'金融,支付,渠道,经理,信贷,解决方案'<!sp>10:11<!sp>拉勾网<!sp>'五险一金,年终奖,竞争力薪酬'<!sp>'熟悉法律法规,设计能力,沟通表达能力,团队协作能力,逻辑思维能力,执行能力,服务意识,学习能力,领导能力,责任心,思想品质'<!sp>成都市市市 - 武侯区 - 中和 - 天府软件园B区B6栋3楼
果树金服风控<!sp>风控主管<!sp>15k-30k<!sp>杭州<!sp>经验3-5年<!sp>'借贷,金融,风控'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,下午茶'<!sp>'团队协作能力,领导能力'<!sp>杭州 - 西湖区 - 龙头霸路郡原公元里15幢201室
八维通科技产品部<!sp>风控专员<!sp>8k-16k<!sp>杭州<!sp>经验3-5年<!sp>'金融,支付,主管,审核,风控'<!sp>10:06<!sp>拉勾网<!sp>'背景牛,团队年轻,领导牛'<!sp>'职业操守,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>杭州 - 滨江区 - 长河 - 东冠大厦20层
云账户金融部<!sp>风控专员<!sp>5k-7k<!sp>天津<!sp>经验不限<!sp>'房产服务,金融,审核,资产管理,风控'<!sp>10:31<!sp>拉勾网<!sp>'五险一金,周末双休,弹性工作,年终奖'<!sp>'思想品质,亲和力,沟通表达能力,职业操守,执行能力'<!sp>天津 - 西青区 - 海泰创新基地B-2号楼4门6层
聚励云机械产品部<!sp>风控顾问<!sp>10k-15k<!sp>杭州<!sp>经验1-3年<!sp>'金融,银行,风控'<!sp>19:25<!sp>拉勾网<!sp>'弹性工作'<!sp>'良好的职业背景,熟悉法律法规,逻辑思维能力,专业素质良好,领导能力,抗压能力,思想品质,沟通表达能力,设计能力,创新能力,执行能力'<!sp>杭州 - 余杭区 - 文一西路998号海创园18
数美金融风控部<!sp>风控专家<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'银行,大数据,数据分析,数据挖掘,风控'<!sp>12:20<!sp>拉勾网<!sp>'海量数据,大牛云集,大佬领投,飞速发展'<!sp>'熟悉法律法规,设计能力,逻辑思维能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
玖融网风控中心<!sp>风控专员<!sp>5k-8k<!sp>武汉<!sp>经验1-3年<!sp>'银行,审核,信贷,行业研究,资信评估,风控'<!sp>10:50<!sp>拉勾网<!sp>'互联网+,P2P,晋升通道,薪酬'<!sp>'沟通表达能力,逻辑思维能力,主动性,创新能力,熟悉法律法规'<!sp>武汉 - 江汉区 - 王家墩 - 泛海国际soho城
家园网风控部<!sp>风控经理<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'经理,建模,资信评估,合规稽查,策略设计,风控'<!sp>09:39<!sp>拉勾网<!sp>'大平台,聚合支付,O2O'<!sp>'职业操守,专业素质良好,逻辑思维能力,领导能力,团队协作能力,熟悉法律法规'<!sp>北京 - 东城区 - 广渠门 - 广渠家园8号楼【名敦道商圈8号楼】
果树金服风控部<!sp>风控专家<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,建模,资信评估,合规稽查,策略设计,风控'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间大,股票期权,带薪假期'<!sp>'逻辑思维能力,设计能力,钻研能力,团队协作能力,良好的职业背景,创新能力,抗压能力,责任心'<!sp>杭州 - 西湖区 - 龙头霸路郡原公元里15幢201室
蜂融网络风控部<!sp>风控<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'金融,银行,资产管理,风控'<!sp>09:55<!sp>拉勾网<!sp>'发展迅速,全员持股,国外旅游,不打卡'<!sp>'良好的职业背景,熟悉法律法规,逻辑思维能力,专业素质良好,领导能力,抗压能力,思想品质,沟通表达能力,设计能力,创新能力,执行能力'<!sp>杭州 - 西湖区 - 西溪 - 杭州市西湖区文一西路767号西溪国际商务中心D幢
小窝金服风控中心<!sp>风控经理<!sp>15k-25k<!sp>深圳<!sp>经验5-10年<!sp>'金融,经理,风控'<!sp>09:33<!sp>拉勾网<!sp>'银行家装贷,消费金融,垂直化领域,平台空间大'<!sp>'逻辑思维能力,熟悉法律法规,团队协作能力,沟通表达能力,专业素质良好'<!sp>深圳 - 南山区 - 科技园 - 科技路1号桑达科技大厦2A16室
微鱼网络风控部门<!sp>风控专员<!sp>3k-5k<!sp>杭州<!sp>经验不限<!sp>'征信,支付,信贷,风控'<!sp>1天前<!sp>拉勾网<!sp>'上市公司背,福利好,发展空间大,待遇丰厚'<!sp>'逻辑思维能力,良好的职业背景,熟悉法律法规,服务意识,沟通表达能力,亲和力'<!sp>杭州 - 拱墅区 - 城西银泰 E座11楼
上海燕致深圳分公司风控部<!sp>风控经理<!sp>18k-25k<!sp>深圳<!sp>经验3-5年<!sp>'理财,金融,银行,融资,信息安全,风控'<!sp>1天前<!sp>拉勾网<!sp>'大平台,安全'<!sp>'逻辑思维能力,沟通表达能力,良好的职业背景,抗压能力,团队协作能力,常用办公软件的使用'<!sp>深圳 - 南山区 - 科技园 - 科苑路东方科技大厦907-908
美团点评餐饮平台<!sp>风控/反作弊算法工程师<!sp>25k-35k<!sp>北京<!sp>经验3-5年<!sp>'算法,反作弊,大数据,数据挖掘,信息安全'<!sp>11:54<!sp>拉勾网<!sp>'技术大牛,免费班车'<!sp>'逻辑思维能力,设计能力,钻研能力,抗压能力'<!sp>北京 - 朝阳区 - 望京 - 望京东路4号
人人行(借贷宝)风控委<!sp>数据分析经理-风控方向<!sp>35k-60k<!sp>北京<!sp>经验5-10年<!sp>'数据分析,金融,数据挖掘,大数据'<!sp>10:29<!sp>拉勾网<!sp>'14-16薪,互联网金融'<!sp>'逻辑思维能力,设计能力,团队协作能力,常用办公软件的使用,学习能力,良好的职业背景,抗压能力,责任心,沟通表达能力'<!sp>北京 - 朝阳区 - 北苑 - 仰山公园东一门2号楼借贷宝
链钱集团业务部<!sp>风控经理<!sp>8k-16k<!sp>杭州<!sp>经验3-5年<!sp>'金融,经理,风控,大数据,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年底多薪'<!sp>'逻辑思维能力,常用办公软件的使用,领导能力,抗压能力,沟通表达能力'<!sp>杭州 - 西湖区 - 文三路 - 学院路28号德力西大厦3号楼3楼
泓申金服风控部<!sp>风控专员<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'金融,审核,资信评估,合规稽查,风控'<!sp>16:42<!sp>拉勾网<!sp>'晋升空间大,公司福利好,丰厚奖金,公司氛围好'<!sp>'熟悉法律法规,服务意识,开拓精神,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 虹口区 - 四川北路 - 武进路190号 15楼1502
重庆盘古美天物联网科技有限公司产融中心<!sp>基金公司-风控经理<!sp>15k-25k<!sp>重庆<!sp>经验3-5年<!sp>'金融,经理,法务,风控'<!sp>1天前<!sp>拉勾网<!sp>'五险,年终奖,免费午餐,法定节假日'<!sp>'执行能力,文案能力,逻辑思维能力,团队协作能力,沟通表达能力,熟悉法律法规,专业素质良好,责任心,思想品质'<!sp>重庆 - 江北区 - 五里店 - 江北嘴金融城A座21楼
东门投资风控中心<!sp>风控经理<!sp>12k-20k<!sp>惠州<!sp>经验3-5年<!sp>'金融,经理,审核,法务,风控'<!sp>1天前<!sp>拉勾网<!sp>'社保'<!sp>'熟悉法律法规,领导能力,主动性,沟通表达能力,职业操守,抗压能力,思想品质,逻辑思维能力,团队协作能力,文案能力,学习能力'<!sp>惠州 - 惠东县 - 平山华侨城大道188号6楼
玖融网风控中心<!sp>风控经理<!sp>1k-2k<!sp>武汉<!sp>经验3-5年<!sp>'银行,经理,审核,风控'<!sp>10:50<!sp>拉勾网<!sp>'互联网+,P2P,岗位价值,薪酬'<!sp>'团队协作能力,专业素质良好,领导能力,熟悉法律法规,逻辑思维能力,主动性,创新能力'<!sp>武汉 - 江汉区 - 王家墩 - 泛海国际soho城
方付通风控部<!sp>风控主管<!sp>20k-30k<!sp>上海<!sp>经验3-5年<!sp>'银行,主管,审核,风控,信息安全,资产管理'<!sp>10:29<!sp>拉勾网<!sp>'大牛团队,年终奖,福利待遇好'<!sp>'熟悉法律法规,设计能力,逻辑思维能力,专业素质良好,领导能力,文案能力,沟通表达能力,责任心,思想品质,执行能力,职业操守'<!sp>上海 - 浦东新区 - 世纪公园 - 民生路1286号汇商大厦11、14、17楼
农信互联金服事业部<!sp>风控总监<!sp>25k-40k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,风控'<!sp>09:45<!sp>拉勾网<!sp>'弹性工作,团队氛围好'<!sp>'设计能力,熟悉法律法规,逻辑思维能力'<!sp>北京 - 海淀区 - 中关村 - 中关村大厦16层
