EMQ市场部<!sp>销售总监<!sp>18k-25k<!sp>杭州<!sp>经验5-10年<!sp>'企业服务,总监'<!sp>14:21<!sp>拉勾网<!sp>'期权,节日福利,各类补贴,奖金'<!sp>'团队协作能力,熟悉法律法规,服务意识,领导能力,专业素质良好,沟通表达能力,执行能力,抗压能力,能出差'<!sp>杭州 - 余杭区 - 仓兴街15号良仓太炎众创2楼
君学中国<!sp>销售总监<!sp>5k-10k<!sp>西安<!sp>经验3-5年<!sp>'总监,销售,顾问,教育'<!sp>09:16<!sp>拉勾网<!sp>'升职加薪,指日可待！！！'<!sp>'逻辑思维能力,服务意识,主动性,抗压能力,责任心,工作激情,沟通表达能力,团队协作能力,创新能力'<!sp>西安碑林区长安国际中心F座12楼（永宁门地铁站-B口）
捷通华声西安分公司<!sp>销售总监<!sp>25k-30k<!sp>西安<!sp>经验5-10年<!sp>'总监,金融,智慧,智能,医疗健康,教育'<!sp>08:58<!sp>拉勾网<!sp>'高新技术,人工智能,项目奖金,半年调薪'<!sp>'钻研能力,执行能力,沟通表达能力,领导能力,团队协作能力'<!sp>西安 - 高新技术产业开发区 - ……
常州市青之峰网络科技有限公司销售部<!sp>销售总监<!sp>9k-15k<!sp>常州<!sp>经验5-10年<!sp>'总监,销售'<!sp>10:22<!sp>拉勾网<!sp>'互联网,机遇,挑战'<!sp>'团队协作能力,领导能力,领悟能力,逻辑思维能力,主动性,上进心,开拓精神,创新能力'<!sp>- 常州科教城创研港2号楼10楼
企朋销售部<!sp>销售总监<!sp>15k-30k<!sp>杭州<!sp>经验3-5年<!sp>'销售,总监,经理,代理商,旅游,电商'<!sp>09:10<!sp>拉勾网<!sp>'明星产品,超多福利,全员旅游'<!sp>'团队协作能力,领导能力'<!sp>杭州 - 西湖区 - 西溪 - 紫霞街176号互联网创新创业园
麦萌漫画业务部<!sp>销售总监<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'广告营销,总监,销售,市场营销'<!sp>14:13<!sp>拉勾网<!sp>'有萌宠,办公环境好'<!sp>'团队协作能力,逻辑思维能力,领导能力,专业素质良好,主动性,开拓精神,创新能力'<!sp>上海 - 虹口区 - 广中路 - 花园路128号运动LOFT创意基地1街区A座2楼
博为教育销售部<!sp>销售总监<!sp>8k-12k<!sp>南京<!sp>经验不限<!sp>'总监,经理,代理商,教育'<!sp>11:01<!sp>拉勾网<!sp>'五险一金,提成绩效,原始股权,原始期权'<!sp>'领导能力,团队协作能力,开拓精神,沟通表达能力'<!sp>南京 - 雨花台区 - 铁心桥 - 花神大道23号京妆商务3号楼511
仰迈广告销售部<!sp>销售总监<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'互联网广告销售,电话销售,大客户销售,互联网广告,销售,销售经理'<!sp>15:48<!sp>拉勾网<!sp>'高提成,高绩效,晋升空间大,公平公正'<!sp>'服务意识,设计能力,团队协作能力,专业素质良好,领导能力,常用办公软件的使用,沟通表达能力,职业操守'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路471号桂果园6号楼1楼
华卓科技整体解决方案中心<!sp>销售总监<!sp>10k-20k<!sp>杭州<!sp>经验5-10年<!sp>'总监,零售,代理商,外企,医疗健康'<!sp>17:36<!sp>拉勾网<!sp>'五险一金,法定节假日,定期体检'<!sp>'领导能力,团队协作能力,主动性,责任心,上进心,沟通表达能力,开拓精神'<!sp>杭州 - 下城区 - 东新路 - 新天地尚座东楼17层
苏州同济金融科技研究院销售部<!sp>销售总监<!sp>20k-25k<!sp>苏州<!sp>经验5-10年<!sp>'总监,在线,经理,销售,代理商,渠道'<!sp>11:29<!sp>拉勾网<!sp>'行业前沿,高速发展,晋升空间,福利多多'<!sp>'团队协作能力,开拓精神,熟悉法律法规,逻辑思维能力,领导能力,抗压能力,思想品质'<!sp>苏州 - 相城区 - 元和 - 青龙港路66号兆润大厦12楼
番茄便利销售部<!sp>销售总监<!sp>2k-3k<!sp>北京<!sp>经验3-5年<!sp>'运营,渠道,总监,经理'<!sp>13:40<!sp>拉勾网<!sp>'弹性工作,5险1金'<!sp>'执行能力,熟悉法律法规,团队协作能力,领导能力,逻辑思维能力,人脉资源,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 宏泰东街浦项中心
广东东田教育集团有限公司市场部<!sp>销售总监<!sp>15k-30k<!sp>广州<!sp>经验5-10年<!sp>'总监,市场,产品,教育'<!sp>10:35<!sp>拉勾网<!sp>'五险一金,美味午餐,节日福利,员工旅游'<!sp>'开拓精神,逻辑思维能力,设计能力,钻研能力,领导能力,团队协作能力,思想品质,抗压能力,责任心,沟通表达能力,上进心'<!sp>广州市市市 - 天河区 - 石牌 - 珠江新城海安路19号东田大厦15楼
达内集团咨询部<!sp>销售总监<!sp>15k-20k<!sp>南京<!sp>经验3-5年<!sp>'总监,团队管理,销售'<!sp>10:44<!sp>拉勾网<!sp>'五险一金,福利待遇优,发展前景好'<!sp>'设计能力,团队协作能力,领导能力,形象气质佳,思想品质,领悟能力,应变能力,沟通表达能力'<!sp>南京 - 玄武区 - 苜蓿园 - 中山东路532-2号南工院金蝶大学科技园
华云数据<!sp>销售总监<!sp>15k-25k<!sp>无锡<!sp>经验5-10年<!sp>'总监,销售,云计算,CDN'<!sp>09:42<!sp>拉勾网<!sp>'云计算,大数据'<!sp>'沟通表达能力,团队协作能力,领悟能力,自我管理能力,开拓精神,学习能力,创新能力,专业素质良好,逻辑思维能力'<!sp>无锡 - 滨湖区 - 雪浪 - 无锡市滨湖区慧泽西路科教软件园B区6号华云数据大厦
