武汉佰钧成技术有限公司软件研发部<!sp>底层驱动开发<!sp>8k-15k<!sp>武汉<!sp>经验3-5年<!sp>'驱动开发,音视频'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,班车接送,周末双休'<!sp>''<!sp>武汉 - 东湖新技术开发区 - 关山 - 光谷软件园Ｆ１栋12楼
科达创新资源中心<!sp>驱动开发工程师<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'媒体,硬件制造,嵌入式,linux,音视频'<!sp>09:38<!sp>拉勾网<!sp>'15薪,交通补贴,餐饮补贴,定期培训'<!sp>'常用办公软件的使用,专业素质良好,设计能力'<!sp>上海 - 徐汇区 - 虹梅路 - 虹梅路2007号2号楼
比领网络PC研发<!sp>驱动开发工程师<!sp>12k-16k<!sp>上海<!sp>经验1-3年<!sp>'硬件制造,驱动开发,linux,C++,Windows'<!sp>1天前<!sp>拉勾网<!sp>'节假日福利,餐饮补贴,定期体检'<!sp>''<!sp>上海 - 徐汇区 - 田州路99号9号楼1009室
纵目科技ZADAS<!sp>驱动开发工程师<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'硬件制造,高级,驱动开发,linux,BSP'<!sp>1天前<!sp>拉勾网<!sp>'技术提升大,薪资福利佳,工作氛围好'<!sp>'设计能力,英语基础'<!sp>上海市 - 浦东新区 - 张江 - 祥科路111号腾飞科技楼3号楼8层
超节点研发部<!sp>驱动开发<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,驱动开发'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,定期调薪,期权分红'<!sp>'逻辑思维能力,设计能力,专业素质良好,领悟能力,沟通表达能力,学习能力,团队协作能力'<!sp>深圳 - 南山区 - 西丽 - 西丽平山一路南山云谷二期11栋607
科来软件产品部<!sp>驱动开发工程师<!sp>10k-15k<!sp>成都<!sp>经验5-10年<!sp>'高级,C++,Windows'<!sp>2天前<!sp>拉勾网<!sp>'中高级职位,固定年中奖,双休'<!sp>'设计能力,文案能力,逻辑思维能力'<!sp>成都 - 高新区 - 天府大道北段966号天府国际金融中心4号楼13，14楼
安天技术部<!sp>驱动开发工程师<!sp>7k-10k<!sp>哈尔滨<!sp>经验1-3年<!sp>'逆向,驱动开发,linux,C++,信息安全,Windows'<!sp>2天前<!sp>拉勾网<!sp>'自有技术,数据统计,福利完备,工程师文化'<!sp>'专业素质良好,学习能力'<!sp>哈尔滨 - 松北区 - 科技创新城7号楼
嗨镜软件部<!sp>驱动开发工程师<!sp>10k-15k<!sp>北京<!sp>经验1-3年<!sp>'金融'<!sp>09:33<!sp>拉勾网<!sp>'五险一金,弹性工作,年底双薪,成长空间大'<!sp>'常用办公软件的使用,逻辑思维能力,设计能力,责任心,沟通表达能力,团队协作能力,学习能力'<!sp>北京 - 朝阳区 - 三元桥 - 霞光里8号承冀诚大厦8216室
仝安研发部<!sp>驱动开发工程师<!sp>8k-16k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造'<!sp>2018-01-21<!sp>拉勾网<!sp>'发展空间大,股票期权多,工作氛围好'<!sp>'设计能力,逻辑思维能力,责任心,创新能力,工作激情,团队协作能力,抗压能力,沟通表达能力,学习能力'<!sp>深圳市 - 龙华新区 - 民治 - 梅龙路41号南贤商业广场九鑫商务中心2楼B212
信息安全服务研发中心<!sp>驱动开发工程师<!sp>6K-12K<!sp>郑州<!sp>经验3-5年<!sp>'硬件制造,软件开发'<!sp>2017-12-27<!sp>拉勾网<!sp>'带薪年假,法定节假日,免费午餐,旅游等'<!sp>'专业素质良好'<!sp>郑州 - 二七区 - 淮河路 - 升龙国际中心
威发半导体软件设计部<!sp>BT驱动开发工程师<!sp>10k-20k<!sp>苏州<!sp>经验5-10年<!sp>'硬件制造,linux,软件开发,嵌入式,系统开发'<!sp>2018-01-18<!sp>拉勾网<!sp>'双休,绩效奖金,弹性工作制,旅游'<!sp>'设计能力,文案能力'<!sp>苏州 - 工业园区 - 东环路 - 金鸡湖大道1355号国际科技园三期9A
奥游科技网络安全部<!sp>Win驱动开发工程师<!sp>20k-40k<!sp>荆门<!sp>经验3-5年<!sp>'高级,驱动开发,C++'<!sp>2018-01-08<!sp>拉勾网<!sp>'工,资可,面,议'<!sp>'学习能力'<!sp>荆门 - 东宝区 - 中天街81号
COMODO科摩多CCAV<!sp>高级驱动开发工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'软件开发,C++,信息安全,系统开发'<!sp>1天前<!sp>拉勾网<!sp>'驱动,安全,杀毒软件'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 北清路 68 号院西区3号楼一层1段
美国高通RD<!sp>Touch and Display驱动开发<!sp>19k-30k<!sp>上海<!sp>经验不限<!sp>'嵌入式,C++,Java'<!sp>3天前<!sp>拉勾网<!sp>'福利好'<!sp>''<!sp>上海 - 浦东新区 - 张江 - 亮秀路72号
360企业安全<!sp>内核驱动开发<!sp>25k-35k<!sp>珠海<!sp>经验不限<!sp>'linux,软件开发,C++,信息安全,Windows'<!sp>2017-12-26<!sp>拉勾网<!sp>'360华南基地初创人员'<!sp>'自我管理能力,责任心,学习能力,领悟能力,沟通表达能力,团队协作能力'<!sp>珠海市市市 - 香洲区 - 人民西路 - 报业大夏
武汉佰钧成技术有限公司研发部<!sp>驱动开发<!sp>10k-20k<!sp>武汉<!sp>经验3-5年<!sp>'驱动开发'<!sp>1天前<!sp>拉勾网<!sp>'产品研发'<!sp>''<!sp>武汉市市市 - 洪山区 - 光谷 - 软件园F1栋12楼
威发半导体软件设计部<!sp>WIFI驱动开发工程师<!sp>10k-20k<!sp>苏州<!sp>经验5-10年<!sp>'硬件制造,linux,软件开发,C++,嵌入式'<!sp>2018-01-18<!sp>拉勾网<!sp>'双休,弹性工作制,绩效奖金,旅游'<!sp>'设计能力,文案能力'<!sp>苏州 - 工业园区 - 东环路 - 金鸡湖大道1355号国际科技园三期9A
临境声学研发部<!sp>嵌入式Linux DSP/驱动开发...<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'硬件制造,嵌入式,linux,C++'<!sp>2018-01-15<!sp>拉勾网<!sp>'五险一金,绩效奖金,提供宿舍,节日福利'<!sp>'文案能力,设计能力,逻辑思维能力,沟通表达能力,团队协作能力,专业素质良好,思想品质'<!sp>上海 - 闵行区 - 莘庄 - 虹口机场附近
上海宝宏软件开发部<!sp>汽车电子驱动开发<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'汽车,ARM,软件开发,单片机,嵌入式,C'<!sp>2018-01-12<!sp>拉勾网<!sp>'绩效奖金,福利好'<!sp>'常用办公软件的使用,逻辑思维能力'<!sp>上海 - 嘉定区 - 嘉定
米文动力技术部<!sp>驱动开发工程师<!sp>12k-20k<!sp>北京<!sp>经验1-3年<!sp>'硬件制造,驱动开发,linux,ARM,嵌入式'<!sp>2017-12-25<!sp>拉勾网<!sp>'五险一金,带薪年假,丰富团建'<!sp>'逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 北太平庄 - 环星大厦
科思科技研发部<!sp>软件驱动开发工程师<!sp>18k-28k<!sp>深圳<!sp>经验3-5年<!sp>'驱动开发,C++,医疗健康'<!sp>2018-01-17<!sp>拉勾网<!sp>'双休,五险一金,绩效奖金,带薪年假'<!sp>'团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 朗山路7号中航工业南航大厦5楼
飞斯信息科技研发部<!sp>高级驱动开发工程师<!sp>15k-30k<!sp>上海<!sp>经验5-10年<!sp>'linux,PCIe,驱动开发,软件开发'<!sp>2018-01-18<!sp>拉勾网<!sp>'技能培训,岗位晋升,项目奖金,加班餐补'<!sp>'设计能力,文案能力,领悟能力,专业素质良好,团队协作能力'<!sp>上海 - 浦东新区 - 张江 - 郭守敬路498号16号楼4层
锤子科技软件研发中心<!sp>音频驱动开发工程师<!sp>20k-30k<!sp>北京<!sp>经验不限<!sp>'嵌入式,软件开发,C++'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,六险一金,知名平台'<!sp>'思想品质,上进心,良好的职业背景,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京北路1号中国数码港大厦
文网亿联政府行业与互联网安全部<!sp>网络过滤驱动开发工程师<!sp>13k-20k<!sp>武汉<!sp>经验3-5年<!sp>'硬件制造,C/C++,windows,linux,C++'<!sp>2018-01-15<!sp>拉勾网<!sp>'五险一金'<!sp>'逻辑思维能力,专业素质良好'<!sp>武汉 - 东湖新技术开发区 - 光谷 - 关山大道创意大厦c座21楼
万通顺达技术研发中心<!sp>Linux驱动开发工程师<!sp>12k-22k<!sp>深圳<!sp>经验3-5年<!sp>'linux,软件开发,C++,嵌入式'<!sp>08:50<!sp>拉勾网<!sp>'全国性,互联网平台'<!sp>'领悟能力,常用办公软件的使用,责任心,沟通表达能力,学习能力,文案能力'<!sp>深圳 - 福田区 - 皇岗 - 深南中路中心公园设计之都8栋1楼
蓝联科技研发部<!sp>BSP驱动开发工程师<!sp>16k-20k<!sp>杭州<!sp>经验3-5年<!sp>'嵌入式,音视频,技术支持,硬件'<!sp>09:49<!sp>拉勾网<!sp>'高薪,双休,升职'<!sp>'责任心,思想品质,团队协作能力'<!sp>杭州 - 滨江区 - 西兴 - 西兴街道物联网街451号芯图大厦19楼
深思数盾硬件产品部<!sp>Linux驱动开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,资深,驱动开发,linux,嵌入式'<!sp>09:12<!sp>拉勾网<!sp>'七险一金,福利好,发展广阔'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 西二旗 中关村软件园二期 互联网创新中心C座510
瞬联软件科技（北京）有限公司研发部<!sp>Linux 驱动开发工程师<!sp>7k-12k<!sp>武汉<!sp>经验不限<!sp>'驱动开发,linux,通信,嵌入式,C'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,餐补,带薪年假'<!sp>'设计能力,文案能力,专业素质良好,责任心,思想品质,学习能力,自我管理能力,沟通表达能力,团队协作能力,钻研能力'<!sp>武汉 - 洪山区 - 关山 - 光谷软件园F2
锦峰硬件开发部<!sp>嵌入式驱动开发工程师<!sp>10k-20k<!sp>广州<!sp>经验3-5年<!sp>'硬件制造,单片机,驱动开发,ARM,嵌入式,智能硬件'<!sp>10:17<!sp>拉勾网<!sp>'临近地铁,周末双休,部门美女多'<!sp>'设计能力,文案能力,良好的职业背景,专业素质良好,领导能力,逻辑思维能力,思想品质,沟通表达能力,团队协作能力,抗压能力'<!sp>广州 - 天河区 - 沙河 - 珠江新城华夏路8号合景国际金融广场32楼
阅面科技-ReadSense研发部<!sp>linux驱动开发工程师<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'硬件制造,驱动开发,linux,ARM,嵌入式,视频'<!sp>2018-01-11<!sp>拉勾网<!sp>'人工智能,扁平化管理,入职缴纳五'<!sp>'逻辑思维能力,文案能力,设计能力,沟通表达能力,学习能力'<!sp>上海 - 静安区 - 南京西路 - 愚园东路28号东海广场3号楼1层
武汉佰钧成技术有限公司<!sp>底层驱动开发工程师<!sp>8k-16k<!sp>武汉<!sp>经验不限<!sp>'Linux C'<!sp>09:36<!sp>拉勾网<!sp>'六险一金,商业保险,定期体检,带薪年假'<!sp>'设计能力,专业素质良好,逻辑思维能力'<!sp>武汉 - 东湖新技术开发区 - 关山 - 光谷未来科技城
临境声学研发部<!sp>嵌入式Linux DSP/驱动开发...<!sp>8k-15k<!sp>西安<!sp>经验3-5年<!sp>'硬件制造,linux,ARM,嵌入式'<!sp>2017-12-26<!sp>拉勾网<!sp>'五险一金,绩效奖金,可提供宿舍,节日福利'<!sp>'文案能力,设计能力,逻辑思维能力,沟通表达能力,团队协作能力,专业素质良好,思想品质'<!sp>西安 - 高新技术产业开发区 - 西咸新区沣西新城西部云谷1号楼16层1601
锤子科技软件研发中心<!sp>BSP驱动开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'嵌入式,linux,C++'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,六险一金,知名平台'<!sp>'思想品质,上进心,良好的职业背景,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京北路1号中国数码港大厦
roobo技术部<!sp>DSP驱动开发工程师<!sp>20k-35k<!sp>北京<!sp>经验3-5年<!sp>'嵌入式,linux,C++'<!sp>1天前<!sp>拉勾网<!sp>'扁平管理,人工智能,团队氛围,期权奖励'<!sp>'文案能力,沟通表达能力,学习能力,团队协作能力'<!sp>北京 - 东城区 - 朝阳门 - 银河soho
