蚂蜂窝数据部<!sp>数据分析师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'SPSS,大数据,数据分析,数据挖掘'<!sp>10:08<!sp>拉勾网<!sp>'海量数据,核心业务'<!sp>'逻辑思维能力,领导能力,沟通表达能力,学习能力'<!sp>北京 - 朝阳区 - 朝阳区酒仙桥
心怡科技集团人力资源部<!sp>数据分析<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'SPSS,主管,人事,薪酬福利,数据分析'<!sp>14:36<!sp>拉勾网<!sp>'C轮融资,阿里投资,办公氛围好'<!sp>'逻辑思维能力'<!sp>杭州 - 西湖区 - 西溪 - 西溪路550号西溪新座6幢A座5-11层
环球恒通数据部<!sp>数据分析师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,大数据,数据挖掘'<!sp>11:02<!sp>拉勾网<!sp>'五险一金,餐补,弹性,绩效'<!sp>'逻辑思维能力,文案能力,团队协作能力,设计能力,领悟能力,沟通表达能力,良好的职业背景'<!sp>北京 - 朝阳区 - 朝外 - 北辰东路8号院7号楼辰运大厦东北门三层
链家新房平台事业部<!sp>数据分析师<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'本地生活,房产服务,金融,大数据,数据分析,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'Growth,Hacking，用数据驱动增长'<!sp>'逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 上地 - 开拓路11号福道大厦
皇包车运营中心<!sp>数据分析师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'数据,数据分析,数据挖掘'<!sp>11:06<!sp>拉勾网<!sp>'五险一金,年底双薪,定期体检,员工旅行'<!sp>''<!sp>北京 - 朝阳区 - 双井 - 百子湾路31-8号
Club Factory数据分析部<!sp>数据分析师 / 数据科学家<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'统计,大数据,数据分析,数据挖掘,商业'<!sp>10:27<!sp>拉勾网<!sp>'海量数据库'<!sp>'领悟能力,逻辑思维能力,执行能力,专业素质良好,设计能力,主动性,沟通表达能力'<!sp>杭州 - 西湖区 - 古荡 - 文三路478号华星时代广场A座
厚本金融直通金融事业部（电销部）<!sp>数据分析师--电销部<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'数据分析,金融,SPSS,数据管理'<!sp>12:50<!sp>拉勾网<!sp>'福利好'<!sp>'逻辑思维能力,设计能力,文案能力,领悟能力,主动性,专业素质良好,常用办公软件的使用'<!sp>上海 - 浦东新区 - 张江 - 申江路5005弄1号楼2楼
挖财<!sp>数据分析师-上海浦东-01151<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'数据分析'<!sp>09:46<!sp>拉勾网<!sp>'弹性工作'<!sp>'逻辑思维能力,常用办公软件的使用,学习能力,专业素质良好,思想品质,团队协作能力,沟通表达能力,良好的职业背景'<!sp>上海 - 浦东新区 - 周家渡 - 成山路云顶国际商业广场
DataHunter产品部<!sp>数据分析师<!sp>22k-35k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,可视化,大数据,数据分析,数据挖掘'<!sp>09:28<!sp>拉勾网<!sp>'年底13薪,交通补助,免费晚餐,零食水果'<!sp>'逻辑思维能力,领悟能力,设计能力,学习能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路18号财智国际大厦B座1208
中移在线服务有限公司IT系统部-智能应答组<!sp>数据分析师<!sp>10k-20k<!sp>郑州<!sp>经验3-5年<!sp>'数据分析,SPSS,数据挖掘,教育'<!sp>10:19<!sp>拉勾网<!sp>'五险一金,企业年金,带薪年假,话费餐补'<!sp>'逻辑思维能力,文案能力'<!sp>郑州 - 高新区 - 中移在线服务有限公司
美味不用等智能支付产品事业部<!sp>数据分析师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'数据分析'<!sp>10:00<!sp>拉勾网<!sp>'发展前景好,平台大,机会多,待遇好'<!sp>'逻辑思维能力,设计能力,抗压能力,沟通表达能力,学习能力,团队协作能力,领悟能力,常用办公软件的使用'<!sp>上海 - 浦东新区 - 张江 - 祖冲之路887弄88号楼3楼
