拿火音乐营销传播<!sp>设计总监<!sp>10k-20k<!sp>广州<!sp>经验3-5年<!sp>'总监,资深,视觉,平面,品牌,广告'<!sp>10:07<!sp>拉勾网<!sp>'创新型公司,扁平化管理,优秀设计,弹性工作'<!sp>''<!sp>广州 - 越秀区 - 解放北 - 广州市越秀区东风西路226号LAVA MUSIC
美甲帮产品部<!sp>设计总监<!sp>20k-30k<!sp>广州<!sp>经验5-10年<!sp>'移动互联网,总监,平面,设计,UED,电商'<!sp>09:41<!sp>拉勾网<!sp>'年轻团队,老板人超好'<!sp>'美术功底,设计能力,团队协作能力,领导能力,钻研能力,创新能力,美术创作能力,沟通表达能力,审美能力,领悟能力,抗压能力,思想品质'<!sp>广州 - 天河区 - - 元岗路310号智汇park创意园E栋2楼
有鱼金融科技<!sp>设计总监<!sp>15k-30k<!sp>上海<!sp>经验5-10年<!sp>'设计总监'<!sp>09:29<!sp>拉勾网<!sp>'无限发挥空间,快来跟牛逼的团队一起战斗！'<!sp>'美术功底,设计能力,团队协作能力,领悟能力,逻辑思维能力,领导能力,审美能力,创新能力,沟通表达能力,主动性,常用办公软件的使用'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
小妖传媒设计部<!sp>设计总监<!sp>15k-20k<!sp>广州<!sp>经验5-10年<!sp>'总监,设计,平面,视觉,电商'<!sp>14:33<!sp>拉勾网<!sp>'社保齐全,环境高大上,员工旅游,免费体检'<!sp>'创新能力,设计能力,团队协作能力,专业素质良好,美术功底,美术创作能力,常用办公软件的使用,沟通表达能力,思想品质,责任心'<!sp>广州 - 天河区 - 员村四横路128号红专厂F19栋C-1小妖会馆
云图金控成都研发中心<!sp>设计总监<!sp>15k-25k<!sp>成都<!sp>经验10年以上<!sp>'总监,资深,UI,UE,交互,app'<!sp>13:41<!sp>拉勾网<!sp>'五险一金,带薪年假,年终奖,扁平化管理'<!sp>'设计能力,美术功底,领悟能力,专业素质良好,抗压能力,责任心,工作激情,团队协作能力'<!sp>成都 - 锦江区 - 宏济新路5号SOHO商务港412
飞博共创总公司<!sp>设计总监<!sp>12k-24k<!sp>厦门<!sp>经验3-5年<!sp>'总监'<!sp>10:43<!sp>拉勾网<!sp>'一级主管,期权奖励,团队管理'<!sp>'美术功底,设计能力,团队协作能力'<!sp>厦门 - 思明区 - 前埔医院 - 软件园 软件园二期观日路46号4层
博广传媒<!sp>设计总监<!sp>8k-12k<!sp>上海<!sp>经验3-5年<!sp>'游戏'<!sp>10:42<!sp>拉勾网<!sp>'旅游,年终奖,项目KPI,体检,全勤奖'<!sp>'专业素质良好,设计能力,形象气质佳,美术功底,创新能力,领导能力,团队协作能力,常用办公软件的使用,审美能力'<!sp>上海 - 宝山区 - 吴淞 - 淞兴西路258号半岛1919文化创意产业园1号楼
韩创科技千图网<!sp>设计总监<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'UI,UED,交互,项目管理'<!sp>1天前<!sp>拉勾网<!sp>'项目合伙人,虚拟期权,带薪年假,团队牛逼'<!sp>'美术功底,设计能力,团队协作能力,领悟能力,逻辑思维能力,领导能力,审美能力,创新能力,沟通表达能力,主动性,常用办公软件的使用'<!sp>上海 - 浦东新区 - 上南地区 - 尚博创意园东方路3539号2502室(贰号楼301室)
XMind<!sp>设计总监<!sp>20k-40k<!sp>深圳<!sp>经验5-10年<!sp>'UED,产品设计,设计总监'<!sp>16:53<!sp>拉勾网<!sp>'行业领头,待遇丰厚,年轻有活力的公司氛围'<!sp>'领导能力,设计能力,团队协作能力'<!sp>深圳市 - 南山区 - 科技园 - 高新南四道泰邦科技大厦20楼2001
领健信息产品部<!sp>设计总监-上海-00280<!sp>25k-35k<!sp>上海<!sp>经验5-10年<!sp>'用户研究,用户体验,交互,部门主管'<!sp>11:59<!sp>拉勾网<!sp>'产品好,团队好,晋升空间大,公司氛围好'<!sp>'设计能力,执行能力,团队协作能力,领悟能力,逻辑思维能力,钻研能力,专业素质良好,责任心,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 碧波路690号张江微电子港7号楼302
减约设计中心<!sp>设计总监<!sp>25k-35k<!sp>北京<!sp>经验5-10年<!sp>'总监'<!sp>18:13<!sp>拉勾网<!sp>'阳光的团队,积极的氛围,一起绽放才华吧'<!sp>'美术功底,设计能力,团队协作能力,领导能力,审美能力,沟通表达能力,学习能力,主动性,抗压能力,责任心,执行能力,创新能力'<!sp>北京 - 朝阳区 - 来广营 - 望京利泽中一路1号博雅国际中心
汉雅星空文化科技有限公司形象包装中心<!sp>视觉总监 / 设计总监<!sp>8k-12k<!sp>长沙<!sp>经验不限<!sp>'总监,视频,UED,产品设计,用户体验'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,五险一金,误餐补助'<!sp>'设计能力,美术功底,文案能力,形象气质佳,钻研能力,团队协作能力,创新能力,审美能力,逻辑思维能力,领导能力,沟通表达能力,常用办公软件的使用'<!sp>长沙 - 岳麓区 - 玉兰路 - 玉兰路2号湘邮科技园4楼
