新居网O2O事业二部<!sp>主编<!sp>15k-28k<!sp>广州<!sp>经验1-3年<!sp>'总监,运营,策划,编辑,新媒体,大数据'<!sp>2天前<!sp>拉勾网<!sp>'互联网,新媒体,五险一金,年底双薪'<!sp>'创新能力,团队协作能力,文案能力,美术功底,审美能力,领导能力,沟通表达能力'<!sp>广州 - 越秀区 - 梅花村 - 东风东路767号东宝大厦3楼、22楼26楼全层
君学中国钬花<!sp>副主编<!sp>8k-12k<!sp>上海<!sp>经验3-5年<!sp>'资深,运营,策划,编辑,教育'<!sp>2天前<!sp>拉勾网<!sp>'环境好,美女入云,扁平化管理'<!sp>'逻辑思维能力,文案能力,创新能力,设计能力,团队协作能力'<!sp>浦东新区东方路738号裕安大厦17楼
数字尾巴编辑部<!sp>主编<!sp>15k-20k<!sp>深圳<!sp>经验5-10年<!sp>'媒体,资深,策划,内容,编辑,科技'<!sp>09:56<!sp>拉勾网<!sp>'五险一金,股票期权,下午茶,弹性工作'<!sp>'主动性,沟通表达能力,团队协作能力,公关能力,领导能力,文案能力,审美能力'<!sp>深圳 - 南山区 - 蛇口 - 工业四路蛇口网谷万海大厦401-402
速途网络内容部<!sp>主编<!sp>10k-15k<!sp>上海<!sp>经验不限<!sp>'媒体,广告营销,运营,新媒体,编辑,记者'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,周末双休'<!sp>'责任心,团队协作能力,文案能力,创新能力,逻辑思维能力,领导能力,执行能力,全局观,学习能力,抗压能力'<!sp>上海市 - 闵行区 - 莘庄 - 上海市闵行沪闵路6088号莘庄龙之梦36楼06-08
多麦<!sp>主编<!sp>10k-20k<!sp>杭州<!sp>经验1-3年<!sp>'移动互联网,运营,编辑,新媒体,报社,主编'<!sp>1天前<!sp>拉勾网<!sp>'餐补交通补,双休,国内外旅游,体检,年假'<!sp>'文案能力,团队协作能力,创新能力,执行能力,逻辑思维能力,沟通表达能力,领悟能力,领导能力,抗压能力,责任心'<!sp>杭州 - 江干区 - 东方电子商务园
SEE运营<!sp>主编<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'资深,文案,内容,编辑,商品,电商'<!sp>10:04<!sp>拉勾网<!sp>'创业公司,优秀团队,氛围好,平台广阔'<!sp>'文案能力,团队协作能力,时尚,沟通表达能力,创新能力,主动性,抗压能力,自我管理能力,上进心'<!sp>深圳 - 南山区 - 科技园 - 大冲商务中心
好买基金网（联想腾讯注资企业）项目一部<!sp>主编<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'理财,媒体,编辑,财经'<!sp>09:01<!sp>拉勾网<!sp>'腾讯联想'<!sp>'团队协作能力,开拓精神'<!sp>上海 - 虹口区 - 大连 - 虹口
上海头条编辑部<!sp>主编<!sp>8K-16K<!sp>上海<!sp>经验3-5年<!sp>'媒体,主编'<!sp>3天前<!sp>拉勾网<!sp>'发展前景'<!sp>'创新能力,文案能力,团队协作能力,沟通表达能力,专业素质良好,抗压能力,责任心,思想品质,执行能力'<!sp>- 陈行路2388号浦江科技广场2号楼901室
瓦普时代项目部<!sp>主编<!sp>8k-12k<!sp>重庆<!sp>经验5-10年<!sp>'媒体,资深,运营,新媒体,编辑'<!sp>1天前<!sp>拉勾网<!sp>'项目分红,管理岗,双休'<!sp>'团队协作能力,领导能力'<!sp>重庆 - 渝中区 - 化龙桥 - 企业天地2号楼
新世相付费内容产品部<!sp>主编<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'媒体,策划,记者,财经,编辑,动漫'<!sp>1天前<!sp>拉勾网<!sp>'新世相,内容品牌,弹性工作,五险一金'<!sp>'沟通表达能力,文案能力'<!sp>北京 - 朝阳区 - 双井 - 苹果社区北区今日美术馆附近
