鸿特普惠客服管理中心<!sp>合规稽查专员<!sp>4k-6k<!sp>成都<!sp>经验1-3年<!sp>'金融,稽查,审核,合规,风控'<!sp>09:51<!sp>拉勾网<!sp>'五险一金,周末双休,带薪年假'<!sp>'逻辑思维能力,常用办公软件的使用,文案能力,领悟能力,专业素质良好'<!sp>成都 - 武侯区 - 玉林 - 来福士广场
TCL金融控股集团风险管理部<!sp>法务及合规岗<!sp>15k-25k<!sp>惠州<!sp>经验3-5年<!sp>'征信,银行,风控,法务,资产管理'<!sp>08:46<!sp>拉勾网<!sp>'帅哥多,美女足'<!sp>'熟悉法律法规,团队协作能力,专业素质良好,抗压能力,责任心,沟通表达能力,文案能力'<!sp>惠州 - 惠城区 - 广东省惠州市仲恺高新区惠风三路17号TCL科技大厦21楼
中腾信合规风控部<!sp>合规岗<!sp>7k-13k<!sp>上海<!sp>经验不限<!sp>'金融,主管,审核,风控,合规,助理'<!sp>2天前<!sp>拉勾网<!sp>'公司背景好,平台稳定,福利好,环境好'<!sp>'文案能力,领导能力,沟通表达能力,熟悉法律法规'<!sp>上海 - 虹口区 - 海宁路 - 上海市虹口区四川北路859号中信广场 18楼
美团点评金融服务平台<!sp>美团金服平台-闪付业务部-...<!sp>8k-15k<!sp>大连<!sp>经验3-5年<!sp>'租赁,审核,风控,合规,法务'<!sp>15:06<!sp>拉勾网<!sp>'大公司,金融部门,发展机会,团队氛围好'<!sp>'领悟能力,沟通表达能力,文案能力,团队协作能力,人际交往能力,责任心,思想品质'<!sp>大连 - 西岗区 - 北京街 - 美团点评
动景集团星视度科技<!sp>合规专员<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'广告营销,审核,法务,合规,专利,知识产权'<!sp>10:34<!sp>拉勾网<!sp>'带薪年假,交通补贴,午餐补贴,节日福利'<!sp>'熟悉法律法规,逻辑思维能力,沟通表达能力,责任心,文案能力'<!sp>上海 - 浦东新区 - 八佰伴 - 浦东南路1118号10层
挖财合规部<!sp>合规主管/专员-重庆-01094<!sp>4k-6k<!sp>重庆<!sp>经验3-5年<!sp>'金融,主管,审核,风控,合规,教育'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,补充医疗,年终奖'<!sp>'文案能力,沟通表达能力,逻辑思维能力,熟悉法律法规,人脉资源,思想品质,团队协作能力,性格好,执行能力,学习能力,专业素质良好'<!sp>重庆 - 渝北区 - 龙溪 - 新溉大道99号中渝香奈公馆7栋1601-1602
迅雷法务部<!sp>法务部-合规经理<!sp>15k-30k<!sp>深圳<!sp>经验5-10年<!sp>'审核,法务,风控,合规'<!sp>11:11<!sp>拉勾网<!sp>'福利好,空间大'<!sp>'熟悉法律法规,良好的职业背景,领导能力,沟通表达能力,英语基础'<!sp>深圳 - 南山区 - 科技园科技中二路软件园二期11栋7楼
苏小研计划采购部<!sp>合法合规<!sp>10k-15k<!sp>苏州<!sp>经验1-3年<!sp>'金融,审核,法务,合规,资产管理'<!sp>2017-12-27<!sp>拉勾网<!sp>'通讯补贴,交通补贴,餐饮补贴,节日福利'<!sp>'熟悉法律法规,执行能力,思想品质,团队协作能力,沟通表达能力'<!sp>苏州 - 高新区 - 科技城昆仑山路58号中移软件园
AGMTrade聚米投投风控合规<!sp>合规主管/专员<!sp>9k-18k<!sp>北京<!sp>经验1-3年<!sp>'金融,主管,法务,资产管理,合规稽查,助理'<!sp>18:14<!sp>拉勾网<!sp>'发展空间大,公司平台广,团队成长快'<!sp>'良好的职业背景,熟悉法律法规,英语基础,专业素质良好'<!sp>北京 - 朝阳区 - 东方梅地亚中心
银盈通风控合规部<!sp>合规经理<!sp>10k-15k<!sp>北京<!sp>经验5-10年<!sp>'行政,合规稽查,风控'<!sp>09:14<!sp>拉勾网<!sp>'行业好,平台好,领导好,福利好'<!sp>'熟悉法律法规,沟通表达能力,领导能力,抗压能力,团队协作能力'<!sp>北京 - 朝阳区 - 三元桥 - 北京市朝阳区霄云路26号鹏润大厦A座16层
INK 银客集团风险管理中心<!sp>合规专员<!sp>7k-11k<!sp>北京<!sp>经验1-3年<!sp>'合规稽查'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,免费午餐,下午茶,扁平管理,晋'<!sp>'文案能力,熟悉法律法规,逻辑思维能力,沟通表达能力,思想品质,责任心'<!sp>北京 - 海淀区 - 知春路银网中心A座11层
大象保险法务<!sp>合规经理<!sp>10k-18k<!sp>北京<!sp>经验5-10年<!sp>'金融,风控,合规,资产管理'<!sp>18:07<!sp>拉勾网<!sp>'全额公积金,补充医疗险,高端体检,氛围好'<!sp>'熟悉法律法规,设计能力,团队协作能力,沟通表达能力,吃苦耐劳,责任心,性格好,开拓精神,领悟能力,主动性,常用办公软件的使用'<!sp>北京 - 东城区 - 体育馆路 - 法华寺91号德比WE国际文化创意中心（天坛）B座东侧1-6号
链钱集团法务管理中心<!sp>合规主管<!sp>14k-18k<!sp>杭州<!sp>经验3-5年<!sp>'金融,主管,审核,法务,风控,合规'<!sp>2018-01-20<!sp>拉勾网<!sp>'地铁沿线,周末双休'<!sp>'逻辑思维能力,熟悉法律法规,沟通表达能力,专业素质良好,创新能力,文案能力'<!sp>杭州 - 西湖区 - 文三路 - 学院路28号德力西大厦3号楼3楼
国鼎股份稽核标的中心/合规专员<!sp>合规专员/助理<!sp>4k-6k<!sp>杭州<!sp>经验不限<!sp>'金融,法务,合规,财务'<!sp>18:19<!sp>拉勾网<!sp>'六险一金,双休,法定节假日,弹性工作时'<!sp>'学习能力,思想品质,沟通表达能力'<!sp>杭州 - 上城区 - 近江 - 望江东路332号中豪望江国际1幢8楼
老虎证券法务部<!sp>合规经理<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'经理,法务,风控,合规,资产管理'<!sp>10:58<!sp>拉勾网<!sp>'加班少,福利好'<!sp>'熟悉法律法规,专业素质良好,沟通表达能力,英语基础,逻辑思维能力,责任心'<!sp>北京 - 朝阳区 - 燕莎 - 东三环北路3号中远幸福大厦
TCL金融控股集团风险管理部<!sp>法务及合规岗<!sp>15k-25k<!sp>广州<!sp>经验3-5年<!sp>'征信,银行,风控,法务,资产管理'<!sp>08:46<!sp>拉勾网<!sp>'帅哥多,美女足'<!sp>'熟悉法律法规,团队协作能力,专业素质良好,抗压能力,责任心,沟通表达能力,文案能力'<!sp>广州 - 越秀区 - 岭南 - 广州市越秀区长堤大马路252-256号首层后座
美团点评金融服务平台<!sp>美团金服平台-闪付业务部-...<!sp>8k-15k<!sp>西宁<!sp>经验3-5年<!sp>'租赁,金融,审核,风控,合规,法务'<!sp>15:06<!sp>拉勾网<!sp>'大公司,金融部门,发展机会,团队氛围好'<!sp>'领悟能力,沟通表达能力,文案能力,团队协作能力,人际交往能力,责任心,思想品质'<!sp>西宁 - 城东区 - 美团点评
