开始吧法务部<!sp>律师<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'法务,律师'<!sp>11:46<!sp>拉勾网<!sp>'双休,五险一金,弹性时间,环境舒适'<!sp>'专业素质良好,熟悉法律法规,工作激情,沟通表达能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1288号海创科技中心4幢15楼
一起好法务合规部<!sp>律师<!sp>5k-6k<!sp>武汉<!sp>经验不限<!sp>'金融,法务,律师'<!sp>10:15<!sp>拉勾网<!sp>'周末双休,五险一金,员工旅游'<!sp>'熟悉法律法规,专业素质良好,团队协作能力,沟通表达能力,文案能力'<!sp>武汉 - 江汉区 - 王家墩 - 淮海路中段泛海国际SOHO城一期2号楼七楼
京东商城京东商城<!sp>律师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'金融,银行,风控,量化,合规,律师'<!sp>08:48<!sp>拉勾网<!sp>'六险一金,免费班车,健身房,京东大学'<!sp>'熟悉法律法规,钻研能力,专业素质良好,思想品质'<!sp>北京 - 大兴区 - 亦庄 - 京市亦庄经济开发区京东集团总部
知止科技律师<!sp>律师<!sp>4k-7k<!sp>深圳<!sp>经验不限<!sp>'合规,律师,专利,知识产权'<!sp>11:07<!sp>拉勾网<!sp>'员工福利'<!sp>'职业操守,开拓精神,创新能力'<!sp>深圳 - 南山区 - 前海 - 南园枫叶大厦9C
泛微契约锁团队<!sp>科技律师<!sp>8k-16k<!sp>上海<!sp>经验1-3年<!sp>'硬件制造,法务,律师'<!sp>09:22<!sp>拉勾网<!sp>'半年调薪,福利待遇佳,美味三餐'<!sp>'熟悉法律法规,服务意识,专业素质良好,逻辑思维能力,应变能力'<!sp>上海市 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
创红传媒法务部<!sp>律师<!sp>5k-8k<!sp>佛山<!sp>经验不限<!sp>'总监,主管,经理,法务,律师'<!sp>2018-01-12<!sp>拉勾网<!sp>'包吃包住,五险一金,高薪,周末双休'<!sp>'领导能力,熟悉法律法规,责任心,文案能力,沟通表达能力,主动性,专业素质良好,逻辑思维能力,思想品质,应变能力'<!sp>佛山市市市 - 南海区 - 金沙 - 大沥镇环洲三路浪险猴中心533
美市科技产品部<!sp>律师（私募行业）<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'主管,经理,合规,法务,律师,助理'<!sp>10:07<!sp>拉勾网<!sp>'公司发展佳'<!sp>'逻辑思维能力,熟悉法律法规,服务意识,设计能力,能出差,工作激情'<!sp>上海 - 徐汇区 - 徐家汇 - 虹桥路663号南华期货办公楼3层
广东首出集团<!sp>授薪律师<!sp>7k-10k<!sp>广州<!sp>经验1-3年<!sp>'法务,律师,知识产权'<!sp>10:11<!sp>拉勾网<!sp>'诱惑薪资福利'<!sp>'逻辑思维能力,熟悉法律法规,服务意识,文案能力,专业素质良好'<!sp>广州 - 白云区 - 沙河 - 沙太路现象工场7楼（天河客运站／京溪南方医院地铁口附近）
多益网络法务部<!sp>律师/法律顾问<!sp>10k-20k<!sp>广州<!sp>经验不限<!sp>'合规,法务,律师,知识产权'<!sp>2018-01-18<!sp>拉勾网<!sp>'互联网百强'<!sp>'熟悉法律法规,沟通表达能力,设计能力,专业素质良好,思想品质,责任心,文案能力,应变能力'<!sp>广州 - 萝岗区 - 伴河路
基石生命<!sp>法务顾问/律师<!sp>6k-10k<!sp>北京<!sp>经验1-3年<!sp>'法务,律师'<!sp>2018-01-17<!sp>拉勾网<!sp>'五险一金,绩效奖金,交通补助,餐补等'<!sp>'熟悉法律法规,执行能力'<!sp>工作地址
